Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
913¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":149,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Program
1075¿Identifier¿¿address¿¿¿{"start":{"line":39,"column":39},"end":{"line":39,"column":46},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1076¿VariableDeclarator¿¿v100¿¿¿¿¿VariableDeclarator
1077¿MemberExpression¿¿¿¿¿{"start":{"line":39,"column":48},"end":{"line":39,"column":63},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1078¿Identifier¿¿address¿¿¿{"start":{"line":39,"column":48},"end":{"line":39,"column":55},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1079¿Identifier¿¿netmask¿¿¿{"start":{"line":39,"column":56},"end":{"line":39,"column":63},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1080¿VariableDeclarator¿¿subnet¿¿¿{"start":{"line":39,"column":12},"end":{"line":39,"column":64},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
1081¿CallExpression¿¿¿¿¿{"start":{"line":39,"column":21},"end":{"line":39,"column":64},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿CallExpression
1082¿MemberExpression¿¿¿¿¿{"start":{"line":39,"column":21},"end":{"line":39,"column":30},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1083¿Identifier¿¿ip¿¿¿{"start":{"line":39,"column":21},"end":{"line":39,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1084¿Identifier¿¿subnet¿¿¿{"start":{"line":39,"column":24},"end":{"line":39,"column":30},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1085¿Identifier¿¿v99¿¿¿¿¿Identifier
1086¿Identifier¿¿v100¿¿¿¿¿Identifier
1087¿VariableDeclarator¿¿v101¿¿¿¿¿VariableDeclarator
1088¿MemberExpression¿¿¿¿¿{"start":{"line":40,"column":32},"end":{"line":40,"column":51},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1089¿Identifier¿¿subnet¿¿¿{"start":{"line":40,"column":32},"end":{"line":40,"column":38},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1090¿Identifier¿¿firstAddress¿¿¿{"start":{"line":40,"column":39},"end":{"line":40,"column":51},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1091¿VariableDeclarator¿¿current¿¿¿{"start":{"line":40,"column":12},"end":{"line":40,"column":52},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
1092¿CallExpression¿¿¿¿¿{"start":{"line":40,"column":22},"end":{"line":40,"column":52},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿CallExpression
1093¿MemberExpression¿¿¿¿¿{"start":{"line":40,"column":22},"end":{"line":40,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1094¿Identifier¿¿ip¿¿¿{"start":{"line":40,"column":22},"end":{"line":40,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1095¿Identifier¿¿toLong¿¿¿{"start":{"line":40,"column":25},"end":{"line":40,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1096¿Identifier¿¿v101¿¿¿¿¿Identifier
1097¿VariableDeclarator¿¿v102¿¿¿¿¿VariableDeclarator
1098¿MemberExpression¿¿¿¿¿{"start":{"line":41,"column":29},"end":{"line":41,"column":47},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1099¿Identifier¿¿subnet¿¿¿{"start":{"line":41,"column":29},"end":{"line":41,"column":35},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1100¿Identifier¿¿lastAddress¿¿¿{"start":{"line":41,"column":36},"end":{"line":41,"column":47},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1101¿VariableDeclarator¿¿v103¿¿¿¿¿VariableDeclarator
1102¿CallExpression¿¿¿¿¿{"start":{"line":41,"column":19},"end":{"line":41,"column":48},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿CallExpression
1103¿MemberExpression¿¿¿¿¿{"start":{"line":41,"column":19},"end":{"line":41,"column":28},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1104¿Identifier¿¿ip¿¿¿{"start":{"line":41,"column":19},"end":{"line":41,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1105¿Identifier¿¿toLong¿¿¿{"start":{"line":41,"column":22},"end":{"line":41,"column":28},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1106¿Identifier¿¿v102¿¿¿¿¿Identifier
1107¿VariableDeclarator¿¿last¿¿¿{"start":{"line":41,"column":12},"end":{"line":41,"column":52},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
1108¿BinaryExpression¿-¿¿¿¿{"start":{"line":41,"column":19},"end":{"line":41,"column":52},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿BinaryExpression
1109¿Identifier¿¿v103¿¿¿¿¿Identifier
1110¿Literal¿number¿¿1¿¿{"start":{"line":41,"column":51},"end":{"line":41,"column":52},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Literal
1111¿VariableDeclarator¿¿v104¿¿¿¿¿VariableDeclarator
1112¿UpdateExpression¿¿¿¿¿{"start":{"line":42,"column":15},"end":{"line":42,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿UpdateExpression
1113¿Identifier¿¿current¿¿¿{"start":{"line":42,"column":15},"end":{"line":42,"column":22},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1114¿VariableDeclarator¿¿v105¿¿¿¿¿VariableDeclarator
1115¿BinaryExpression¿<¿¿¿¿{"start":{"line":42,"column":15},"end":{"line":42,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿BinaryExpression
1116¿Identifier¿¿v104¿¿¿¿¿Identifier
1117¿Identifier¿¿last¿¿¿{"start":{"line":42,"column":27},"end":{"line":42,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1118¿WhileStatement¿¿¿¿¿{"start":{"line":42,"column":8},"end":{"line":42,"column":66},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿WhileStatement
1119¿Identifier¿¿v105¿¿¿¿¿Identifier
1120¿VariableDeclarator¿¿v106¿¿¿¿¿VariableDeclarator
1121¿CallExpression¿¿¿¿¿{"start":{"line":42,"column":45},"end":{"line":42,"column":65},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿CallExpression
1122¿MemberExpression¿¿¿¿¿{"start":{"line":42,"column":45},"end":{"line":42,"column":56},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1123¿Identifier¿¿ip¿¿¿{"start":{"line":42,"column":45},"end":{"line":42,"column":47},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1124¿Identifier¿¿fromLong¿¿¿{"start":{"line":42,"column":48},"end":{"line":42,"column":56},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1125¿Identifier¿¿current¿¿¿{"start":{"line":42,"column":57},"end":{"line":42,"column":64},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1126¿VariableDeclarator¿¿v107¿¿¿¿¿VariableDeclarator
1127¿CallExpression¿¿¿¿¿{"start":{"line":42,"column":33},"end":{"line":42,"column":66},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿CallExpression
1128¿MemberExpression¿¿¿¿¿{"start":{"line":42,"column":33},"end":{"line":42,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1129¿Identifier¿¿result¿¿¿{"start":{"line":42,"column":33},"end":{"line":42,"column":39},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1130¿Identifier¿¿push¿¿¿{"start":{"line":42,"column":40},"end":{"line":42,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1131¿Identifier¿¿v106¿¿¿¿¿Identifier
1132¿ExpressionStatement¿¿¿¿¿{"start":{"line":42,"column":33},"end":{"line":42,"column":66},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿ExpressionStatement
1133¿Identifier¿¿v107¿¿¿¿¿Identifier
1134¿ExpressionStatement¿¿¿¿¿{"start":{"line":42,"column":8},"end":{"line":42,"column":66},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿ExpressionStatement
1135¿AssignmentExpression¿=¿¿¿¿{"start":{"line":42,"column":8},"end":{"line":42,"column":66},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿AssignmentExpression
1136¿Identifier¿¿v105¿¿¿{"start":{"line":42,"column":8},"end":{"line":42,"column":66},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1137¿BinaryExpression¿<¿¿¿¿{"start":{"line":42,"column":15},"end":{"line":42,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿BinaryExpression
1138¿Identifier¿¿v104¿¿¿¿¿Identifier
1139¿Identifier¿¿last¿¿¿{"start":{"line":42,"column":27},"end":{"line":42,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1140¿BlockStatement¿¿¿¿¿¿¿BlockStatement
1141¿BlockStatement¿¿¿¿¿{"start":{"line":38,"column":58},"end":{"line":43,"column":7},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿BlockStatement
1142¿ExpressionStatement¿¿¿¿¿{"start":{"line":36,"column":4},"end":{"line":44,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿ExpressionStatement
1143¿AssignmentExpression¿=¿¿¿¿{"start":{"line":36,"column":4},"end":{"line":44,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿AssignmentExpression
1144¿Identifier¿¿v93¿¿¿{"start":{"line":36,"column":4},"end":{"line":44,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1145¿UpdateExpression¿¿¿¿¿{"start":{"line":36,"column":35},"end":{"line":36,"column":38},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿UpdateExpression
1146¿Identifier¿¿i¿¿¿{"start":{"line":36,"column":35},"end":{"line":36,"column":36},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1147¿BlockStatement¿¿¿¿¿{"start":{"line":36,"column":41},"end":{"line":44,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿BlockStatement
1148¿BlockStatement¿¿¿¿¿{"start":{"line":34,"column":30},"end":{"line":45,"column":3},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿BlockStatement
1149¿ReturnStatement¿¿¿¿¿{"start":{"line":47,"column":2},"end":{"line":47,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿ReturnStatement
1150¿Identifier¿¿result¿¿¿{"start":{"line":47,"column":9},"end":{"line":47,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1151¿BlockStatement¿¿¿¿¿{"start":{"line":30,"column":23},"end":{"line":48,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿BlockStatement
1152¿VariableDeclarator¿¿pingServers¿¿¿¿¿VariableDeclarator
1153¿FunctionExpression¿¿anon¿¿¿{"start":{"line":53,"column":0},"end":{"line":55,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿FunctionExpression
1154¿VariableDeclarator¿¿v108¿¿¿¿¿VariableDeclarator
1155¿CallExpression¿¿¿¿¿{"start":{"line":54,"column":21},"end":{"line":54,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿CallExpression
1156¿MemberExpression¿¿¿¿¿{"start":{"line":54,"column":21},"end":{"line":54,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1157¿Identifier¿¿servers¿¿¿{"start":{"line":54,"column":21},"end":{"line":54,"column":28},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1158¿Identifier¿¿map¿¿¿{"start":{"line":54,"column":29},"end":{"line":54,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1159¿Identifier¿¿pingServer¿¿¿{"start":{"line":54,"column":33},"end":{"line":54,"column":43},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1160¿VariableDeclarator¿¿v109¿¿¿¿¿VariableDeclarator
1161¿CallExpression¿¿¿¿¿{"start":{"line":54,"column":9},"end":{"line":54,"column":45},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿CallExpression
1162¿MemberExpression¿¿¿¿¿{"start":{"line":54,"column":9},"end":{"line":54,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1163¿Identifier¿¿Promise¿¿¿{"start":{"line":54,"column":9},"end":{"line":54,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1164¿Identifier¿¿all¿¿¿{"start":{"line":54,"column":17},"end":{"line":54,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1165¿Identifier¿¿v108¿¿¿¿¿Identifier
1166¿ReturnStatement¿¿¿¿¿{"start":{"line":54,"column":2},"end":{"line":54,"column":45},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿ReturnStatement
1167¿Identifier¿¿v109¿¿¿¿¿Identifier
1168¿BlockStatement¿¿¿¿¿{"start":{"line":53,"column":24},"end":{"line":55,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿BlockStatement
1169¿VariableDeclarator¿¿pingServer¿¿¿¿¿VariableDeclarator
1170¿FunctionExpression¿¿anon¿¿¿{"start":{"line":60,"column":0},"end":{"line":72,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿FunctionExpression
1171¿Identifier¿¿address¿¿¿{"start":{"line":60,"column":21},"end":{"line":60,"column":28},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1172¿VariableDeclarator¿¿v115¿¿¿¿¿VariableDeclarator
1173¿FunctionExpression¿¿anon¿¿¿{"start":{"line":61,"column":21},"end":{"line":71,"column":3},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿FunctionExpression
1174¿Identifier¿¿resolve¿¿¿{"start":{"line":61,"column":31},"end":{"line":61,"column":38},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1175¿VariableDeclarator¿¿socket¿¿¿{"start":{"line":62,"column":8},"end":{"line":62,"column":33},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿VariableDeclarator
1176¿NewExpression¿¿¿¿¿{"start":{"line":62,"column":17},"end":{"line":62,"column":33},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿NewExpression
1177¿MemberExpression¿¿¿¿¿{"start":{"line":62,"column":21},"end":{"line":62,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1178¿Identifier¿¿net¿¿¿{"start":{"line":62,"column":21},"end":{"line":62,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1179¿Identifier¿¿Socket¿¿¿{"start":{"line":62,"column":25},"end":{"line":62,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1180¿VariableDeclarator¿¿v110¿¿¿¿¿VariableDeclarator
1181¿CallExpression¿¿¿¿¿{"start":{"line":63,"column":4},"end":{"line":63,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿CallExpression
1182¿MemberExpression¿¿¿¿¿{"start":{"line":63,"column":4},"end":{"line":63,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1183¿Identifier¿¿socket¿¿¿{"start":{"line":63,"column":4},"end":{"line":63,"column":10},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1184¿Identifier¿¿setTimeout¿¿¿{"start":{"line":63,"column":11},"end":{"line":63,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1185¿Literal¿number¿¿1000¿¿{"start":{"line":63,"column":22},"end":{"line":63,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Literal
1186¿Identifier¿¿close¿¿¿{"start":{"line":63,"column":28},"end":{"line":63,"column":33},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1187¿ExpressionStatement¿¿¿¿¿{"start":{"line":63,"column":4},"end":{"line":63,"column":34},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿ExpressionStatement
1188¿Identifier¿¿v110¿¿¿¿¿Identifier
1189¿VariableDeclarator¿¿v111¿¿¿¿¿VariableDeclarator
1190¿CallExpression¿¿¿¿¿{"start":{"line":64,"column":4},"end":{"line":64,"column":38},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿CallExpression
1191¿MemberExpression¿¿¿¿¿{"start":{"line":64,"column":4},"end":{"line":64,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1192¿Identifier¿¿socket¿¿¿{"start":{"line":64,"column":4},"end":{"line":64,"column":10},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1193¿Identifier¿¿connect¿¿¿{"start":{"line":64,"column":11},"end":{"line":64,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1194¿Literal¿number¿¿80¿¿{"start":{"line":64,"column":19},"end":{"line":64,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Literal
1195¿Identifier¿¿address¿¿¿{"start":{"line":64,"column":23},"end":{"line":64,"column":30},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1196¿Identifier¿¿close¿¿¿{"start":{"line":64,"column":32},"end":{"line":64,"column":37},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1197¿ExpressionStatement¿¿¿¿¿{"start":{"line":64,"column":4},"end":{"line":64,"column":38},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿ExpressionStatement
1198¿Identifier¿¿v111¿¿¿¿¿Identifier
1199¿VariableDeclarator¿¿v112¿¿¿¿¿VariableDeclarator
1200¿CallExpression¿¿¿¿¿{"start":{"line":65,"column":4},"end":{"line":65,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿CallExpression
1201¿MemberExpression¿¿¿¿¿{"start":{"line":65,"column":4},"end":{"line":65,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1202¿Identifier¿¿socket¿¿¿{"start":{"line":65,"column":4},"end":{"line":65,"column":10},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1203¿Identifier¿¿once¿¿¿{"start":{"line":65,"column":11},"end":{"line":65,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1204¿Literal¿string¿¿'error'¿¿{"start":{"line":65,"column":16},"end":{"line":65,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Literal
1205¿Identifier¿¿close¿¿¿{"start":{"line":65,"column":25},"end":{"line":65,"column":30},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1206¿ExpressionStatement¿¿¿¿¿{"start":{"line":65,"column":4},"end":{"line":65,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿ExpressionStatement
1207¿Identifier¿¿v112¿¿¿¿¿Identifier
1208¿VariableDeclarator¿¿close¿¿¿¿¿VariableDeclarator
1209¿FunctionExpression¿¿anon¿¿¿{"start":{"line":67,"column":4},"end":{"line":70,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿FunctionExpression
1210¿VariableDeclarator¿¿v113¿¿¿¿¿VariableDeclarator
1211¿CallExpression¿¿¿¿¿{"start":{"line":68,"column":6},"end":{"line":68,"column":22},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿CallExpression
1212¿MemberExpression¿¿¿¿¿{"start":{"line":68,"column":6},"end":{"line":68,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1213¿Identifier¿¿socket¿¿¿{"start":{"line":68,"column":6},"end":{"line":68,"column":12},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1214¿Identifier¿¿destroy¿¿¿{"start":{"line":68,"column":13},"end":{"line":68,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1215¿ExpressionStatement¿¿¿¿¿{"start":{"line":68,"column":6},"end":{"line":68,"column":22},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿ExpressionStatement
1216¿Identifier¿¿v113¿¿¿¿¿Identifier
1217¿VariableDeclarator¿¿v114¿¿¿¿¿VariableDeclarator
1218¿CallExpression¿¿¿¿¿{"start":{"line":69,"column":6},"end":{"line":69,"column":22},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿CallExpression
1219¿Identifier¿¿resolve¿¿¿{"start":{"line":69,"column":6},"end":{"line":69,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1220¿Identifier¿¿address¿¿¿{"start":{"line":69,"column":14},"end":{"line":69,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1221¿ExpressionStatement¿¿¿¿¿{"start":{"line":69,"column":6},"end":{"line":69,"column":22},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿ExpressionStatement
1222¿Identifier¿¿v114¿¿¿¿¿Identifier
1223¿BlockStatement¿¿¿¿¿{"start":{"line":67,"column":22},"end":{"line":70,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿BlockStatement
1224¿BlockStatement¿¿¿¿¿{"start":{"line":61,"column":40},"end":{"line":71,"column":3},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿BlockStatement
1225¿VariableDeclarator¿¿v116¿¿¿¿¿VariableDeclarator
1226¿NewExpression¿¿¿¿¿{"start":{"line":61,"column":9},"end":{"line":71,"column":4},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿NewExpression
1227¿Identifier¿¿Promise¿¿¿{"start":{"line":61,"column":13},"end":{"line":61,"column":20},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1228¿Identifier¿¿v115¿¿¿¿¿Identifier
1229¿ReturnStatement¿¿¿¿¿{"start":{"line":61,"column":2},"end":{"line":71,"column":4},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿ReturnStatement
1230¿Identifier¿¿v116¿¿¿¿¿Identifier
1231¿BlockStatement¿¿¿¿¿{"start":{"line":60,"column":30},"end":{"line":72,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿BlockStatement
1232¿VariableDeclarator¿¿arpAll¿¿¿¿¿VariableDeclarator
1233¿FunctionExpression¿¿anon¿¿¿{"start":{"line":77,"column":0},"end":{"line":79,"column":1},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿FunctionExpression
1234¿VariableDeclarator¿¿v117¿¿¿¿¿VariableDeclarator
1235¿CallExpression¿¿¿¿¿{"start":{"line":78,"column":9},"end":{"line":78,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿CallExpression
1236¿MemberExpression¿¿¿¿¿{"start":{"line":78,"column":9},"end":{"line":78,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿MemberExpression
1237¿Identifier¿¿cp¿¿¿{"start":{"line":78,"column":9},"end":{"line":78,"column":11},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
1238¿Identifier¿¿exec¿¿¿{"start":{"line":78,"column":12},"end":{"line":78,"column":16},"fname":"/datasets/secbench-dataset/CWE-94/local-devices_2.0.0/src/index.js"}¿¿Identifier
