Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1604¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":168,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Program
1921¿Literal¿boolean¿2821¿¿true¿¿{"start":{"line":54,"column":23},"end":{"line":54,"column":27},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
1922¿VariableDeclarator¿¿2821¿v180¿¿¿{"start":{"line":55,"column":4},"end":{"line":57,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
1923¿FunctionExpression¿¿2821¿anon¿¿¿{"start":{"line":55,"column":25},"end":{"line":57,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿FunctionExpression
1924¿Identifier¿¿0¿bool¿¿¿{"start":{"line":55,"column":34},"end":{"line":55,"column":38},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1925¿ExpressionStatement¿¿2837¿¿¿¿{"start":{"line":56,"column":6},"end":{"line":56,"column":26},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿ExpressionStatement
1926¿AssignmentExpression¿=¿2837¿¿¿¿{"start":{"line":56,"column":6},"end":{"line":56,"column":25},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿AssignmentExpression
1927¿Identifier¿¿2837¿isDebuggable¿¿¿{"start":{"line":56,"column":6},"end":{"line":56,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1928¿Identifier¿¿2837¿bool¿¿¿{"start":{"line":56,"column":21},"end":{"line":56,"column":25},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1929¿BlockStatement¿¿2837¿¿¿¿{"start":{"line":55,"column":40},"end":{"line":57,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿BlockStatement
1930¿ExpressionStatement¿¿2821¿¿¿¿{"start":{"line":55,"column":4},"end":{"line":57,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿ExpressionStatement
1931¿AssignmentExpression¿=¿2821¿¿¿¿{"start":{"line":55,"column":4},"end":{"line":57,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿AssignmentExpression
1932¿MemberExpression¿¿2821¿¿¿¿{"start":{"line":55,"column":4},"end":{"line":55,"column":22},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿MemberExpression
1933¿ThisExpression¿¿2821¿¿¿¿{"start":{"line":55,"column":4},"end":{"line":55,"column":8},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿ThisExpression
1934¿Identifier¿¿2821¿setDebuggable¿¿¿{"start":{"line":55,"column":9},"end":{"line":55,"column":22},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1935¿Identifier¿¿2821¿v180¿¿¿¿¿Identifier
1936¿VariableDeclarator¿¿2821¿v187¿¿¿{"start":{"line":60,"column":4},"end":{"line":67,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
1937¿FunctionExpression¿¿2821¿anon¿¿¿{"start":{"line":60,"column":15},"end":{"line":67,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿FunctionExpression
1938¿Identifier¿¿0¿msg¿¿¿{"start":{"line":60,"column":24},"end":{"line":60,"column":27},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1939¿VariableDeclarator¿¿2839¿n¿¿¿{"start":{"line":61,"column":12},"end":{"line":61,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
1940¿Literal¿string¿2839¿¿''¿¿{"start":{"line":61,"column":16},"end":{"line":61,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
1941¿VariableDeclarator¿¿2839¿i¿¿¿{"start":{"line":62,"column":17},"end":{"line":62,"column":22},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
1942¿Literal¿number¿2839¿¿0¿¿{"start":{"line":62,"column":21},"end":{"line":62,"column":22},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
1943¿VariableDeclarator¿¿2839¿v181¿¿¿{"start":{"line":62,"column":28},"end":{"line":62,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
1944¿MemberExpression¿¿2839¿¿¿¿{"start":{"line":62,"column":28},"end":{"line":62,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿MemberExpression
1945¿Identifier¿¿2839¿arguments¿¿¿{"start":{"line":62,"column":28},"end":{"line":62,"column":37},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1946¿Identifier¿¿2839¿length¿¿¿{"start":{"line":62,"column":38},"end":{"line":62,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1947¿VariableDeclarator¿¿2839¿v182¿¿¿{"start":{"line":62,"column":24},"end":{"line":62,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
1948¿BinaryExpression¿<¿2839¿¿¿¿{"start":{"line":62,"column":24},"end":{"line":62,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿BinaryExpression
1949¿Identifier¿¿2839¿i¿¿¿{"start":{"line":62,"column":24},"end":{"line":62,"column":25},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1950¿Identifier¿¿2839¿v181¿¿¿¿¿Identifier
1951¿WhileStatement¿¿2839¿¿¿¿{"start":{"line":62,"column":8},"end":{"line":65,"column":9},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿WhileStatement
1952¿Identifier¿¿2839¿v182¿¿¿¿¿Identifier
1953¿VariableDeclarator¿¿2839¿v184¿¿¿{"start":{"line":63,"column":16},"end":{"line":63,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
1954¿BinaryExpression¿>¿2839¿¿¿¿{"start":{"line":63,"column":16},"end":{"line":63,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿BinaryExpression
1955¿Identifier¿¿2839¿i¿¿¿{"start":{"line":63,"column":16},"end":{"line":63,"column":17},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1956¿Literal¿number¿2839¿¿0¿¿{"start":{"line":63,"column":20},"end":{"line":63,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
1957¿IfStatement¿¿2839¿¿¿¿{"start":{"line":63,"column":12},"end":{"line":63,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿IfStatement
1958¿Identifier¿¿2839¿v184¿¿¿¿¿Identifier
1959¿ExpressionStatement¿¿2839¿¿¿¿{"start":{"line":63,"column":23},"end":{"line":63,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿ExpressionStatement
1960¿AssignmentExpression¿+=¿2839¿¿¿¿{"start":{"line":63,"column":23},"end":{"line":63,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿AssignmentExpression
1961¿Identifier¿¿2839¿n¿¿¿{"start":{"line":63,"column":23},"end":{"line":63,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1962¿Literal¿string¿2839¿¿','¿¿{"start":{"line":63,"column":28},"end":{"line":63,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
1963¿BlockStatement¿¿2839¿¿¿¿¿¿BlockStatement
1964¿VariableDeclarator¿¿2839¿v185¿¿¿{"start":{"line":64,"column":32},"end":{"line":64,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
1965¿MemberExpression¿computed¿2839¿¿¿¿{"start":{"line":64,"column":32},"end":{"line":64,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿MemberExpression
1966¿Identifier¿¿2839¿arguments¿¿¿{"start":{"line":64,"column":32},"end":{"line":64,"column":41},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1967¿Identifier¿¿2839¿i¿¿¿{"start":{"line":64,"column":42},"end":{"line":64,"column":43},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1968¿ExpressionStatement¿¿2839¿¿¿¿{"start":{"line":64,"column":12},"end":{"line":64,"column":46},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿ExpressionStatement
1969¿AssignmentExpression¿+=¿2839¿¿¿¿{"start":{"line":64,"column":12},"end":{"line":64,"column":45},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿AssignmentExpression
1970¿Identifier¿¿2839¿n¿¿¿{"start":{"line":64,"column":12},"end":{"line":64,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1971¿CallExpression¿¿2839¿¿¿¿{"start":{"line":64,"column":17},"end":{"line":64,"column":45},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿CallExpression
1972¿MemberExpression¿¿2839¿¿¿¿{"start":{"line":64,"column":17},"end":{"line":64,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿MemberExpression
1973¿Identifier¿¿2839¿JSON¿¿¿{"start":{"line":64,"column":17},"end":{"line":64,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1974¿Identifier¿¿2839¿stringify¿¿¿{"start":{"line":64,"column":22},"end":{"line":64,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1975¿Identifier¿¿2839¿v185¿¿¿¿¿Identifier
1976¿VariableDeclarator¿¿2839¿v183¿¿¿{"start":{"line":62,"column":46},"end":{"line":62,"column":49},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
1977¿UpdateExpression¿¿2839¿¿¿¿{"start":{"line":62,"column":46},"end":{"line":62,"column":49},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿UpdateExpression
1978¿Identifier¿¿2839¿i¿¿¿{"start":{"line":62,"column":46},"end":{"line":62,"column":47},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1979¿ExpressionStatement¿¿2839¿¿¿¿{"start":{"line":62,"column":8},"end":{"line":65,"column":9},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿ExpressionStatement
1980¿AssignmentExpression¿=¿2839¿¿¿¿{"start":{"line":62,"column":8},"end":{"line":65,"column":9},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿AssignmentExpression
1981¿Identifier¿¿2839¿v182¿¿¿{"start":{"line":62,"column":8},"end":{"line":65,"column":9},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1982¿BinaryExpression¿<¿2839¿¿¿¿{"start":{"line":62,"column":24},"end":{"line":62,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿BinaryExpression
1983¿Identifier¿¿2839¿i¿¿¿{"start":{"line":62,"column":24},"end":{"line":62,"column":25},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1984¿Identifier¿¿2839¿v181¿¿¿¿¿Identifier
1985¿BlockStatement¿¿2839¿¿¿¿¿¿BlockStatement
1986¿VariableDeclarator¿¿2839¿v186¿¿¿{"start":{"line":66,"column":8},"end":{"line":66,"column":22},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
1987¿CallExpression¿¿2839¿¿¿¿{"start":{"line":66,"column":8},"end":{"line":66,"column":22},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿CallExpression
1988¿MemberExpression¿¿2839¿¿¿¿{"start":{"line":66,"column":8},"end":{"line":66,"column":19},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿MemberExpression
1989¿Identifier¿¿2839¿console¿¿¿{"start":{"line":66,"column":8},"end":{"line":66,"column":15},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1990¿Identifier¿¿2839¿log¿¿¿{"start":{"line":66,"column":16},"end":{"line":66,"column":19},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1991¿Identifier¿¿2839¿n¿¿¿{"start":{"line":66,"column":20},"end":{"line":66,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
1992¿ExpressionStatement¿¿2839¿¿¿¿{"start":{"line":66,"column":8},"end":{"line":66,"column":23},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿ExpressionStatement
1993¿Identifier¿¿2839¿v186¿¿¿¿¿Identifier
1994¿BlockStatement¿¿2839¿¿¿¿{"start":{"line":60,"column":29},"end":{"line":67,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿BlockStatement
1995¿ExpressionStatement¿¿2821¿¿¿¿{"start":{"line":60,"column":4},"end":{"line":67,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿ExpressionStatement
1996¿AssignmentExpression¿=¿2821¿¿¿¿{"start":{"line":60,"column":4},"end":{"line":67,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿AssignmentExpression
1997¿MemberExpression¿¿2821¿¿¿¿{"start":{"line":60,"column":4},"end":{"line":60,"column":12},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿MemberExpression
1998¿ThisExpression¿¿2821¿¿¿¿{"start":{"line":60,"column":4},"end":{"line":60,"column":8},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿ThisExpression
1999¿Identifier¿¿2821¿out¿¿¿{"start":{"line":60,"column":9},"end":{"line":60,"column":12},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
2000¿Identifier¿¿2821¿v187¿¿¿¿¿Identifier
2001¿VariableDeclarator¿¿2821¿v197¿¿¿{"start":{"line":68,"column":4},"end":{"line":77,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
2002¿FunctionExpression¿¿2821¿anon¿¿¿{"start":{"line":68,"column":17},"end":{"line":77,"column":5},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿FunctionExpression
2003¿Identifier¿¿0¿msg¿¿¿{"start":{"line":68,"column":26},"end":{"line":68,"column":29},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
2004¿VariableDeclarator¿¿2843¿n¿¿¿{"start":{"line":69,"column":12},"end":{"line":69,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
2005¿Literal¿string¿2843¿¿''¿¿{"start":{"line":69,"column":16},"end":{"line":69,"column":18},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
2006¿VariableDeclarator¿¿2843¿i¿¿¿{"start":{"line":70,"column":17},"end":{"line":70,"column":22},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
2007¿Literal¿number¿2843¿¿0¿¿{"start":{"line":70,"column":21},"end":{"line":70,"column":22},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
2008¿VariableDeclarator¿¿2843¿v188¿¿¿{"start":{"line":70,"column":28},"end":{"line":70,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
2009¿MemberExpression¿¿2843¿¿¿¿{"start":{"line":70,"column":28},"end":{"line":70,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿MemberExpression
2010¿Identifier¿¿2843¿arguments¿¿¿{"start":{"line":70,"column":28},"end":{"line":70,"column":37},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
2011¿Identifier¿¿2843¿length¿¿¿{"start":{"line":70,"column":38},"end":{"line":70,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
2012¿VariableDeclarator¿¿2843¿v189¿¿¿{"start":{"line":70,"column":24},"end":{"line":70,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
2013¿BinaryExpression¿<¿2843¿¿¿¿{"start":{"line":70,"column":24},"end":{"line":70,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿BinaryExpression
2014¿Identifier¿¿2843¿i¿¿¿{"start":{"line":70,"column":24},"end":{"line":70,"column":25},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
2015¿Identifier¿¿2843¿v188¿¿¿¿¿Identifier
2016¿WhileStatement¿¿2843¿¿¿¿{"start":{"line":70,"column":8},"end":{"line":73,"column":9},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿WhileStatement
2017¿Identifier¿¿2843¿v189¿¿¿¿¿Identifier
2018¿VariableDeclarator¿¿2843¿v191¿¿¿{"start":{"line":71,"column":16},"end":{"line":71,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
2019¿BinaryExpression¿>¿2843¿¿¿¿{"start":{"line":71,"column":16},"end":{"line":71,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿BinaryExpression
2020¿Identifier¿¿2843¿i¿¿¿{"start":{"line":71,"column":16},"end":{"line":71,"column":17},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
2021¿Literal¿number¿2843¿¿0¿¿{"start":{"line":71,"column":20},"end":{"line":71,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
2022¿IfStatement¿¿2843¿¿¿¿{"start":{"line":71,"column":12},"end":{"line":71,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿IfStatement
2023¿Identifier¿¿2843¿v191¿¿¿¿¿Identifier
2024¿ExpressionStatement¿¿2843¿¿¿¿{"start":{"line":71,"column":23},"end":{"line":71,"column":32},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿ExpressionStatement
2025¿AssignmentExpression¿+=¿2843¿¿¿¿{"start":{"line":71,"column":23},"end":{"line":71,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿AssignmentExpression
2026¿Identifier¿¿2843¿n¿¿¿{"start":{"line":71,"column":23},"end":{"line":71,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
2027¿Literal¿string¿2843¿¿','¿¿{"start":{"line":71,"column":28},"end":{"line":71,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Literal
2028¿BlockStatement¿¿2843¿¿¿¿¿¿BlockStatement
2029¿VariableDeclarator¿¿2843¿v192¿¿¿{"start":{"line":72,"column":32},"end":{"line":72,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
2030¿MemberExpression¿computed¿2843¿¿¿¿{"start":{"line":72,"column":32},"end":{"line":72,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿MemberExpression
2031¿Identifier¿¿2843¿arguments¿¿¿{"start":{"line":72,"column":32},"end":{"line":72,"column":41},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
2032¿Identifier¿¿2843¿i¿¿¿{"start":{"line":72,"column":42},"end":{"line":72,"column":43},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
2033¿ExpressionStatement¿¿2843¿¿¿¿{"start":{"line":72,"column":12},"end":{"line":72,"column":46},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿ExpressionStatement
2034¿AssignmentExpression¿+=¿2843¿¿¿¿{"start":{"line":72,"column":12},"end":{"line":72,"column":45},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿AssignmentExpression
2035¿Identifier¿¿2843¿n¿¿¿{"start":{"line":72,"column":12},"end":{"line":72,"column":13},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
2036¿CallExpression¿¿2843¿¿¿¿{"start":{"line":72,"column":17},"end":{"line":72,"column":45},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿CallExpression
2037¿MemberExpression¿¿2843¿¿¿¿{"start":{"line":72,"column":17},"end":{"line":72,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿MemberExpression
2038¿Identifier¿¿2843¿JSON¿¿¿{"start":{"line":72,"column":17},"end":{"line":72,"column":21},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
2039¿Identifier¿¿2843¿stringify¿¿¿{"start":{"line":72,"column":22},"end":{"line":72,"column":31},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
2040¿Identifier¿¿2843¿v192¿¿¿¿¿Identifier
2041¿VariableDeclarator¿¿2843¿v190¿¿¿{"start":{"line":70,"column":46},"end":{"line":70,"column":49},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
2042¿UpdateExpression¿¿2843¿¿¿¿{"start":{"line":70,"column":46},"end":{"line":70,"column":49},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿UpdateExpression
2043¿Identifier¿¿2843¿i¿¿¿{"start":{"line":70,"column":46},"end":{"line":70,"column":47},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
2044¿ExpressionStatement¿¿2843¿¿¿¿{"start":{"line":70,"column":8},"end":{"line":73,"column":9},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿ExpressionStatement
2045¿AssignmentExpression¿=¿2843¿¿¿¿{"start":{"line":70,"column":8},"end":{"line":73,"column":9},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿AssignmentExpression
2046¿Identifier¿¿2843¿v189¿¿¿{"start":{"line":70,"column":8},"end":{"line":73,"column":9},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
2047¿BinaryExpression¿<¿2843¿¿¿¿{"start":{"line":70,"column":24},"end":{"line":70,"column":44},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿BinaryExpression
2048¿Identifier¿¿2843¿i¿¿¿{"start":{"line":70,"column":24},"end":{"line":70,"column":25},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
2049¿Identifier¿¿2843¿v188¿¿¿¿¿Identifier
2050¿BlockStatement¿¿2843¿¿¿¿¿¿BlockStatement
2051¿IfStatement¿¿2843¿¿¿¿{"start":{"line":74,"column":8},"end":{"line":76,"column":9},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿IfStatement
2052¿Identifier¿¿2843¿isDebuggable¿¿¿{"start":{"line":74,"column":12},"end":{"line":74,"column":24},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
2053¿VariableDeclarator¿¿2843¿v193¿¿¿{"start":{"line":75,"column":25},"end":{"line":75,"column":39},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
2054¿CallExpression¿¿2843¿¿¿¿{"start":{"line":75,"column":25},"end":{"line":75,"column":39},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿CallExpression
2055¿MemberExpression¿¿2843¿¿¿¿{"start":{"line":75,"column":25},"end":{"line":75,"column":37},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿MemberExpression
2056¿ThisExpression¿¿2843¿¿¿¿{"start":{"line":75,"column":25},"end":{"line":75,"column":29},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿ThisExpression
2057¿Identifier¿¿2843¿getTime¿¿¿{"start":{"line":75,"column":30},"end":{"line":75,"column":37},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
2058¿VariableDeclarator¿¿2843¿v194¿¿¿{"start":{"line":75,"column":25},"end":{"line":75,"column":43},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
2059¿BinaryExpression¿+¿2843¿¿¿¿{"start":{"line":75,"column":25},"end":{"line":75,"column":43},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿BinaryExpression
2060¿Identifier¿¿2843¿v193¿¿¿¿¿Identifier
2061¿Identifier¿¿2843¿n¿¿¿{"start":{"line":75,"column":42},"end":{"line":75,"column":43},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿Identifier
2062¿VariableDeclarator¿¿2843¿v195¿¿¿{"start":{"line":75,"column":24},"end":{"line":75,"column":50},"fname":"/datasets/secbench-dataset/CWE-94/m-log_0.0.1/src/log.js"}¿¿VariableDeclarator
