Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
965¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":104,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Program
1101¿VariableDeclarator¿¿1686¿v110¿¿¿{"start":{"line":19,"column":9},"end":{"line":19,"column":28},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1102¿CallExpression¿¿1686¿¿¿¿{"start":{"line":19,"column":9},"end":{"line":19,"column":28},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿CallExpression
1103¿MemberExpression¿¿1686¿¿¿¿{"start":{"line":19,"column":9},"end":{"line":19,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿MemberExpression
1104¿Identifier¿¿1686¿Number¿¿¿{"start":{"line":19,"column":9},"end":{"line":19,"column":15},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1105¿Identifier¿¿1686¿isInteger¿¿¿{"start":{"line":19,"column":16},"end":{"line":19,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1106¿Identifier¿¿1686¿i¿¿¿{"start":{"line":19,"column":26},"end":{"line":19,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1107¿VariableDeclarator¿¿1686¿v111¿¿¿{"start":{"line":19,"column":32},"end":{"line":19,"column":38},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1108¿BinaryExpression¿>=¿1686¿¿¿¿{"start":{"line":19,"column":32},"end":{"line":19,"column":38},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿BinaryExpression
1109¿Identifier¿¿1686¿i¿¿¿{"start":{"line":19,"column":32},"end":{"line":19,"column":33},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1110¿Literal¿number¿1686¿¿0¿¿{"start":{"line":19,"column":37},"end":{"line":19,"column":38},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Literal
1111¿VariableDeclarator¿¿1686¿v112¿¿¿{"start":{"line":19,"column":9},"end":{"line":19,"column":38},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1112¿LogicalExpression¿&&¿1686¿¿¿¿{"start":{"line":19,"column":9},"end":{"line":19,"column":38},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿LogicalExpression
1113¿Identifier¿¿1686¿v110¿¿¿¿¿Identifier
1114¿Identifier¿¿1686¿v111¿¿¿¿¿Identifier
1115¿ReturnStatement¿¿1686¿¿¿¿{"start":{"line":19,"column":2},"end":{"line":19,"column":38},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿ReturnStatement
1116¿Identifier¿¿1686¿v112¿¿¿¿¿Identifier
1117¿BlockStatement¿¿1686¿¿¿¿{"start":{"line":18,"column":34},"end":{"line":20,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿BlockStatement
1118¿VariableDeclarator¿exported¿1674¿set¿¿¿{"start":{"line":22,"column":0},"end":{"line":33,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1119¿FunctionExpression¿¿1674¿anon¿¿¿{"start":{"line":22,"column":0},"end":{"line":33,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿FunctionExpression
1120¿Identifier¿¿0¿obj¿¿¿{"start":{"line":22,"column":14},"end":{"line":22,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1121¿Identifier¿¿0¿path¿¿¿{"start":{"line":22,"column":19},"end":{"line":22,"column":23},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1122¿Identifier¿¿0¿value¿¿¿{"start":{"line":22,"column":25},"end":{"line":22,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1123¿VariableDeclarator¿¿1688¿v113¿¿¿{"start":{"line":23,"column":5},"end":{"line":23,"column":9},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1124¿UnaryExpression¿!¿1688¿¿¿¿{"start":{"line":23,"column":5},"end":{"line":23,"column":9},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿UnaryExpression
1125¿Identifier¿¿1688¿obj¿¿¿{"start":{"line":23,"column":6},"end":{"line":23,"column":9},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1126¿IfStatement¿¿1688¿¿¿¿{"start":{"line":23,"column":2},"end":{"line":23,"column":72},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿IfStatement
1127¿Identifier¿¿1688¿v113¿¿¿¿¿Identifier
1128¿VariableDeclarator¿¿1688¿v114¿¿¿{"start":{"line":23,"column":17},"end":{"line":23,"column":72},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1129¿NewExpression¿¿1688¿¿¿¿{"start":{"line":23,"column":17},"end":{"line":23,"column":72},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿NewExpression
1130¿Identifier¿¿1688¿Error¿¿¿{"start":{"line":23,"column":21},"end":{"line":23,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1131¿Literal¿string¿1688¿¿'libnested.set: first arg must be an object'¿¿{"start":{"line":23,"column":27},"end":{"line":23,"column":71},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Literal
1132¿ThrowStatement¿¿1688¿¿¿¿{"start":{"line":23,"column":11},"end":{"line":23,"column":72},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿ThrowStatement
1133¿Identifier¿¿1688¿v114¿¿¿¿¿Identifier
1134¿BlockStatement¿¿1688¿¿¿¿¿¿BlockStatement
1135¿VariableDeclarator¿¿1688¿v115¿¿¿{"start":{"line":24,"column":5},"end":{"line":24,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1136¿CallExpression¿¿1688¿¿¿¿{"start":{"line":24,"column":5},"end":{"line":24,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿CallExpression
1137¿Identifier¿¿1688¿isBasic¿¿¿{"start":{"line":24,"column":5},"end":{"line":24,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1138¿Identifier¿¿1688¿path¿¿¿{"start":{"line":24,"column":13},"end":{"line":24,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1139¿IfStatement¿¿1688¿¿¿¿{"start":{"line":24,"column":2},"end":{"line":24,"column":44},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿IfStatement
1140¿Identifier¿¿1688¿v115¿¿¿¿¿Identifier
1141¿ReturnStatement¿¿1688¿¿¿¿{"start":{"line":24,"column":20},"end":{"line":24,"column":44},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿ReturnStatement
1142¿AssignmentExpression¿=¿1688¿¿¿¿{"start":{"line":24,"column":27},"end":{"line":24,"column":44},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿AssignmentExpression
1143¿MemberExpression¿computed¿1688¿¿¿¿{"start":{"line":24,"column":27},"end":{"line":24,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿MemberExpression
1144¿Identifier¿¿1688¿obj¿¿¿{"start":{"line":24,"column":27},"end":{"line":24,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1145¿Identifier¿¿1688¿path¿¿¿{"start":{"line":24,"column":31},"end":{"line":24,"column":35},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1146¿Identifier¿¿1688¿value¿¿¿{"start":{"line":24,"column":39},"end":{"line":24,"column":44},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1147¿BlockStatement¿¿1688¿¿¿¿¿¿BlockStatement
1148¿VariableDeclarator¿¿1688¿i¿¿¿{"start":{"line":25,"column":10},"end":{"line":25,"column":15},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1149¿Literal¿number¿1688¿¿0¿¿{"start":{"line":25,"column":14},"end":{"line":25,"column":15},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Literal
1150¿VariableDeclarator¿¿1688¿v116¿¿¿{"start":{"line":25,"column":21},"end":{"line":25,"column":32},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1151¿MemberExpression¿¿1688¿¿¿¿{"start":{"line":25,"column":21},"end":{"line":25,"column":32},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿MemberExpression
1152¿Identifier¿¿1688¿path¿¿¿{"start":{"line":25,"column":21},"end":{"line":25,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1153¿Identifier¿¿1688¿length¿¿¿{"start":{"line":25,"column":26},"end":{"line":25,"column":32},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1154¿VariableDeclarator¿¿1688¿v117¿¿¿{"start":{"line":25,"column":17},"end":{"line":25,"column":32},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1155¿BinaryExpression¿<¿1688¿¿¿¿{"start":{"line":25,"column":17},"end":{"line":25,"column":32},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿BinaryExpression
1156¿Identifier¿¿1688¿i¿¿¿{"start":{"line":25,"column":17},"end":{"line":25,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1157¿Identifier¿¿1688¿v116¿¿¿¿¿Identifier
1158¿WhileStatement¿¿1688¿¿¿¿{"start":{"line":25,"column":2},"end":{"line":31,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿WhileStatement
1159¿Identifier¿¿1688¿v117¿¿¿¿¿Identifier
1160¿VariableDeclarator¿¿1688¿v119¿¿¿{"start":{"line":26,"column":13},"end":{"line":26,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1161¿MemberExpression¿¿1688¿¿¿¿{"start":{"line":26,"column":13},"end":{"line":26,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿MemberExpression
1162¿Identifier¿¿1688¿path¿¿¿{"start":{"line":26,"column":13},"end":{"line":26,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1163¿Identifier¿¿1688¿length¿¿¿{"start":{"line":26,"column":18},"end":{"line":26,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1164¿VariableDeclarator¿¿1688¿v120¿¿¿{"start":{"line":26,"column":13},"end":{"line":26,"column":28},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1165¿BinaryExpression¿-¿1688¿¿¿¿{"start":{"line":26,"column":13},"end":{"line":26,"column":28},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿BinaryExpression
1166¿Identifier¿¿1688¿v119¿¿¿¿¿Identifier
1167¿Literal¿number¿1688¿¿1¿¿{"start":{"line":26,"column":27},"end":{"line":26,"column":28},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Literal
1168¿VariableDeclarator¿¿1688¿v121¿¿¿{"start":{"line":26,"column":7},"end":{"line":26,"column":28},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1169¿BinaryExpression¿===¿1688¿¿¿¿{"start":{"line":26,"column":7},"end":{"line":26,"column":28},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿BinaryExpression
1170¿Identifier¿¿1688¿i¿¿¿{"start":{"line":26,"column":7},"end":{"line":26,"column":8},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1171¿Identifier¿¿1688¿v120¿¿¿¿¿Identifier
1172¿IfStatement¿¿1688¿¿¿¿{"start":{"line":26,"column":4},"end":{"line":31,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿IfStatement
1173¿Identifier¿¿1688¿v121¿¿¿¿¿Identifier
1174¿VariableDeclarator¿¿1688¿v122¿¿¿{"start":{"line":27,"column":10},"end":{"line":27,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1175¿MemberExpression¿computed¿1688¿¿¿¿{"start":{"line":27,"column":10},"end":{"line":27,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿MemberExpression
1176¿Identifier¿¿1688¿path¿¿¿{"start":{"line":27,"column":10},"end":{"line":27,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1177¿Identifier¿¿1688¿i¿¿¿{"start":{"line":27,"column":15},"end":{"line":27,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1178¿ExpressionStatement¿¿1688¿¿¿¿{"start":{"line":27,"column":6},"end":{"line":27,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿ExpressionStatement
1179¿AssignmentExpression¿=¿1688¿¿¿¿{"start":{"line":27,"column":6},"end":{"line":27,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿AssignmentExpression
1180¿MemberExpression¿computed¿1688¿¿¿¿{"start":{"line":27,"column":6},"end":{"line":27,"column":18},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿MemberExpression
1181¿Identifier¿¿1688¿obj¿¿¿{"start":{"line":27,"column":6},"end":{"line":27,"column":9},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1182¿Identifier¿¿1688¿v122¿¿¿¿¿Identifier
1183¿Identifier¿¿1688¿value¿¿¿{"start":{"line":27,"column":21},"end":{"line":27,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1184¿BlockStatement¿¿1688¿¿¿¿¿¿BlockStatement
1185¿VariableDeclarator¿¿1688¿v123¿¿¿{"start":{"line":28,"column":24},"end":{"line":28,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1186¿MemberExpression¿computed¿1688¿¿¿¿{"start":{"line":28,"column":24},"end":{"line":28,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿MemberExpression
1187¿Identifier¿¿1688¿path¿¿¿{"start":{"line":28,"column":24},"end":{"line":28,"column":28},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1188¿Identifier¿¿1688¿i¿¿¿{"start":{"line":28,"column":29},"end":{"line":28,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1189¿VariableDeclarator¿¿1688¿v124¿¿¿{"start":{"line":28,"column":20},"end":{"line":28,"column":32},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1190¿MemberExpression¿computed¿1688¿¿¿¿{"start":{"line":28,"column":20},"end":{"line":28,"column":32},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿MemberExpression
1191¿Identifier¿¿1688¿obj¿¿¿{"start":{"line":28,"column":20},"end":{"line":28,"column":23},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1192¿Identifier¿¿1688¿v123¿¿¿¿¿Identifier
1193¿VariableDeclarator¿¿1688¿v125¿¿¿{"start":{"line":28,"column":12},"end":{"line":28,"column":32},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1194¿BinaryExpression¿==¿1688¿¿¿¿{"start":{"line":28,"column":12},"end":{"line":28,"column":32},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿BinaryExpression
1195¿Literal¿object¿1688¿¿null¿¿{"start":{"line":28,"column":12},"end":{"line":28,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Literal
1196¿Identifier¿¿1688¿v124¿¿¿¿¿Identifier
1197¿IfStatement¿¿1688¿¿¿¿{"start":{"line":28,"column":9},"end":{"line":31,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿IfStatement
1198¿Identifier¿¿1688¿v125¿¿¿¿¿Identifier
1199¿VariableDeclarator¿¿1688¿v126¿¿¿{"start":{"line":29,"column":17},"end":{"line":29,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1200¿MemberExpression¿computed¿1688¿¿¿¿{"start":{"line":29,"column":17},"end":{"line":29,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿MemberExpression
1201¿Identifier¿¿1688¿path¿¿¿{"start":{"line":29,"column":17},"end":{"line":29,"column":21},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1202¿Identifier¿¿1688¿i¿¿¿{"start":{"line":29,"column":22},"end":{"line":29,"column":23},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1203¿VariableDeclarator¿¿1688¿v127¿¿¿{"start":{"line":29,"column":54},"end":{"line":29,"column":57},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1204¿BinaryExpression¿+¿1688¿¿¿¿{"start":{"line":29,"column":54},"end":{"line":29,"column":57},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿BinaryExpression
1205¿Identifier¿¿1688¿i¿¿¿{"start":{"line":29,"column":54},"end":{"line":29,"column":55},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1206¿Literal¿number¿1688¿¿1¿¿{"start":{"line":29,"column":56},"end":{"line":29,"column":57},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Literal
1207¿VariableDeclarator¿¿1688¿v128¿¿¿{"start":{"line":29,"column":49},"end":{"line":29,"column":58},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1208¿MemberExpression¿computed¿1688¿¿¿¿{"start":{"line":29,"column":49},"end":{"line":29,"column":58},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿MemberExpression
1209¿Identifier¿¿1688¿path¿¿¿{"start":{"line":29,"column":49},"end":{"line":29,"column":53},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1210¿Identifier¿¿1688¿v127¿¿¿¿¿Identifier
1211¿VariableDeclarator¿¿1688¿v129¿¿¿{"start":{"line":29,"column":28},"end":{"line":29,"column":59},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1212¿CallExpression¿¿1688¿¿¿¿{"start":{"line":29,"column":28},"end":{"line":29,"column":59},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿CallExpression
1213¿Identifier¿¿1688¿isNonNegativeInteger¿¿¿{"start":{"line":29,"column":28},"end":{"line":29,"column":48},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1214¿Identifier¿¿1688¿v128¿¿¿¿¿Identifier
1215¿VariableDeclarator¿¿1688¿v130¿¿¿{"start":{"line":29,"column":62},"end":{"line":29,"column":64},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1216¿ArrayExpression¿¿1688¿¿¿¿{"start":{"line":29,"column":62},"end":{"line":29,"column":64},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿ArrayExpression
1217¿VariableDeclarator¿¿1688¿v131¿¿¿{"start":{"line":29,"column":67},"end":{"line":29,"column":69},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1218¿ObjectExpression¿¿1688¿¿¿¿{"start":{"line":29,"column":67},"end":{"line":29,"column":69},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿ObjectExpression
1219¿VariableDeclarator¿¿1688¿v132¿¿¿{"start":{"line":29,"column":28},"end":{"line":29,"column":69},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿VariableDeclarator
1220¿IfStatement¿¿1688¿¿¿¿{"start":{"line":29,"column":28},"end":{"line":29,"column":69},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿IfStatement
1221¿Identifier¿¿1688¿v129¿¿¿¿¿Identifier
1222¿ExpressionStatement¿¿1688¿¿¿¿{"start":{"line":29,"column":28},"end":{"line":29,"column":69},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿ExpressionStatement
1223¿AssignmentExpression¿=¿1688¿¿¿¿{"start":{"line":29,"column":28},"end":{"line":29,"column":69},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿AssignmentExpression
1224¿Identifier¿¿1688¿v132¿¿¿¿¿Identifier
1225¿Identifier¿¿1688¿v130¿¿¿¿¿Identifier
1226¿BlockStatement¿¿1688¿¿¿¿¿¿BlockStatement
1227¿ExpressionStatement¿¿1688¿¿¿¿{"start":{"line":29,"column":28},"end":{"line":29,"column":69},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿ExpressionStatement
1228¿AssignmentExpression¿=¿1688¿¿¿¿{"start":{"line":29,"column":28},"end":{"line":29,"column":69},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿AssignmentExpression
1229¿Identifier¿¿1688¿v132¿¿¿¿¿Identifier
1230¿Identifier¿¿1688¿v131¿¿¿¿¿Identifier
1231¿BlockStatement¿¿1688¿¿¿¿¿¿BlockStatement
1232¿ExpressionStatement¿¿1688¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":70},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿ExpressionStatement
1233¿AssignmentExpression¿=¿1688¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":70},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿AssignmentExpression
1234¿MemberExpression¿¿1688¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":70},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿MemberExpression
1235¿Identifier¿¿1688¿obj¿¿¿{"start":{"line":29,"column":13},"end":{"line":29,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿Identifier
1236¿Identifier¿¿1688¿v126¿¿¿¿¿Identifier
1237¿Identifier¿¿1688¿v132¿¿¿¿¿Identifier
1238¿ExpressionStatement¿¿1688¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":70},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿ExpressionStatement
1239¿AssignmentExpression¿=¿1688¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":70},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-x5m8-2r8v-8f97/src/index.js"}¿¿AssignmentExpression
