Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1079¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":73,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Program
1206¿Identifier¿¿1847¿v120¿¿¿¿¿Identifier
1207¿BlockStatement¿¿1847¿¿¿¿¿¿BlockStatement
1208¿ExpressionStatement¿¿1847¿¿¿¿{"start":{"line":6,"column":32},"end":{"line":6,"column":148},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿ExpressionStatement
1209¿AssignmentExpression¿=¿1847¿¿¿¿{"start":{"line":6,"column":32},"end":{"line":6,"column":148},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿AssignmentExpression
1210¿Identifier¿¿1847¿v126¿¿¿¿¿Identifier
1211¿Identifier¿¿1847¿v125¿¿¿¿¿Identifier
1212¿BlockStatement¿¿1847¿¿¿¿¿¿BlockStatement
1213¿ExpressionStatement¿¿1847¿¿¿¿{"start":{"line":6,"column":32},"end":{"line":6,"column":149},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿ExpressionStatement
1214¿Identifier¿¿1847¿v126¿¿¿¿¿Identifier
1215¿BlockStatement¿¿1847¿¿¿¿{"start":{"line":6,"column":30},"end":{"line":6,"column":151},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿BlockStatement
1216¿VariableDeclarator¿¿1839¿v127¿¿¿{"start":{"line":7,"column":65},"end":{"line":7,"column":67},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1217¿ArrayExpression¿¿1839¿¿¿¿{"start":{"line":7,"column":65},"end":{"line":7,"column":67},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿ArrayExpression
1218¿VariableDeclarator¿¿1839¿v128¿¿¿{"start":{"line":7,"column":51},"end":{"line":7,"column":67},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1219¿LogicalExpression¿||¿1839¿¿¿¿{"start":{"line":7,"column":51},"end":{"line":7,"column":67},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿LogicalExpression
1220¿Identifier¿¿1839¿_arguments¿¿¿{"start":{"line":7,"column":51},"end":{"line":7,"column":61},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1221¿Identifier¿¿1839¿v127¿¿¿¿¿Identifier
1222¿VariableDeclarator¿¿1839¿v129¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":76},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1223¿CallExpression¿¿1839¿¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":76},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿CallExpression
1224¿MemberExpression¿¿1839¿¿¿¿{"start":{"line":7,"column":13},"end":{"line":7,"column":74},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿MemberExpression
1225¿AssignmentExpression¿=¿1839¿¿¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":68},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿AssignmentExpression
1226¿Identifier¿¿1839¿generator¿¿¿{"start":{"line":7,"column":14},"end":{"line":7,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1227¿CallExpression¿¿1839¿¿¿¿{"start":{"line":7,"column":26},"end":{"line":7,"column":68},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿CallExpression
1228¿MemberExpression¿¿1839¿¿¿¿{"start":{"line":7,"column":26},"end":{"line":7,"column":41},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿MemberExpression
1229¿Identifier¿¿1839¿generator¿¿¿{"start":{"line":7,"column":26},"end":{"line":7,"column":35},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1230¿Identifier¿¿1839¿apply¿¿¿{"start":{"line":7,"column":36},"end":{"line":7,"column":41},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1231¿Identifier¿¿1839¿thisArg¿¿¿{"start":{"line":7,"column":42},"end":{"line":7,"column":49},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1232¿Identifier¿¿1839¿v128¿¿¿¿¿Identifier
1233¿Identifier¿¿1839¿next¿¿¿{"start":{"line":7,"column":70},"end":{"line":7,"column":74},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1234¿VariableDeclarator¿¿1839¿v130¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":77},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1235¿CallExpression¿¿1839¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":77},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿CallExpression
1236¿Identifier¿¿1839¿step¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1237¿Identifier¿¿1839¿v129¿¿¿¿¿Identifier
1238¿ExpressionStatement¿¿1839¿¿¿¿{"start":{"line":7,"column":8},"end":{"line":7,"column":78},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿ExpressionStatement
1239¿Identifier¿¿1839¿v130¿¿¿¿¿Identifier
1240¿BlockStatement¿¿1839¿¿¿¿{"start":{"line":3,"column":63},"end":{"line":8,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿BlockStatement
1241¿VariableDeclarator¿¿1837¿v132¿¿¿{"start":{"line":3,"column":11},"end":{"line":8,"column":6},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1242¿NewExpression¿¿1837¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":8,"column":6},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿NewExpression
1243¿Identifier¿¿1837¿v111¿¿¿¿¿Identifier
1244¿Identifier¿¿1837¿v131¿¿¿¿¿Identifier
1245¿ReturnStatement¿¿1837¿¿¿¿{"start":{"line":3,"column":4},"end":{"line":8,"column":7},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿ReturnStatement
1246¿Identifier¿¿1837¿v132¿¿¿¿¿Identifier
1247¿BlockStatement¿¿1837¿¿¿¿{"start":{"line":2,"column":89},"end":{"line":9,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿BlockStatement
1248¿VariableDeclarator¿¿1835¿__awaiter¿¿¿{"start":{"line":2,"column":4},"end":{"line":9,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1249¿LogicalExpression¿||¿1835¿¿¿¿{"start":{"line":2,"column":16},"end":{"line":9,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿LogicalExpression
1250¿Identifier¿¿1835¿v110¿¿¿¿¿Identifier
1251¿Identifier¿¿1835¿v133¿¿¿¿¿Identifier
1252¿VariableDeclarator¿¿1835¿v134¿¿¿{"start":{"line":10,"column":45},"end":{"line":10,"column":60},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1253¿ObjectExpression¿¿1835¿¿¿¿{"start":{"line":10,"column":45},"end":{"line":10,"column":60},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿ObjectExpression
1254¿Property¿¿1835¿¿¿¿{"start":{"line":10,"column":47},"end":{"line":10,"column":58},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Property
1255¿Identifier¿¿1835¿value¿¿¿{"start":{"line":10,"column":47},"end":{"line":10,"column":52},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1256¿Literal¿boolean¿1835¿¿true¿¿{"start":{"line":10,"column":54},"end":{"line":10,"column":58},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Literal
1257¿VariableDeclarator¿¿1835¿v135¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":61},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1258¿CallExpression¿¿1835¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":61},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿CallExpression
1259¿MemberExpression¿¿1835¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿MemberExpression
1260¿Identifier¿¿1835¿Object¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":6},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1261¿Identifier¿¿1835¿defineProperty¿¿¿{"start":{"line":10,"column":7},"end":{"line":10,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1262¿Identifier¿¿1835¿exports¿¿¿{"start":{"line":10,"column":22},"end":{"line":10,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1263¿Literal¿string¿1835¿¿'__esModule'¿¿{"start":{"line":10,"column":31},"end":{"line":10,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Literal
1264¿Identifier¿¿1835¿v134¿¿¿¿¿Identifier
1265¿ExpressionStatement¿¿1835¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":62},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿ExpressionStatement
1266¿Identifier¿¿1835¿v135¿¿¿¿¿Identifier
1267¿VariableDeclarator¿¿1835¿child_process_1¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":48},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1268¿CallExpression¿¿1835¿¿¿¿{"start":{"line":11,"column":24},"end":{"line":11,"column":48},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿CallExpression
1269¿Identifier¿¿1835¿require¿¿¿{"start":{"line":11,"column":24},"end":{"line":11,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1270¿Literal¿string¿1835¿¿'child_process'¿¿{"start":{"line":11,"column":32},"end":{"line":11,"column":47},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Literal
1271¿VariableDeclarator¿¿1835¿os_1¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1272¿CallExpression¿¿1835¿¿¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿CallExpression
1273¿Identifier¿¿1835¿require¿¿¿{"start":{"line":12,"column":13},"end":{"line":12,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1274¿Literal¿string¿1835¿¿'os'¿¿{"start":{"line":12,"column":21},"end":{"line":12,"column":25},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Literal
1275¿VariableDeclarator¿¿1835¿pidFromPort¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1276¿CallExpression¿¿1835¿¿¿¿{"start":{"line":13,"column":20},"end":{"line":13,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿CallExpression
1277¿Identifier¿¿1835¿require¿¿¿{"start":{"line":13,"column":20},"end":{"line":13,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1278¿Literal¿string¿1835¿¿'pid-from-port'¿¿{"start":{"line":13,"column":28},"end":{"line":13,"column":43},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Literal
1279¿VariableDeclarator¿exported¿1835¿Killer¿¿¿{"start":{"line":14,"column":0},"end":{"line":72,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1280¿FunctionExpression¿¿1835¿Killer¿¿¿{"start":{"line":15,"column":15},"end":{"line":18,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿FunctionExpression
1281¿Identifier¿¿0¿ports¿¿¿{"start":{"line":15,"column":16},"end":{"line":15,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1282¿Identifier¿¿0¿options¿¿¿{"start":{"line":15,"column":23},"end":{"line":15,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1283¿ExpressionStatement¿¿1852¿¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿ExpressionStatement
1284¿AssignmentExpression¿=¿1852¿¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿AssignmentExpression
1285¿MemberExpression¿¿1852¿¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿MemberExpression
1286¿ThisExpression¿¿1852¿¿¿¿{"start":{"line":16,"column":8},"end":{"line":16,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿ThisExpression
1287¿Identifier¿¿1852¿ports¿¿¿{"start":{"line":16,"column":13},"end":{"line":16,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1288¿Identifier¿¿1852¿ports¿¿¿{"start":{"line":16,"column":21},"end":{"line":16,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1289¿ExpressionStatement¿¿1852¿¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":31},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿ExpressionStatement
1290¿AssignmentExpression¿=¿1852¿¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿AssignmentExpression
1291¿MemberExpression¿¿1852¿¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿MemberExpression
1292¿ThisExpression¿¿1852¿¿¿¿{"start":{"line":17,"column":8},"end":{"line":17,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿ThisExpression
1293¿Identifier¿¿1852¿options¿¿¿{"start":{"line":17,"column":13},"end":{"line":17,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1294¿Identifier¿¿1852¿options¿¿¿{"start":{"line":17,"column":23},"end":{"line":17,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1295¿BlockStatement¿¿1852¿¿¿¿{"start":{"line":15,"column":32},"end":{"line":18,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿BlockStatement
1296¿VariableDeclarator¿¿1835¿kill¿¿¿{"start":{"line":14,"column":0},"end":{"line":72,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1297¿FunctionExpression¿¿1835¿kill¿¿¿{"start":{"line":19,"column":8},"end":{"line":25,"column":5},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿FunctionExpression
1298¿VariableDeclarator¿¿1854¿v136¿¿¿{"start":{"line":20,"column":31},"end":{"line":20,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1299¿UnaryExpression¿void¿1854¿¿¿¿{"start":{"line":20,"column":31},"end":{"line":20,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿UnaryExpression
1300¿Literal¿number¿1854¿¿0¿¿{"start":{"line":20,"column":36},"end":{"line":20,"column":37},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Literal
1301¿VariableDeclarator¿¿1854¿v137¿¿¿{"start":{"line":20,"column":39},"end":{"line":20,"column":45},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1302¿UnaryExpression¿void¿1854¿¿¿¿{"start":{"line":20,"column":39},"end":{"line":20,"column":45},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿UnaryExpression
1303¿Literal¿number¿1854¿¿0¿¿{"start":{"line":20,"column":44},"end":{"line":20,"column":45},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Literal
1304¿VariableDeclarator¿¿1854¿v144¿¿¿{"start":{"line":20,"column":47},"end":{"line":24,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1305¿FunctionExpression¿¿1854¿anon¿¿¿{"start":{"line":20,"column":47},"end":{"line":24,"column":9},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿FunctionExpression
1306¿VariableDeclarator¿¿1856¿killFunc¿¿¿{"start":{"line":21,"column":18},"end":{"line":21,"column":89},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1307¿VariableDeclarator¿¿1856¿v138¿¿¿{"start":{"line":21,"column":29},"end":{"line":21,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1308¿CallExpression¿¿1856¿¿¿¿{"start":{"line":21,"column":29},"end":{"line":21,"column":44},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿CallExpression
1309¿MemberExpression¿¿1856¿¿¿¿{"start":{"line":21,"column":29},"end":{"line":21,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿MemberExpression
1310¿Identifier¿¿1856¿os_1¿¿¿{"start":{"line":21,"column":29},"end":{"line":21,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1311¿Identifier¿¿1856¿platform¿¿¿{"start":{"line":21,"column":34},"end":{"line":21,"column":42},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1312¿VariableDeclarator¿¿1856¿v139¿¿¿{"start":{"line":21,"column":29},"end":{"line":21,"column":56},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1313¿BinaryExpression¿===¿1856¿¿¿¿{"start":{"line":21,"column":29},"end":{"line":21,"column":56},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿BinaryExpression
1314¿Identifier¿¿1856¿v138¿¿¿¿¿Identifier
1315¿Literal¿string¿1856¿¿'win32'¿¿{"start":{"line":21,"column":49},"end":{"line":21,"column":56},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Literal
1316¿VariableDeclarator¿¿1856¿v140¿¿¿{"start":{"line":21,"column":59},"end":{"line":21,"column":73},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1317¿MemberExpression¿¿1856¿¿¿¿{"start":{"line":21,"column":59},"end":{"line":21,"column":73},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿MemberExpression
1318¿ThisExpression¿¿1856¿¿¿¿{"start":{"line":21,"column":59},"end":{"line":21,"column":63},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿ThisExpression
1319¿Identifier¿¿1856¿win32Kill¿¿¿{"start":{"line":21,"column":64},"end":{"line":21,"column":73},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1320¿VariableDeclarator¿¿1856¿v141¿¿¿{"start":{"line":21,"column":76},"end":{"line":21,"column":89},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1321¿MemberExpression¿¿1856¿¿¿¿{"start":{"line":21,"column":76},"end":{"line":21,"column":89},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿MemberExpression
1322¿ThisExpression¿¿1856¿¿¿¿{"start":{"line":21,"column":76},"end":{"line":21,"column":80},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿ThisExpression
1323¿Identifier¿¿1856¿unixKill¿¿¿{"start":{"line":21,"column":81},"end":{"line":21,"column":89},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1324¿IfStatement¿¿1856¿¿¿¿{"start":{"line":21,"column":29},"end":{"line":21,"column":89},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿IfStatement
1325¿Identifier¿¿1856¿v139¿¿¿¿¿Identifier
1326¿ExpressionStatement¿¿1856¿¿¿¿{"start":{"line":21,"column":29},"end":{"line":21,"column":89},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿ExpressionStatement
1327¿AssignmentExpression¿=¿1856¿¿¿¿{"start":{"line":21,"column":29},"end":{"line":21,"column":89},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿AssignmentExpression
1328¿Identifier¿¿1856¿killFunc¿¿¿{"start":{"line":21,"column":29},"end":{"line":21,"column":89},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1329¿Identifier¿¿1856¿v140¿¿¿¿¿Identifier
1330¿BlockStatement¿¿1856¿¿¿¿¿¿BlockStatement
1331¿ExpressionStatement¿¿1856¿¿¿¿{"start":{"line":21,"column":29},"end":{"line":21,"column":89},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿ExpressionStatement
1332¿AssignmentExpression¿=¿1856¿¿¿¿{"start":{"line":21,"column":29},"end":{"line":21,"column":89},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿AssignmentExpression
1333¿Identifier¿¿1856¿killFunc¿¿¿{"start":{"line":21,"column":29},"end":{"line":21,"column":89},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿Identifier
1334¿Identifier¿¿1856¿v141¿¿¿¿¿Identifier
1335¿BlockStatement¿¿1856¿¿¿¿¿¿BlockStatement
1336¿VariableDeclarator¿¿1856¿v142¿¿¿{"start":{"line":22,"column":29},"end":{"line":22,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿VariableDeclarator
1337¿MemberExpression¿¿1856¿¿¿¿{"start":{"line":22,"column":29},"end":{"line":22,"column":39},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿MemberExpression
1338¿ThisExpression¿¿1856¿¿¿¿{"start":{"line":22,"column":29},"end":{"line":22,"column":33},"fname":"/datasets/vulcan-dataset/CWE-78/GHSA-xp4x-j9vh-c3wf/src/killer.js"}¿¿ThisExpression
