Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
682¿Program¿¿¿¿¿{"start":{"line":5,"column":0},"end":{"line":129,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Program
839¿ThisExpression¿¿¿¿¿{"start":{"line":47,"column":14},"end":{"line":47,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿ThisExpression
840¿Identifier¿¿_merge¿¿¿{"start":{"line":47,"column":19},"end":{"line":47,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
841¿Identifier¿¿thisVal¿¿¿{"start":{"line":47,"column":26},"end":{"line":47,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
842¿Identifier¿¿subExpandedObj¿¿¿{"start":{"line":47,"column":35},"end":{"line":47,"column":49},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
843¿ExpressionStatement¿¿¿¿¿{"start":{"line":48,"column":8},"end":{"line":48,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿ExpressionStatement
844¿AssignmentExpression¿=¿¿¿¿{"start":{"line":48,"column":8},"end":{"line":48,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿AssignmentExpression
845¿Identifier¿¿key¿¿¿{"start":{"line":48,"column":8},"end":{"line":48,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
846¿Identifier¿¿thisKey¿¿¿{"start":{"line":48,"column":14},"end":{"line":48,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
847¿BlockStatement¿¿¿¿¿{"start":{"line":40,"column":25},"end":{"line":49,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿BlockStatement
848¿VariableDeclarator¿¿v69¿¿¿¿¿VariableDeclarator
849¿CallExpression¿¿¿¿¿{"start":{"line":50,"column":10},"end":{"line":50,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿CallExpression
850¿Identifier¿¿isArrayKey¿¿¿{"start":{"line":50,"column":10},"end":{"line":50,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
851¿Identifier¿¿key¿¿¿{"start":{"line":50,"column":21},"end":{"line":50,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
852¿IfStatement¿¿¿¿¿{"start":{"line":50,"column":6},"end":{"line":64,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿IfStatement
853¿Identifier¿¿v69¿¿¿¿¿Identifier
854¿VariableDeclarator¿¿arrayKey¿¿¿{"start":{"line":51,"column":14},"end":{"line":51,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿VariableDeclarator
855¿CallExpression¿¿¿¿¿{"start":{"line":51,"column":25},"end":{"line":51,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿CallExpression
856¿Identifier¿¿fromArrayKey¿¿¿{"start":{"line":51,"column":25},"end":{"line":51,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
857¿Identifier¿¿key¿¿¿{"start":{"line":51,"column":38},"end":{"line":51,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
858¿VariableDeclarator¿¿v70¿¿¿¿¿VariableDeclarator
859¿MemberExpression¿¿¿¿¿{"start":{"line":52,"column":20},"end":{"line":52,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
860¿Identifier¿¿arrayKey¿¿¿{"start":{"line":52,"column":20},"end":{"line":52,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
861¿Identifier¿¿name¿¿¿{"start":{"line":52,"column":29},"end":{"line":52,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
862¿VariableDeclarator¿¿v71¿¿¿¿¿VariableDeclarator
863¿MemberExpression¿computed¿¿¿¿{"start":{"line":52,"column":13},"end":{"line":52,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
864¿Identifier¿¿result¿¿¿{"start":{"line":52,"column":13},"end":{"line":52,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
865¿Identifier¿¿v70¿¿¿¿¿Identifier
866¿VariableDeclarator¿¿v72¿¿¿¿¿VariableDeclarator
867¿UnaryExpression¿!¿¿¿¿{"start":{"line":52,"column":12},"end":{"line":52,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿UnaryExpression
868¿Identifier¿¿v71¿¿¿¿¿Identifier
869¿IfStatement¿¿¿¿¿{"start":{"line":52,"column":8},"end":{"line":55,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿IfStatement
870¿Identifier¿¿v72¿¿¿¿¿Identifier
871¿VariableDeclarator¿¿v73¿¿¿¿¿VariableDeclarator
872¿MemberExpression¿¿¿¿¿{"start":{"line":53,"column":35},"end":{"line":53,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
873¿Identifier¿¿arrayKey¿¿¿{"start":{"line":53,"column":35},"end":{"line":53,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
874¿Identifier¿¿name¿¿¿{"start":{"line":53,"column":44},"end":{"line":53,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
875¿VariableDeclarator¿¿v74¿¿¿¿¿VariableDeclarator
876¿MemberExpression¿computed¿¿¿¿{"start":{"line":53,"column":25},"end":{"line":53,"column":59},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
877¿Identifier¿¿object¿¿¿{"start":{"line":53,"column":25},"end":{"line":53,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
878¿TemplateLiteral¿¿¿¿¿{"start":{"line":53,"column":32},"end":{"line":53,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿TemplateLiteral
879¿Identifier¿¿v73¿¿¿¿¿Identifier
880¿VariableDeclarator¿¿length¿¿¿{"start":{"line":53,"column":16},"end":{"line":53,"column":64},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿VariableDeclarator
881¿LogicalExpression¿||¿¿¿¿{"start":{"line":53,"column":25},"end":{"line":53,"column":64},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿LogicalExpression
882¿Identifier¿¿v74¿¿¿¿¿Identifier
883¿Literal¿number¿¿0¿¿{"start":{"line":53,"column":63},"end":{"line":53,"column":64},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Literal
884¿VariableDeclarator¿¿v75¿¿¿¿¿VariableDeclarator
885¿MemberExpression¿¿¿¿¿{"start":{"line":54,"column":17},"end":{"line":54,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
886¿Identifier¿¿arrayKey¿¿¿{"start":{"line":54,"column":17},"end":{"line":54,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
887¿Identifier¿¿name¿¿¿{"start":{"line":54,"column":26},"end":{"line":54,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
888¿ExpressionStatement¿¿¿¿¿{"start":{"line":54,"column":10},"end":{"line":54,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿ExpressionStatement
889¿AssignmentExpression¿=¿¿¿¿{"start":{"line":54,"column":10},"end":{"line":54,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿AssignmentExpression
890¿MemberExpression¿computed¿¿¿¿{"start":{"line":54,"column":10},"end":{"line":54,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
891¿Identifier¿¿result¿¿¿{"start":{"line":54,"column":10},"end":{"line":54,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
892¿Identifier¿¿v75¿¿¿¿¿Identifier
893¿NewExpression¿¿¿¿¿{"start":{"line":54,"column":34},"end":{"line":54,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿NewExpression
894¿Identifier¿¿Array¿¿¿{"start":{"line":54,"column":38},"end":{"line":54,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
895¿Identifier¿¿length¿¿¿{"start":{"line":54,"column":44},"end":{"line":54,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
896¿BlockStatement¿¿¿¿¿{"start":{"line":52,"column":36},"end":{"line":55,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿BlockStatement
897¿VariableDeclarator¿¿v76¿¿¿¿¿VariableDeclarator
898¿MemberExpression¿¿¿¿¿{"start":{"line":56,"column":12},"end":{"line":56,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
899¿Identifier¿¿arrayKey¿¿¿{"start":{"line":56,"column":12},"end":{"line":56,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
900¿Identifier¿¿index¿¿¿{"start":{"line":56,"column":21},"end":{"line":56,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
901¿VariableDeclarator¿¿v77¿¿¿¿¿VariableDeclarator
902¿BinaryExpression¿!==¿¿¿¿{"start":{"line":56,"column":12},"end":{"line":56,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿BinaryExpression
903¿Identifier¿¿v76¿¿¿¿¿Identifier
904¿Literal¿object¿¿null¿¿{"start":{"line":56,"column":31},"end":{"line":56,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Literal
905¿IfStatement¿¿¿¿¿{"start":{"line":56,"column":8},"end":{"line":61,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿IfStatement
906¿Identifier¿¿v77¿¿¿¿¿Identifier
907¿VariableDeclarator¿¿v81¿¿¿¿¿VariableDeclarator
908¿MemberExpression¿¿¿¿¿{"start":{"line":58,"column":19},"end":{"line":58,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
909¿Identifier¿¿arrayKey¿¿¿{"start":{"line":58,"column":19},"end":{"line":58,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
910¿Identifier¿¿name¿¿¿{"start":{"line":58,"column":28},"end":{"line":58,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
911¿VariableDeclarator¿¿v82¿¿¿¿¿VariableDeclarator
912¿MemberExpression¿computed¿¿¿¿{"start":{"line":58,"column":12},"end":{"line":58,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
913¿Identifier¿¿result¿¿¿{"start":{"line":58,"column":12},"end":{"line":58,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
914¿Identifier¿¿v81¿¿¿¿¿Identifier
915¿VariableDeclarator¿¿v83¿¿¿¿¿VariableDeclarator
916¿MemberExpression¿¿¿¿¿{"start":{"line":58,"column":34},"end":{"line":58,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
917¿Identifier¿¿arrayKey¿¿¿{"start":{"line":58,"column":34},"end":{"line":58,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
918¿Identifier¿¿index¿¿¿{"start":{"line":58,"column":43},"end":{"line":58,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
919¿VariableDeclarator¿¿v84¿¿¿¿¿VariableDeclarator
920¿MemberExpression¿computed¿¿¿¿{"start":{"line":58,"column":12},"end":{"line":58,"column":49},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
921¿Identifier¿¿v82¿¿¿¿¿Identifier
922¿Identifier¿¿v83¿¿¿¿¿Identifier
923¿VariableDeclarator¿¿v85¿¿¿¿¿VariableDeclarator
924¿CallExpression¿¿¿¿¿{"start":{"line":57,"column":50},"end":{"line":60,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿CallExpression
925¿MemberExpression¿¿¿¿¿{"start":{"line":57,"column":50},"end":{"line":57,"column":61},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
926¿ThisExpression¿¿¿¿¿{"start":{"line":57,"column":50},"end":{"line":57,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿ThisExpression
927¿Identifier¿¿_merge¿¿¿{"start":{"line":57,"column":55},"end":{"line":57,"column":61},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
928¿Identifier¿¿v84¿¿¿¿¿Identifier
929¿Identifier¿¿val¿¿¿{"start":{"line":59,"column":12},"end":{"line":59,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
930¿ExpressionStatement¿¿¿¿¿{"start":{"line":57,"column":10},"end":{"line":60,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿ExpressionStatement
931¿AssignmentExpression¿=¿¿¿¿{"start":{"line":57,"column":10},"end":{"line":60,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿AssignmentExpression
932¿MemberExpression¿computed¿¿¿¿{"start":{"line":57,"column":10},"end":{"line":57,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
933¿Identifier¿¿v79¿¿¿¿¿Identifier
934¿Identifier¿¿v80¿¿¿¿¿Identifier
935¿Identifier¿¿v85¿¿¿¿¿Identifier
936¿BlockStatement¿¿¿¿¿{"start":{"line":56,"column":37},"end":{"line":61,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿BlockStatement
937¿BlockStatement¿¿¿¿¿{"start":{"line":50,"column":27},"end":{"line":62,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿BlockStatement
938¿ExpressionStatement¿¿¿¿¿{"start":{"line":63,"column":8},"end":{"line":63,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿ExpressionStatement
939¿AssignmentExpression¿=¿¿¿¿{"start":{"line":63,"column":8},"end":{"line":63,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿AssignmentExpression
940¿MemberExpression¿computed¿¿¿¿{"start":{"line":63,"column":8},"end":{"line":63,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
941¿Identifier¿¿result¿¿¿{"start":{"line":63,"column":8},"end":{"line":63,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
942¿Identifier¿¿key¿¿¿{"start":{"line":63,"column":15},"end":{"line":63,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
943¿Identifier¿¿val¿¿¿{"start":{"line":63,"column":22},"end":{"line":63,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
944¿BlockStatement¿¿¿¿¿{"start":{"line":62,"column":13},"end":{"line":64,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿BlockStatement
945¿BlockStatement¿¿¿¿¿{"start":{"line":37,"column":41},"end":{"line":65,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿BlockStatement
946¿ReturnStatement¿¿¿¿¿{"start":{"line":66,"column":4},"end":{"line":66,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿ReturnStatement
947¿Identifier¿¿result¿¿¿{"start":{"line":66,"column":11},"end":{"line":66,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
948¿BlockStatement¿¿¿¿¿{"start":{"line":31,"column":18},"end":{"line":67,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿BlockStatement
949¿VariableDeclarator¿¿v99¿¿¿¿¿VariableDeclarator
950¿FunctionExpression¿¿anon¿¿¿{"start":{"line":78,"column":10},"end":{"line":117,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿FunctionExpression
951¿Identifier¿¿nested¿¿¿{"start":{"line":78,"column":11},"end":{"line":78,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
952¿VariableDeclarator¿¿v87¿¿¿¿¿VariableDeclarator
953¿UnaryExpression¿typeof¿¿¿¿{"start":{"line":79,"column":8},"end":{"line":79,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿UnaryExpression
954¿Identifier¿¿nested¿¿¿{"start":{"line":79,"column":15},"end":{"line":79,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
955¿VariableDeclarator¿¿v88¿¿¿¿¿VariableDeclarator
956¿BinaryExpression¿===¿¿¿¿{"start":{"line":79,"column":8},"end":{"line":79,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿BinaryExpression
957¿Identifier¿¿v87¿¿¿¿¿Identifier
958¿Literal¿string¿¿'string'¿¿{"start":{"line":79,"column":26},"end":{"line":79,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Literal
959¿IfStatement¿¿¿¿¿{"start":{"line":79,"column":4},"end":{"line":81,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿IfStatement
960¿Identifier¿¿v88¿¿¿¿¿Identifier
961¿ReturnStatement¿¿¿¿¿{"start":{"line":80,"column":6},"end":{"line":80,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿ReturnStatement
962¿Identifier¿¿nested¿¿¿{"start":{"line":80,"column":13},"end":{"line":80,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
963¿BlockStatement¿¿¿¿¿{"start":{"line":79,"column":36},"end":{"line":81,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿BlockStatement
964¿VariableDeclarator¿¿separator¿¿¿{"start":{"line":82,"column":10},"end":{"line":82,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿VariableDeclarator
965¿MemberExpression¿¿¿¿¿{"start":{"line":82,"column":22},"end":{"line":82,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
966¿ThisExpression¿¿¿¿¿{"start":{"line":82,"column":22},"end":{"line":82,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿ThisExpression
967¿Identifier¿¿separator¿¿¿{"start":{"line":82,"column":27},"end":{"line":82,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
968¿VariableDeclarator¿¿flattened¿¿¿{"start":{"line":83,"column":10},"end":{"line":83,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿VariableDeclarator
969¿ObjectExpression¿¿¿¿¿¿¿ObjectExpression
970¿VariableDeclarator¿¿key¿¿¿{"start":{"line":84,"column":15},"end":{"line":84,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿VariableDeclarator
971¿VariableDeclarator¿¿v89¿¿¿¿¿VariableDeclarator
972¿ObjectExpression¿¿¿¿¿{"start":{"line":84,"column":44},"end":{"line":84,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿ObjectExpression
973¿VariableDeclarator¿¿v90¿¿¿¿¿VariableDeclarator
974¿LogicalExpression¿||¿¿¿¿{"start":{"line":84,"column":34},"end":{"line":84,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿LogicalExpression
975¿Identifier¿¿nested¿¿¿{"start":{"line":84,"column":34},"end":{"line":84,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
976¿Identifier¿¿v89¿¿¿¿¿Identifier
977¿VariableDeclarator¿¿v91¿¿¿¿¿VariableDeclarator
978¿CallExpression¿¿¿¿¿{"start":{"line":84,"column":22},"end":{"line":84,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿CallExpression
979¿MemberExpression¿¿¿¿¿{"start":{"line":84,"column":22},"end":{"line":84,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
980¿Identifier¿¿Object¿¿¿{"start":{"line":84,"column":22},"end":{"line":84,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
981¿Identifier¿¿keys¿¿¿{"start":{"line":84,"column":29},"end":{"line":84,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
982¿Identifier¿¿v90¿¿¿¿¿Identifier
983¿ForOfStatement¿¿¿¿¿{"start":{"line":84,"column":4},"end":{"line":115,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿ForOfStatement
984¿Identifier¿¿key¿¿¿{"start":{"line":84,"column":15},"end":{"line":84,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
985¿Identifier¿¿v91¿¿¿¿¿Identifier
986¿VariableDeclarator¿¿value¿¿¿{"start":{"line":85,"column":12},"end":{"line":85,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿VariableDeclarator
987¿MemberExpression¿computed¿¿¿¿{"start":{"line":85,"column":20},"end":{"line":85,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
988¿Identifier¿¿nested¿¿¿{"start":{"line":85,"column":20},"end":{"line":85,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
989¿Identifier¿¿key¿¿¿{"start":{"line":85,"column":27},"end":{"line":85,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
990¿VariableDeclarator¿¿v92¿¿¿¿¿VariableDeclarator
991¿BinaryExpression¿===¿¿¿¿{"start":{"line":86,"column":10},"end":{"line":86,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿BinaryExpression
992¿Identifier¿¿value¿¿¿{"start":{"line":86,"column":10},"end":{"line":86,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
993¿Literal¿object¿¿null¿¿{"start":{"line":86,"column":20},"end":{"line":86,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Literal
994¿IfStatement¿¿¿¿¿{"start":{"line":86,"column":6},"end":{"line":89,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿IfStatement
995¿Identifier¿¿v92¿¿¿¿¿Identifier
996¿ExpressionStatement¿¿¿¿¿{"start":{"line":87,"column":8},"end":{"line":87,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿ExpressionStatement
997¿AssignmentExpression¿=¿¿¿¿{"start":{"line":87,"column":8},"end":{"line":87,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿AssignmentExpression
998¿MemberExpression¿computed¿¿¿¿{"start":{"line":87,"column":8},"end":{"line":87,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿MemberExpression
999¿Identifier¿¿flattened¿¿¿{"start":{"line":87,"column":8},"end":{"line":87,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
1000¿Identifier¿¿key¿¿¿{"start":{"line":87,"column":18},"end":{"line":87,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
1001¿Identifier¿¿value¿¿¿{"start":{"line":87,"column":25},"end":{"line":87,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿Identifier
1002¿ContinueStatement¿¿¿¿¿{"start":{"line":88,"column":8},"end":{"line":88,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿ContinueStatement
1003¿BlockStatement¿¿¿¿¿{"start":{"line":86,"column":26},"end":{"line":89,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/objnest_5.0.0/src/objnest.js"}¿¿BlockStatement
1004¿VariableDeclarator¿¿v93¿¿¿¿¿VariableDeclarator
