Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
609¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":113,"column":1},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Program
743¿ExpressionStatement¿¿1097¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":36,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿ExpressionStatement
744¿AssignmentExpression¿=¿1097¿¿¿¿{"start":{"line":12,"column":4},"end":{"line":36,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿AssignmentExpression
745¿Identifier¿¿1097¿v63¿¿¿{"start":{"line":12,"column":4},"end":{"line":36,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
746¿BinaryExpression¿<¿1097¿¿¿¿{"start":{"line":12,"column":20},"end":{"line":12,"column":35},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿BinaryExpression
747¿Identifier¿¿1097¿i¿¿¿{"start":{"line":12,"column":20},"end":{"line":12,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
748¿Identifier¿¿1097¿v62¿¿¿¿¿Identifier
749¿BlockStatement¿¿1097¿¿¿¿¿¿BlockStatement
750¿VariableDeclarator¿¿1097¿v77¿¿¿{"start":{"line":38,"column":4},"end":{"line":38,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
751¿CallExpression¿¿1097¿¿¿¿{"start":{"line":38,"column":4},"end":{"line":38,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿CallExpression
752¿MemberExpression¿¿1097¿¿¿¿{"start":{"line":38,"column":4},"end":{"line":38,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿MemberExpression
753¿Identifier¿¿1097¿res¿¿¿{"start":{"line":38,"column":4},"end":{"line":38,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
754¿Identifier¿¿1097¿push¿¿¿{"start":{"line":38,"column":8},"end":{"line":38,"column":12},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
755¿Identifier¿¿1097¿key¿¿¿{"start":{"line":38,"column":13},"end":{"line":38,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
756¿ExpressionStatement¿¿1097¿¿¿¿{"start":{"line":38,"column":4},"end":{"line":38,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿ExpressionStatement
757¿Identifier¿¿1097¿v77¿¿¿¿¿Identifier
758¿ReturnStatement¿¿1097¿¿¿¿{"start":{"line":40,"column":4},"end":{"line":40,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿ReturnStatement
759¿Identifier¿¿1097¿res¿¿¿{"start":{"line":40,"column":11},"end":{"line":40,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
760¿BlockStatement¿¿1097¿¿¿¿{"start":{"line":7,"column":23},"end":{"line":41,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿BlockStatement
761¿VariableDeclarator¿¿1095¿v78¿¿¿{"start":{"line":44,"column":6},"end":{"line":44,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
762¿BinaryExpression¿===¿1095¿¿¿¿{"start":{"line":44,"column":6},"end":{"line":44,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿BinaryExpression
763¿Identifier¿¿1095¿obj¿¿¿{"start":{"line":44,"column":6},"end":{"line":44,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
764¿Identifier¿¿1095¿undefined¿¿¿{"start":{"line":44,"column":14},"end":{"line":44,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
765¿VariableDeclarator¿¿1095¿v79¿¿¿{"start":{"line":44,"column":27},"end":{"line":44,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
766¿BinaryExpression¿===¿1095¿¿¿¿{"start":{"line":44,"column":27},"end":{"line":44,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿BinaryExpression
767¿Identifier¿¿1095¿obj¿¿¿{"start":{"line":44,"column":27},"end":{"line":44,"column":30},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
768¿Literal¿object¿1095¿¿null¿¿{"start":{"line":44,"column":35},"end":{"line":44,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Literal
769¿VariableDeclarator¿¿1095¿v80¿¿¿{"start":{"line":44,"column":6},"end":{"line":44,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
770¿LogicalExpression¿||¿1095¿¿¿¿{"start":{"line":44,"column":6},"end":{"line":44,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿LogicalExpression
771¿Identifier¿¿1095¿v78¿¿¿¿¿Identifier
772¿Identifier¿¿1095¿v79¿¿¿¿¿Identifier
773¿IfStatement¿¿1095¿¿¿¿{"start":{"line":44,"column":2},"end":{"line":46,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿IfStatement
774¿Identifier¿¿1095¿v80¿¿¿¿¿Identifier
775¿ReturnStatement¿¿1095¿¿¿¿{"start":{"line":45,"column":4},"end":{"line":45,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿ReturnStatement
776¿Identifier¿¿1095¿undefined¿¿¿{"start":{"line":45,"column":11},"end":{"line":45,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
777¿BlockStatement¿¿1095¿¿¿¿{"start":{"line":44,"column":41},"end":{"line":46,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿BlockStatement
778¿VariableDeclarator¿¿1095¿parts¿¿¿{"start":{"line":48,"column":6},"end":{"line":48,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
779¿CallExpression¿¿1095¿¿¿¿{"start":{"line":48,"column":14},"end":{"line":48,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿CallExpression
780¿Identifier¿¿1095¿split¿¿¿{"start":{"line":48,"column":14},"end":{"line":48,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
781¿Identifier¿¿1095¿path¿¿¿{"start":{"line":48,"column":20},"end":{"line":48,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
782¿VariableDeclarator¿¿1095¿key¿¿¿{"start":{"line":49,"column":6},"end":{"line":49,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
783¿Literal¿object¿1095¿¿null¿¿{"start":{"line":49,"column":12},"end":{"line":49,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Literal
784¿VariableDeclarator¿¿1095¿v81¿¿¿{"start":{"line":50,"column":13},"end":{"line":50,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
785¿UnaryExpression¿typeof¿1095¿¿¿¿{"start":{"line":50,"column":13},"end":{"line":50,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿UnaryExpression
786¿Identifier¿¿1095¿obj¿¿¿{"start":{"line":50,"column":20},"end":{"line":50,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
787¿VariableDeclarator¿¿1095¿type¿¿¿{"start":{"line":50,"column":6},"end":{"line":50,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
788¿Identifier¿¿1095¿v81¿¿¿¿¿Identifier
789¿VariableDeclarator¿¿1095¿root¿¿¿{"start":{"line":51,"column":6},"end":{"line":51,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
790¿Identifier¿¿1095¿obj¿¿¿{"start":{"line":51,"column":13},"end":{"line":51,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
791¿VariableDeclarator¿¿1095¿parent¿¿¿{"start":{"line":52,"column":6},"end":{"line":52,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
792¿Identifier¿¿1095¿obj¿¿¿{"start":{"line":52,"column":15},"end":{"line":52,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
793¿VariableDeclarator¿¿1095¿v83¿¿¿{"start":{"line":54,"column":26},"end":{"line":54,"column":59},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
794¿FunctionExpression¿¿1095¿anon¿¿¿{"start":{"line":54,"column":26},"end":{"line":54,"column":59},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿FunctionExpression
795¿Identifier¿¿0¿_¿¿¿{"start":{"line":54,"column":36},"end":{"line":54,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
796¿VariableDeclarator¿¿1105¿v82¿¿¿{"start":{"line":54,"column":48},"end":{"line":54,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
797¿BinaryExpression¿===¿1105¿¿¿¿{"start":{"line":54,"column":48},"end":{"line":54,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿BinaryExpression
798¿Identifier¿¿1105¿_¿¿¿{"start":{"line":54,"column":48},"end":{"line":54,"column":49},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
799¿Literal¿string¿1105¿¿'*'¿¿{"start":{"line":54,"column":54},"end":{"line":54,"column":57},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Literal
800¿ReturnStatement¿¿1105¿¿¿¿{"start":{"line":54,"column":41},"end":{"line":54,"column":58},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿ReturnStatement
801¿Identifier¿¿1105¿v82¿¿¿¿¿Identifier
802¿BlockStatement¿¿1105¿¿¿¿{"start":{"line":54,"column":39},"end":{"line":54,"column":59},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿BlockStatement
803¿VariableDeclarator¿¿1095¿v84¿¿¿{"start":{"line":54,"column":13},"end":{"line":54,"column":60},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
804¿CallExpression¿¿1095¿¿¿¿{"start":{"line":54,"column":13},"end":{"line":54,"column":60},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿CallExpression
805¿MemberExpression¿¿1095¿¿¿¿{"start":{"line":54,"column":13},"end":{"line":54,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿MemberExpression
806¿Identifier¿¿1095¿parts¿¿¿{"start":{"line":54,"column":13},"end":{"line":54,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
807¿Identifier¿¿1095¿filter¿¿¿{"start":{"line":54,"column":19},"end":{"line":54,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
808¿Identifier¿¿1095¿v83¿¿¿¿¿Identifier
809¿VariableDeclarator¿¿1095¿v85¿¿¿{"start":{"line":54,"column":13},"end":{"line":54,"column":67},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
810¿MemberExpression¿¿1095¿¿¿¿{"start":{"line":54,"column":13},"end":{"line":54,"column":67},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿MemberExpression
811¿Identifier¿¿1095¿v84¿¿¿¿¿Identifier
812¿Identifier¿¿1095¿length¿¿¿{"start":{"line":54,"column":61},"end":{"line":54,"column":67},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
813¿VariableDeclarator¿¿1095¿star¿¿¿{"start":{"line":54,"column":6},"end":{"line":54,"column":71},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
814¿BinaryExpression¿>¿1095¿¿¿¿{"start":{"line":54,"column":13},"end":{"line":54,"column":71},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿BinaryExpression
815¿Identifier¿¿1095¿v85¿¿¿¿¿Identifier
816¿Literal¿number¿1095¿¿0¿¿{"start":{"line":54,"column":70},"end":{"line":54,"column":71},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Literal
817¿VariableDeclarator¿¿1095¿v86¿¿¿{"start":{"line":57,"column":6},"end":{"line":57,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
818¿BinaryExpression¿!==¿1095¿¿¿¿{"start":{"line":57,"column":6},"end":{"line":57,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿BinaryExpression
819¿Identifier¿¿1095¿type¿¿¿{"start":{"line":57,"column":6},"end":{"line":57,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
820¿Literal¿string¿1095¿¿'object'¿¿{"start":{"line":57,"column":15},"end":{"line":57,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Literal
821¿VariableDeclarator¿¿1095¿v87¿¿¿{"start":{"line":57,"column":27},"end":{"line":57,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
822¿BinaryExpression¿!==¿1095¿¿¿¿{"start":{"line":57,"column":27},"end":{"line":57,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿BinaryExpression
823¿Identifier¿¿1095¿type¿¿¿{"start":{"line":57,"column":27},"end":{"line":57,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
824¿Literal¿string¿1095¿¿'function'¿¿{"start":{"line":57,"column":36},"end":{"line":57,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Literal
825¿VariableDeclarator¿¿1095¿v88¿¿¿{"start":{"line":57,"column":6},"end":{"line":57,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
826¿LogicalExpression¿&&¿1095¿¿¿¿{"start":{"line":57,"column":6},"end":{"line":57,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿LogicalExpression
827¿Identifier¿¿1095¿v86¿¿¿¿¿Identifier
828¿Identifier¿¿1095¿v87¿¿¿¿¿Identifier
829¿IfStatement¿¿1095¿¿¿¿{"start":{"line":57,"column":2},"end":{"line":61,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿IfStatement
830¿Identifier¿¿1095¿v88¿¿¿¿¿Identifier
831¿ReturnStatement¿¿1095¿¿¿¿{"start":{"line":58,"column":4},"end":{"line":58,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿ReturnStatement
832¿Identifier¿¿1095¿obj¿¿¿{"start":{"line":58,"column":11},"end":{"line":58,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
833¿BlockStatement¿¿1095¿¿¿¿{"start":{"line":57,"column":48},"end":{"line":59,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿BlockStatement
834¿VariableDeclarator¿¿1095¿v89¿¿¿{"start":{"line":59,"column":13},"end":{"line":59,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
835¿CallExpression¿¿1095¿¿¿¿{"start":{"line":59,"column":13},"end":{"line":59,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿CallExpression
836¿MemberExpression¿¿1095¿¿¿¿{"start":{"line":59,"column":13},"end":{"line":59,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿MemberExpression
837¿Identifier¿¿1095¿path¿¿¿{"start":{"line":59,"column":13},"end":{"line":59,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
838¿Identifier¿¿1095¿trim¿¿¿{"start":{"line":59,"column":18},"end":{"line":59,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
839¿VariableDeclarator¿¿1095¿v90¿¿¿{"start":{"line":59,"column":13},"end":{"line":59,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
840¿BinaryExpression¿===¿1095¿¿¿¿{"start":{"line":59,"column":13},"end":{"line":59,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿BinaryExpression
841¿Identifier¿¿1095¿v89¿¿¿¿¿Identifier
842¿Literal¿string¿1095¿¿''¿¿{"start":{"line":59,"column":29},"end":{"line":59,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Literal
843¿IfStatement¿¿1095¿¿¿¿{"start":{"line":59,"column":9},"end":{"line":61,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿IfStatement
844¿Identifier¿¿1095¿v90¿¿¿¿¿Identifier
845¿ReturnStatement¿¿1095¿¿¿¿{"start":{"line":60,"column":4},"end":{"line":60,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿ReturnStatement
846¿Identifier¿¿1095¿obj¿¿¿{"start":{"line":60,"column":11},"end":{"line":60,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
847¿BlockStatement¿¿1095¿¿¿¿{"start":{"line":59,"column":33},"end":{"line":61,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿BlockStatement
848¿BlockStatement¿¿1095¿¿¿¿¿¿BlockStatement
849¿ExpressionStatement¿¿1095¿¿¿¿{"start":{"line":63,"column":2},"end":{"line":63,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿ExpressionStatement
850¿AssignmentExpression¿=¿1095¿¿¿¿{"start":{"line":63,"column":2},"end":{"line":63,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿AssignmentExpression
851¿Identifier¿¿1095¿key¿¿¿{"start":{"line":63,"column":2},"end":{"line":63,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
852¿MemberExpression¿computed¿1095¿¿¿¿{"start":{"line":63,"column":8},"end":{"line":63,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿MemberExpression
853¿Identifier¿¿1095¿parts¿¿¿{"start":{"line":63,"column":8},"end":{"line":63,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
854¿Literal¿number¿1095¿¿0¿¿{"start":{"line":63,"column":14},"end":{"line":63,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Literal
855¿VariableDeclarator¿¿1095¿i¿¿¿{"start":{"line":64,"column":6},"end":{"line":64,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
856¿Literal¿number¿1095¿¿0¿¿{"start":{"line":64,"column":10},"end":{"line":64,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Literal
857¿VariableDeclarator¿¿1095¿v91¿¿¿{"start":{"line":65,"column":13},"end":{"line":65,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
858¿MemberExpression¿¿1095¿¿¿¿{"start":{"line":65,"column":13},"end":{"line":65,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿MemberExpression
859¿Identifier¿¿1095¿parts¿¿¿{"start":{"line":65,"column":13},"end":{"line":65,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
860¿Identifier¿¿1095¿length¿¿¿{"start":{"line":65,"column":19},"end":{"line":65,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
861¿VariableDeclarator¿¿1095¿v92¿¿¿{"start":{"line":65,"column":9},"end":{"line":65,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
862¿BinaryExpression¿<¿1095¿¿¿¿{"start":{"line":65,"column":9},"end":{"line":65,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿BinaryExpression
863¿Identifier¿¿1095¿i¿¿¿{"start":{"line":65,"column":9},"end":{"line":65,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
864¿Identifier¿¿1095¿v91¿¿¿¿¿Identifier
865¿WhileStatement¿¿1095¿¿¿¿{"start":{"line":65,"column":2},"end":{"line":98,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿WhileStatement
866¿Identifier¿¿1095¿v92¿¿¿¿¿Identifier
867¿ExpressionStatement¿¿1095¿¿¿¿{"start":{"line":66,"column":4},"end":{"line":66,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿ExpressionStatement
868¿AssignmentExpression¿=¿1095¿¿¿¿{"start":{"line":66,"column":4},"end":{"line":66,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿AssignmentExpression
869¿Identifier¿¿1095¿key¿¿¿{"start":{"line":66,"column":4},"end":{"line":66,"column":7},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
870¿MemberExpression¿computed¿1095¿¿¿¿{"start":{"line":66,"column":10},"end":{"line":66,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿MemberExpression
871¿Identifier¿¿1095¿parts¿¿¿{"start":{"line":66,"column":10},"end":{"line":66,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
872¿Identifier¿¿1095¿i¿¿¿{"start":{"line":66,"column":16},"end":{"line":66,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
873¿ExpressionStatement¿¿1095¿¿¿¿{"start":{"line":67,"column":4},"end":{"line":67,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿ExpressionStatement
874¿AssignmentExpression¿=¿1095¿¿¿¿{"start":{"line":67,"column":4},"end":{"line":67,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿AssignmentExpression
875¿Identifier¿¿1095¿parent¿¿¿{"start":{"line":67,"column":4},"end":{"line":67,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
876¿Identifier¿¿1095¿obj¿¿¿{"start":{"line":67,"column":13},"end":{"line":67,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
877¿VariableDeclarator¿¿1095¿v94¿¿¿{"start":{"line":69,"column":8},"end":{"line":69,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿VariableDeclarator
878¿BinaryExpression¿===¿1095¿¿¿¿{"start":{"line":69,"column":8},"end":{"line":69,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿BinaryExpression
879¿Identifier¿¿1095¿key¿¿¿{"start":{"line":69,"column":8},"end":{"line":69,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Identifier
880¿Literal¿string¿1095¿¿'*'¿¿{"start":{"line":69,"column":16},"end":{"line":69,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/undefsafe_2.0.2/src/undefsafe.js"}¿¿Literal
