Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
2491¿Program¿¿-1¿¿¿¿{"start":{"line":9,"column":0},"end":{"line":606,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Program
3001¿Identifier¿¿4384¿result¿¿¿{"start":{"line":152,"column":41},"end":{"line":152,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3002¿Identifier¿¿4384¿push¿¿¿{"start":{"line":152,"column":48},"end":{"line":152,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3003¿Identifier¿¿4384¿v261¿¿¿¿¿Identifier
3004¿VariableDeclarator¿¿4384¿v263¿¿¿{"start":{"line":152,"column":20},"end":{"line":152,"column":65},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
3005¿LogicalExpression¿&&¿4384¿¿¿¿{"start":{"line":152,"column":20},"end":{"line":152,"column":65},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿LogicalExpression
3006¿Identifier¿¿4384¿v260¿¿¿¿¿Identifier
3007¿Identifier¿¿4384¿v262¿¿¿¿¿Identifier
3008¿ExpressionStatement¿¿4384¿¿¿¿{"start":{"line":152,"column":20},"end":{"line":152,"column":66},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿ExpressionStatement
3009¿Identifier¿¿4384¿v263¿¿¿¿¿Identifier
3010¿BlockStatement¿¿4384¿¿¿¿{"start":{"line":151,"column":45},"end":{"line":153,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿BlockStatement
3011¿VariableDeclarator¿¿4384¿v264¿¿¿{"start":{"line":154,"column":20},"end":{"line":154,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
3012¿CallExpression¿¿4384¿¿¿¿{"start":{"line":154,"column":20},"end":{"line":154,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿CallExpression
3013¿Identifier¿¿4384¿isDirty¿¿¿{"start":{"line":154,"column":20},"end":{"line":154,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3014¿Identifier¿¿4384¿itemPath¿¿¿{"start":{"line":154,"column":28},"end":{"line":154,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3015¿VariableDeclarator¿¿4384¿v265¿¿¿{"start":{"line":154,"column":42},"end":{"line":154,"column":67},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
3016¿MemberExpression¿computed¿4384¿¿¿¿{"start":{"line":154,"column":56},"end":{"line":154,"column":67},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿MemberExpression
3017¿Identifier¿¿4384¿source¿¿¿{"start":{"line":154,"column":56},"end":{"line":154,"column":62},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3018¿Identifier¿¿4384¿key¿¿¿{"start":{"line":154,"column":63},"end":{"line":154,"column":66},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3019¿VariableDeclarator¿¿4384¿v266¿¿¿{"start":{"line":154,"column":20},"end":{"line":154,"column":68},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
3020¿LogicalExpression¿&&¿4384¿¿¿¿{"start":{"line":154,"column":20},"end":{"line":154,"column":68},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿LogicalExpression
3021¿Identifier¿¿4384¿v264¿¿¿¿¿Identifier
3022¿AssignmentExpression¿=¿4384¿¿¿¿{"start":{"line":154,"column":42},"end":{"line":154,"column":67},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿AssignmentExpression
3023¿MemberExpression¿computed¿4384¿¿¿¿{"start":{"line":154,"column":42},"end":{"line":154,"column":53},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿MemberExpression
3024¿Identifier¿¿4384¿result¿¿¿{"start":{"line":154,"column":42},"end":{"line":154,"column":48},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3025¿Identifier¿¿4384¿key¿¿¿{"start":{"line":154,"column":49},"end":{"line":154,"column":52},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3026¿Identifier¿¿4384¿v265¿¿¿¿¿Identifier
3027¿ExpressionStatement¿¿4384¿¿¿¿{"start":{"line":154,"column":20},"end":{"line":154,"column":69},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿ExpressionStatement
3028¿Identifier¿¿4384¿v266¿¿¿¿¿Identifier
3029¿BlockStatement¿¿4384¿¿¿¿{"start":{"line":153,"column":23},"end":{"line":155,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿BlockStatement
3030¿BlockStatement¿¿4384¿¿¿¿{"start":{"line":149,"column":44},"end":{"line":156,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿BlockStatement
3031¿BlockStatement¿¿4384¿¿¿¿{"start":{"line":148,"column":32},"end":{"line":157,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿BlockStatement
3032¿ReturnStatement¿¿4384¿¿¿¿{"start":{"line":159,"column":8},"end":{"line":159,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿ReturnStatement
3033¿Identifier¿¿4384¿result¿¿¿{"start":{"line":159,"column":15},"end":{"line":159,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3034¿BlockStatement¿¿4384¿¿¿¿{"start":{"line":129,"column":51},"end":{"line":160,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿BlockStatement
3035¿ExpressionStatement¿¿4364¿¿¿¿{"start":{"line":129,"column":4},"end":{"line":160,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿ExpressionStatement
3036¿AssignmentExpression¿=¿4364¿¿¿¿{"start":{"line":129,"column":4},"end":{"line":160,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿AssignmentExpression
3037¿MemberExpression¿¿4364¿¿¿¿{"start":{"line":129,"column":4},"end":{"line":129,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿MemberExpression
3038¿Identifier¿¿4364¿v246¿¿¿¿¿Identifier
3039¿Identifier¿¿4364¿getAllDirty¿¿¿{"start":{"line":129,"column":14},"end":{"line":129,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3040¿Identifier¿¿4364¿v267¿¿¿¿¿Identifier
3041¿VariableDeclarator¿¿4364¿remove¿¿¿{"start":{"line":168,"column":4},"end":{"line":206,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
3042¿FunctionExpression¿¿4364¿anon¿¿¿{"start":{"line":168,"column":4},"end":{"line":206,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿FunctionExpression
3043¿Identifier¿¿0¿path¿¿¿{"start":{"line":168,"column":20},"end":{"line":168,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3044¿Identifier¿¿0¿model¿¿¿{"start":{"line":168,"column":26},"end":{"line":168,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3045¿VariableDeclarator¿¿4392¿reference¿¿¿{"start":{"line":169,"column":12},"end":{"line":169,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
3046¿Identifier¿¿4392¿model¿¿¿{"start":{"line":169,"column":24},"end":{"line":169,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3047¿ExpressionStatement¿¿4392¿¿¿¿{"start":{"line":171,"column":8},"end":{"line":171,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿ExpressionStatement
3048¿AssignmentExpression¿=¿4392¿¿¿¿{"start":{"line":171,"column":8},"end":{"line":171,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿AssignmentExpression
3049¿Identifier¿¿4392¿memoiseCache¿¿¿{"start":{"line":171,"column":8},"end":{"line":171,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3050¿ObjectExpression¿¿4392¿¿¿¿¿¿ObjectExpression
3051¿VariableDeclarator¿¿4392¿pathParts¿¿¿{"start":{"line":173,"column":12},"end":{"line":173,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
3052¿CallExpression¿¿4392¿¿¿¿{"start":{"line":173,"column":24},"end":{"line":173,"column":43},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿CallExpression
3053¿MemberExpression¿¿4392¿¿¿¿{"start":{"line":173,"column":24},"end":{"line":173,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿MemberExpression
3054¿Identifier¿¿4392¿paths¿¿¿{"start":{"line":173,"column":24},"end":{"line":173,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3055¿Identifier¿¿4392¿toParts¿¿¿{"start":{"line":173,"column":30},"end":{"line":173,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3056¿Identifier¿¿4392¿path¿¿¿{"start":{"line":173,"column":38},"end":{"line":173,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3057¿VariableDeclarator¿¿4392¿index¿¿¿{"start":{"line":174,"column":12},"end":{"line":174,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
3058¿Literal¿number¿4392¿¿0¿¿{"start":{"line":174,"column":20},"end":{"line":174,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Literal
3059¿VariableDeclarator¿¿4392¿pathLength¿¿¿{"start":{"line":175,"column":12},"end":{"line":175,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
3060¿MemberExpression¿¿4392¿¿¿¿{"start":{"line":175,"column":25},"end":{"line":175,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿MemberExpression
3061¿Identifier¿¿4392¿pathParts¿¿¿{"start":{"line":175,"column":25},"end":{"line":175,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3062¿Identifier¿¿4392¿length¿¿¿{"start":{"line":175,"column":35},"end":{"line":175,"column":41},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3063¿VariableDeclarator¿¿4392¿v268¿¿¿{"start":{"line":177,"column":11},"end":{"line":177,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
3064¿CallExpression¿¿4392¿¿¿¿{"start":{"line":177,"column":11},"end":{"line":177,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿CallExpression
3065¿MemberExpression¿¿4392¿¿¿¿{"start":{"line":177,"column":11},"end":{"line":177,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿MemberExpression
3066¿Identifier¿¿4392¿paths¿¿¿{"start":{"line":177,"column":11},"end":{"line":177,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3067¿Identifier¿¿4392¿isRoot¿¿¿{"start":{"line":177,"column":17},"end":{"line":177,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3068¿Identifier¿¿4392¿path¿¿¿{"start":{"line":177,"column":24},"end":{"line":177,"column":28},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3069¿IfStatement¿¿4392¿¿¿¿{"start":{"line":177,"column":8},"end":{"line":180,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿IfStatement
3070¿Identifier¿¿4392¿v268¿¿¿¿¿Identifier
3071¿VariableDeclarator¿¿4392¿v269¿¿¿{"start":{"line":178,"column":27},"end":{"line":178,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
3072¿ObjectExpression¿¿4392¿¿¿¿{"start":{"line":178,"column":27},"end":{"line":178,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿ObjectExpression
3073¿VariableDeclarator¿¿4392¿v270¿¿¿{"start":{"line":178,"column":12},"end":{"line":178,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
3074¿CallExpression¿¿4392¿¿¿¿{"start":{"line":178,"column":12},"end":{"line":178,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿CallExpression
3075¿Identifier¿¿4392¿overwriteModel¿¿¿{"start":{"line":178,"column":12},"end":{"line":178,"column":26},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3076¿Identifier¿¿4392¿v269¿¿¿¿¿Identifier
3077¿Identifier¿¿4392¿model¿¿¿{"start":{"line":178,"column":31},"end":{"line":178,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3078¿ExpressionStatement¿¿4392¿¿¿¿{"start":{"line":178,"column":12},"end":{"line":178,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿ExpressionStatement
3079¿Identifier¿¿4392¿v270¿¿¿¿¿Identifier
3080¿ReturnStatement¿¿4392¿¿¿¿{"start":{"line":179,"column":12},"end":{"line":179,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿ReturnStatement
3081¿BlockStatement¿¿4392¿¿¿¿{"start":{"line":177,"column":30},"end":{"line":180,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿BlockStatement
3082¿VariableDeclarator¿¿4392¿v271¿¿¿{"start":{"line":182,"column":11},"end":{"line":182,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
3083¿CallExpression¿¿4392¿¿¿¿{"start":{"line":182,"column":11},"end":{"line":182,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿CallExpression
3084¿MemberExpression¿¿4392¿¿¿¿{"start":{"line":182,"column":11},"end":{"line":182,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿MemberExpression
3085¿Identifier¿¿4392¿paths¿¿¿{"start":{"line":182,"column":11},"end":{"line":182,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3086¿Identifier¿¿4392¿isAbsolute¿¿¿{"start":{"line":182,"column":17},"end":{"line":182,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3087¿Identifier¿¿4392¿path¿¿¿{"start":{"line":182,"column":28},"end":{"line":182,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3088¿IfStatement¿¿4392¿¿¿¿{"start":{"line":182,"column":8},"end":{"line":184,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿IfStatement
3089¿Identifier¿¿4392¿v271¿¿¿¿¿Identifier
3090¿ExpressionStatement¿¿4392¿¿¿¿{"start":{"line":183,"column":12},"end":{"line":183,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿ExpressionStatement
3091¿AssignmentExpression¿=¿4392¿¿¿¿{"start":{"line":183,"column":12},"end":{"line":183,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿AssignmentExpression
3092¿Identifier¿¿4392¿index¿¿¿{"start":{"line":183,"column":12},"end":{"line":183,"column":17},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3093¿Literal¿number¿4392¿¿1¿¿{"start":{"line":183,"column":20},"end":{"line":183,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Literal
3094¿BlockStatement¿¿4392¿¿¿¿{"start":{"line":182,"column":34},"end":{"line":184,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿BlockStatement
3095¿VariableDeclarator¿¿4392¿v272¿¿¿{"start":{"line":186,"column":14},"end":{"line":186,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
3096¿BinaryExpression¿<¿4392¿¿¿¿{"start":{"line":186,"column":14},"end":{"line":186,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿BinaryExpression
3097¿Identifier¿¿4392¿index¿¿¿{"start":{"line":186,"column":14},"end":{"line":186,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3098¿Identifier¿¿4392¿pathLength¿¿¿{"start":{"line":186,"column":22},"end":{"line":186,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3099¿WhileStatement¿¿4392¿¿¿¿{"start":{"line":186,"column":8},"end":{"line":203,"column":9},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿WhileStatement
3100¿Identifier¿¿4392¿v272¿¿¿¿¿Identifier
3101¿VariableDeclarator¿¿4392¿key¿¿¿{"start":{"line":187,"column":16},"end":{"line":187,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
3102¿MemberExpression¿computed¿4392¿¿¿¿{"start":{"line":187,"column":22},"end":{"line":187,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿MemberExpression
3103¿Identifier¿¿4392¿pathParts¿¿¿{"start":{"line":187,"column":22},"end":{"line":187,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3104¿Identifier¿¿4392¿index¿¿¿{"start":{"line":187,"column":32},"end":{"line":187,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3105¿VariableDeclarator¿¿4392¿v274¿¿¿{"start":{"line":189,"column":23},"end":{"line":189,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
3106¿MemberExpression¿computed¿4392¿¿¿¿{"start":{"line":189,"column":23},"end":{"line":189,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿MemberExpression
3107¿Identifier¿¿4392¿reference¿¿¿{"start":{"line":189,"column":23},"end":{"line":189,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3108¿Identifier¿¿4392¿key¿¿¿{"start":{"line":189,"column":33},"end":{"line":189,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3109¿VariableDeclarator¿¿4392¿v275¿¿¿{"start":{"line":189,"column":16},"end":{"line":189,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
3110¿UnaryExpression¿typeof¿4392¿¿¿¿{"start":{"line":189,"column":16},"end":{"line":189,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿UnaryExpression
3111¿Identifier¿¿4392¿v274¿¿¿¿¿Identifier
3112¿VariableDeclarator¿¿4392¿v276¿¿¿{"start":{"line":189,"column":16},"end":{"line":189,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
3113¿BinaryExpression¿!==¿4392¿¿¿¿{"start":{"line":189,"column":16},"end":{"line":189,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿BinaryExpression
3114¿Identifier¿¿4392¿v275¿¿¿¿¿Identifier
3115¿Literal¿string¿4392¿¿'object'¿¿{"start":{"line":189,"column":42},"end":{"line":189,"column":50},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Literal
3116¿VariableDeclarator¿¿4392¿v277¿¿¿{"start":{"line":189,"column":62},"end":{"line":189,"column":76},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
3117¿BinaryExpression¿-¿4392¿¿¿¿{"start":{"line":189,"column":62},"end":{"line":189,"column":76},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿BinaryExpression
3118¿Identifier¿¿4392¿pathLength¿¿¿{"start":{"line":189,"column":62},"end":{"line":189,"column":72},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3119¿Literal¿number¿4392¿¿1¿¿{"start":{"line":189,"column":75},"end":{"line":189,"column":76},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Literal
3120¿VariableDeclarator¿¿4392¿v278¿¿¿{"start":{"line":189,"column":54},"end":{"line":189,"column":76},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
3121¿BinaryExpression¿<¿4392¿¿¿¿{"start":{"line":189,"column":54},"end":{"line":189,"column":76},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿BinaryExpression
3122¿Identifier¿¿4392¿index¿¿¿{"start":{"line":189,"column":54},"end":{"line":189,"column":59},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3123¿Identifier¿¿4392¿v277¿¿¿¿¿Identifier
3124¿VariableDeclarator¿¿4392¿v279¿¿¿{"start":{"line":189,"column":16},"end":{"line":189,"column":76},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
3125¿LogicalExpression¿&&¿4392¿¿¿¿{"start":{"line":189,"column":16},"end":{"line":189,"column":76},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿LogicalExpression
3126¿Identifier¿¿4392¿v276¿¿¿¿¿Identifier
3127¿Identifier¿¿4392¿v278¿¿¿¿¿Identifier
3128¿IfStatement¿¿4392¿¿¿¿{"start":{"line":189,"column":12},"end":{"line":191,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿IfStatement
3129¿Identifier¿¿4392¿v279¿¿¿¿¿Identifier
3130¿BreakStatement¿¿4392¿¿¿¿{"start":{"line":190,"column":16},"end":{"line":190,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿BreakStatement
3131¿BlockStatement¿¿4392¿¿¿¿{"start":{"line":189,"column":78},"end":{"line":191,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿BlockStatement
3132¿VariableDeclarator¿¿4392¿v280¿¿¿{"start":{"line":192,"column":26},"end":{"line":192,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
3133¿BinaryExpression¿-¿4392¿¿¿¿{"start":{"line":192,"column":26},"end":{"line":192,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿BinaryExpression
3134¿Identifier¿¿4392¿pathLength¿¿¿{"start":{"line":192,"column":26},"end":{"line":192,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3135¿Literal¿number¿4392¿¿1¿¿{"start":{"line":192,"column":39},"end":{"line":192,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Literal
3136¿VariableDeclarator¿¿4392¿v281¿¿¿{"start":{"line":192,"column":16},"end":{"line":192,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
3137¿BinaryExpression¿===¿4392¿¿¿¿{"start":{"line":192,"column":16},"end":{"line":192,"column":40},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿BinaryExpression
3138¿Identifier¿¿4392¿index¿¿¿{"start":{"line":192,"column":16},"end":{"line":192,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿Identifier
3139¿Identifier¿¿4392¿v280¿¿¿¿¿Identifier
3140¿IfStatement¿¿4392¿¿¿¿{"start":{"line":192,"column":12},"end":{"line":202,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿IfStatement
3141¿Identifier¿¿4392¿v281¿¿¿¿¿Identifier
3142¿VariableDeclarator¿¿4392¿v282¿¿¿{"start":{"line":195,"column":20},"end":{"line":195,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿VariableDeclarator
3143¿BinaryExpression¿instanceof¿4392¿¿¿¿{"start":{"line":195,"column":20},"end":{"line":195,"column":46},"fname":"/datasets/secbench-dataset/CWE-471/gedi_1.6.3/src/gedi.js"}¿¿BinaryExpression
