Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
753¿Program¿¿-1¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":173,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Program
894¿VariableDeclarator¿¿1303¿v79¿¿¿{"start":{"line":60,"column":8},"end":{"line":60,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
895¿BinaryExpression¿>¿1303¿¿¿¿{"start":{"line":60,"column":8},"end":{"line":60,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿BinaryExpression
896¿Identifier¿¿1303¿v78¿¿¿¿¿Identifier
897¿Identifier¿¿1303¿max¿¿¿{"start":{"line":60,"column":22},"end":{"line":60,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
898¿IfStatement¿¿1303¿¿¿¿{"start":{"line":60,"column":4},"end":{"line":62,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿IfStatement
899¿Identifier¿¿1303¿v79¿¿¿¿¿Identifier
900¿VariableDeclarator¿¿1303¿v81¿¿¿{"start":{"line":61,"column":33},"end":{"line":61,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
901¿BinaryExpression¿-¿1303¿¿¿¿{"start":{"line":61,"column":33},"end":{"line":61,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿BinaryExpression
902¿Identifier¿¿1303¿max¿¿¿{"start":{"line":61,"column":33},"end":{"line":61,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
903¿Literal¿number¿1303¿¿1¿¿{"start":{"line":61,"column":39},"end":{"line":61,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Literal
904¿VariableDeclarator¿¿1303¿v82¿¿¿{"start":{"line":61,"column":22},"end":{"line":61,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
905¿CallExpression¿¿1303¿¿¿¿{"start":{"line":61,"column":22},"end":{"line":61,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿CallExpression
906¿MemberExpression¿¿1303¿¿¿¿{"start":{"line":61,"column":22},"end":{"line":61,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿MemberExpression
907¿Identifier¿¿1303¿cols¿¿¿{"start":{"line":61,"column":22},"end":{"line":61,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
908¿Identifier¿¿1303¿slice¿¿¿{"start":{"line":61,"column":27},"end":{"line":61,"column":32},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
909¿Identifier¿¿1303¿v81¿¿¿¿¿Identifier
910¿VariableDeclarator¿¿1303¿v83¿¿¿{"start":{"line":61,"column":6},"end":{"line":61,"column":51},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
911¿CallExpression¿¿1303¿¿¿¿{"start":{"line":61,"column":22},"end":{"line":61,"column":51},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿CallExpression
912¿MemberExpression¿¿1303¿¿¿¿{"start":{"line":61,"column":22},"end":{"line":61,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿MemberExpression
913¿Identifier¿¿1303¿v82¿¿¿¿¿Identifier
914¿Identifier¿¿1303¿join¿¿¿{"start":{"line":61,"column":42},"end":{"line":61,"column":46},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
915¿Literal¿string¿1303¿¿' '¿¿{"start":{"line":61,"column":47},"end":{"line":61,"column":50},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Literal
916¿ExpressionStatement¿¿1303¿¿¿¿{"start":{"line":61,"column":6},"end":{"line":61,"column":51},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿ExpressionStatement
917¿AssignmentExpression¿=¿1303¿¿¿¿{"start":{"line":61,"column":6},"end":{"line":61,"column":51},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿AssignmentExpression
918¿MemberExpression¿computed¿1303¿¿¿¿{"start":{"line":61,"column":6},"end":{"line":61,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿MemberExpression
919¿Identifier¿¿1303¿cols¿¿¿{"start":{"line":61,"column":6},"end":{"line":61,"column":10},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
920¿Identifier¿¿1303¿v80¿¿¿¿¿Identifier
921¿Identifier¿¿1303¿v83¿¿¿¿¿Identifier
922¿BlockStatement¿¿1303¿¿¿¿{"start":{"line":60,"column":27},"end":{"line":62,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿BlockStatement
923¿ReturnStatement¿¿1303¿¿¿¿{"start":{"line":64,"column":4},"end":{"line":64,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿ReturnStatement
924¿Identifier¿¿1303¿cols¿¿¿{"start":{"line":64,"column":11},"end":{"line":64,"column":15},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
925¿BlockStatement¿¿1303¿¿¿¿{"start":{"line":57,"column":20},"end":{"line":65,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿BlockStatement
926¿VariableDeclarator¿exported¿1292¿v96¿¿¿{"start":{"line":92,"column":17},"end":{"line":112,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
927¿FunctionExpression¿¿1292¿anon¿¿¿{"start":{"line":92,"column":17},"end":{"line":112,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿FunctionExpression
928¿Identifier¿¿0¿text¿¿¿{"start":{"line":92,"column":18},"end":{"line":92,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
929¿Identifier¿¿0¿idxes¿¿¿{"start":{"line":92,"column":24},"end":{"line":92,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
930¿Identifier¿¿0¿max¿¿¿{"start":{"line":92,"column":31},"end":{"line":92,"column":34},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
931¿VariableDeclarator¿¿1306¿lines¿¿¿{"start":{"line":93,"column":10},"end":{"line":93,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
932¿CallExpression¿¿1306¿¿¿¿{"start":{"line":93,"column":18},"end":{"line":93,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿CallExpression
933¿MemberExpression¿¿1306¿¿¿¿{"start":{"line":93,"column":18},"end":{"line":93,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿MemberExpression
934¿Identifier¿¿1306¿text¿¿¿{"start":{"line":93,"column":18},"end":{"line":93,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
935¿Identifier¿¿1306¿split¿¿¿{"start":{"line":93,"column":23},"end":{"line":93,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
936¿Literal¿object¿1306¿¿/(\r\n|\n|\r)/¿¿{"start":{"line":93,"column":29},"end":{"line":93,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Literal
937¿VariableDeclarator¿¿1306¿columns¿¿¿{"start":{"line":94,"column":10},"end":{"line":94,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
938¿ArrayExpression¿¿1306¿¿¿¿{"start":{"line":94,"column":20},"end":{"line":94,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿ArrayExpression
939¿VariableDeclarator¿¿1306¿v85¿¿¿{"start":{"line":96,"column":8},"end":{"line":96,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
940¿UnaryExpression¿!¿1306¿¿¿¿{"start":{"line":96,"column":8},"end":{"line":96,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿UnaryExpression
941¿Identifier¿¿1306¿max¿¿¿{"start":{"line":96,"column":9},"end":{"line":96,"column":12},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
942¿IfStatement¿¿1306¿¿¿¿{"start":{"line":96,"column":4},"end":{"line":98,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿IfStatement
943¿Identifier¿¿1306¿v85¿¿¿¿¿Identifier
944¿VariableDeclarator¿¿1306¿v86¿¿¿{"start":{"line":97,"column":12},"end":{"line":97,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
945¿MemberExpression¿¿1306¿¿¿¿{"start":{"line":97,"column":12},"end":{"line":97,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿MemberExpression
946¿Identifier¿¿1306¿Math¿¿¿{"start":{"line":97,"column":12},"end":{"line":97,"column":16},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
947¿Identifier¿¿1306¿max¿¿¿{"start":{"line":97,"column":17},"end":{"line":97,"column":20},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
948¿VariableDeclarator¿¿1306¿v87¿¿¿{"start":{"line":97,"column":12},"end":{"line":97,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
949¿CallExpression¿¿1306¿¿¿¿{"start":{"line":97,"column":12},"end":{"line":97,"column":39},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿CallExpression
950¿MemberExpression¿¿1306¿¿¿¿{"start":{"line":97,"column":12},"end":{"line":97,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿MemberExpression
951¿Identifier¿¿1306¿v86¿¿¿¿¿Identifier
952¿Identifier¿¿1306¿apply¿¿¿{"start":{"line":97,"column":21},"end":{"line":97,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
953¿Literal¿object¿1306¿¿null¿¿{"start":{"line":97,"column":27},"end":{"line":97,"column":31},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Literal
954¿Identifier¿¿1306¿idxes¿¿¿{"start":{"line":97,"column":33},"end":{"line":97,"column":38},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
955¿ExpressionStatement¿¿1306¿¿¿¿{"start":{"line":97,"column":6},"end":{"line":97,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿ExpressionStatement
956¿AssignmentExpression¿=¿1306¿¿¿¿{"start":{"line":97,"column":6},"end":{"line":97,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿AssignmentExpression
957¿Identifier¿¿1306¿max¿¿¿{"start":{"line":97,"column":6},"end":{"line":97,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
958¿BinaryExpression¿+¿1306¿¿¿¿{"start":{"line":97,"column":12},"end":{"line":97,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿BinaryExpression
959¿Identifier¿¿1306¿v87¿¿¿¿¿Identifier
960¿Literal¿number¿1306¿¿1¿¿{"start":{"line":97,"column":42},"end":{"line":97,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Literal
961¿BlockStatement¿¿1306¿¿¿¿{"start":{"line":96,"column":14},"end":{"line":98,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿BlockStatement
962¿VariableDeclarator¿¿1306¿v94¿¿¿{"start":{"line":100,"column":18},"end":{"line":109,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
963¿ArrowFunctionExpression¿¿1306¿¿¿¿{"start":{"line":100,"column":18},"end":{"line":109,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿ArrowFunctionExpression
964¿Identifier¿¿0¿line¿¿¿{"start":{"line":100,"column":18},"end":{"line":100,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
965¿VariableDeclarator¿¿1309¿cols¿¿¿{"start":{"line":101,"column":12},"end":{"line":101,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
966¿CallExpression¿¿1309¿¿¿¿{"start":{"line":101,"column":19},"end":{"line":101,"column":41},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿CallExpression
967¿MemberExpression¿¿1309¿¿¿¿{"start":{"line":101,"column":19},"end":{"line":101,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿MemberExpression
968¿Identifier¿¿1309¿utils¿¿¿{"start":{"line":101,"column":19},"end":{"line":101,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
969¿Identifier¿¿1309¿split¿¿¿{"start":{"line":101,"column":25},"end":{"line":101,"column":30},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
970¿Identifier¿¿1309¿line¿¿¿{"start":{"line":101,"column":31},"end":{"line":101,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
971¿Identifier¿¿1309¿max¿¿¿{"start":{"line":101,"column":37},"end":{"line":101,"column":40},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
972¿VariableDeclarator¿¿1309¿column¿¿¿{"start":{"line":102,"column":12},"end":{"line":102,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
973¿ArrayExpression¿¿1309¿¿¿¿{"start":{"line":102,"column":21},"end":{"line":102,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿ArrayExpression
974¿VariableDeclarator¿¿1309¿v91¿¿¿{"start":{"line":104,"column":20},"end":{"line":106,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
975¿ArrowFunctionExpression¿¿1309¿¿¿¿{"start":{"line":104,"column":20},"end":{"line":106,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿ArrowFunctionExpression
976¿Identifier¿¿0¿idx¿¿¿{"start":{"line":104,"column":20},"end":{"line":104,"column":23},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
977¿VariableDeclarator¿¿1311¿v88¿¿¿{"start":{"line":105,"column":20},"end":{"line":105,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
978¿MemberExpression¿computed¿1311¿¿¿¿{"start":{"line":105,"column":20},"end":{"line":105,"column":29},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿MemberExpression
979¿Identifier¿¿1311¿cols¿¿¿{"start":{"line":105,"column":20},"end":{"line":105,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
980¿Identifier¿¿1311¿idx¿¿¿{"start":{"line":105,"column":25},"end":{"line":105,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
981¿VariableDeclarator¿¿1311¿v89¿¿¿{"start":{"line":105,"column":20},"end":{"line":105,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
982¿LogicalExpression¿||¿1311¿¿¿¿{"start":{"line":105,"column":20},"end":{"line":105,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿LogicalExpression
983¿Identifier¿¿1311¿v88¿¿¿¿¿Identifier
984¿Literal¿string¿1311¿¿''¿¿{"start":{"line":105,"column":33},"end":{"line":105,"column":35},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Literal
985¿VariableDeclarator¿¿1311¿v90¿¿¿{"start":{"line":105,"column":8},"end":{"line":105,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
986¿CallExpression¿¿1311¿¿¿¿{"start":{"line":105,"column":8},"end":{"line":105,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿CallExpression
987¿MemberExpression¿¿1311¿¿¿¿{"start":{"line":105,"column":8},"end":{"line":105,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿MemberExpression
988¿Identifier¿¿1311¿column¿¿¿{"start":{"line":105,"column":8},"end":{"line":105,"column":14},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
989¿Identifier¿¿1311¿push¿¿¿{"start":{"line":105,"column":15},"end":{"line":105,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
990¿Identifier¿¿1311¿v89¿¿¿¿¿Identifier
991¿ExpressionStatement¿¿1311¿¿¿¿{"start":{"line":105,"column":8},"end":{"line":105,"column":36},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿ExpressionStatement
992¿Identifier¿¿1311¿v90¿¿¿¿¿Identifier
993¿BlockStatement¿¿1311¿¿¿¿{"start":{"line":104,"column":27},"end":{"line":106,"column":7},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿BlockStatement
994¿VariableDeclarator¿¿1309¿v92¿¿¿{"start":{"line":104,"column":6},"end":{"line":106,"column":8},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
995¿CallExpression¿¿1309¿¿¿¿{"start":{"line":104,"column":6},"end":{"line":106,"column":8},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿CallExpression
996¿MemberExpression¿¿1309¿¿¿¿{"start":{"line":104,"column":6},"end":{"line":104,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿MemberExpression
997¿Identifier¿¿1309¿idxes¿¿¿{"start":{"line":104,"column":6},"end":{"line":104,"column":11},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
998¿Identifier¿¿1309¿forEach¿¿¿{"start":{"line":104,"column":12},"end":{"line":104,"column":19},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
999¿Identifier¿¿1309¿v91¿¿¿¿¿Identifier
1000¿ExpressionStatement¿¿1309¿¿¿¿{"start":{"line":104,"column":6},"end":{"line":106,"column":8},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿ExpressionStatement
1001¿Identifier¿¿1309¿v92¿¿¿¿¿Identifier
1002¿VariableDeclarator¿¿1309¿v93¿¿¿{"start":{"line":108,"column":6},"end":{"line":108,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
1003¿CallExpression¿¿1309¿¿¿¿{"start":{"line":108,"column":6},"end":{"line":108,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿CallExpression
1004¿MemberExpression¿¿1309¿¿¿¿{"start":{"line":108,"column":6},"end":{"line":108,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿MemberExpression
1005¿Identifier¿¿1309¿columns¿¿¿{"start":{"line":108,"column":6},"end":{"line":108,"column":13},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
1006¿Identifier¿¿1309¿push¿¿¿{"start":{"line":108,"column":14},"end":{"line":108,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
1007¿Identifier¿¿1309¿column¿¿¿{"start":{"line":108,"column":19},"end":{"line":108,"column":25},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
1008¿ExpressionStatement¿¿1309¿¿¿¿{"start":{"line":108,"column":6},"end":{"line":108,"column":26},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿ExpressionStatement
1009¿Identifier¿¿1309¿v93¿¿¿¿¿Identifier
1010¿BlockStatement¿¿1309¿¿¿¿{"start":{"line":100,"column":26},"end":{"line":109,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿BlockStatement
1011¿VariableDeclarator¿¿1306¿v95¿¿¿{"start":{"line":100,"column":4},"end":{"line":109,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
1012¿CallExpression¿¿1306¿¿¿¿{"start":{"line":100,"column":4},"end":{"line":109,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿CallExpression
1013¿MemberExpression¿¿1306¿¿¿¿{"start":{"line":100,"column":4},"end":{"line":100,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿MemberExpression
1014¿Identifier¿¿1306¿lines¿¿¿{"start":{"line":100,"column":4},"end":{"line":100,"column":9},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
1015¿Identifier¿¿1306¿forEach¿¿¿{"start":{"line":100,"column":10},"end":{"line":100,"column":17},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
1016¿Identifier¿¿1306¿v94¿¿¿¿¿Identifier
1017¿ExpressionStatement¿¿1306¿¿¿¿{"start":{"line":100,"column":4},"end":{"line":109,"column":6},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿ExpressionStatement
1018¿Identifier¿¿1306¿v95¿¿¿¿¿Identifier
1019¿ReturnStatement¿¿1306¿¿¿¿{"start":{"line":111,"column":4},"end":{"line":111,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿ReturnStatement
1020¿Identifier¿¿1306¿columns¿¿¿{"start":{"line":111,"column":11},"end":{"line":111,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
1021¿BlockStatement¿¿1306¿¿¿¿{"start":{"line":92,"column":36},"end":{"line":112,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿BlockStatement
1022¿VariableDeclarator¿exported¿1292¿v126¿¿¿{"start":{"line":132,"column":13},"end":{"line":170,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
1023¿FunctionExpression¿¿1292¿anon¿¿¿{"start":{"line":132,"column":13},"end":{"line":170,"column":3},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿FunctionExpression
1024¿Identifier¿¿0¿data¿¿¿{"start":{"line":132,"column":14},"end":{"line":132,"column":18},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
1025¿VariableDeclarator¿¿1313¿v97¿¿¿{"start":{"line":133,"column":18},"end":{"line":133,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
1026¿CallExpression¿¿1313¿¿¿¿{"start":{"line":133,"column":18},"end":{"line":133,"column":44},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿CallExpression
1027¿MemberExpression¿¿1313¿¿¿¿{"start":{"line":133,"column":18},"end":{"line":133,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿MemberExpression
1028¿Identifier¿¿1313¿data¿¿¿{"start":{"line":133,"column":18},"end":{"line":133,"column":22},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
1029¿Identifier¿¿1313¿split¿¿¿{"start":{"line":133,"column":23},"end":{"line":133,"column":28},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
1030¿Literal¿object¿1313¿¿/(\r\n|\n|\r)/¿¿{"start":{"line":133,"column":29},"end":{"line":133,"column":43},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Literal
1031¿VariableDeclarator¿¿1313¿v101¿¿¿{"start":{"line":133,"column":52},"end":{"line":135,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
1032¿ArrowFunctionExpression¿¿1313¿¿¿¿{"start":{"line":133,"column":52},"end":{"line":135,"column":5},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿ArrowFunctionExpression
1033¿Identifier¿¿0¿line¿¿¿{"start":{"line":133,"column":52},"end":{"line":133,"column":56},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿Identifier
1034¿VariableDeclarator¿¿1315¿v98¿¿¿{"start":{"line":134,"column":13},"end":{"line":134,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿VariableDeclarator
1035¿CallExpression¿¿1315¿¿¿¿{"start":{"line":134,"column":13},"end":{"line":134,"column":24},"fname":"/datasets/secbench-dataset/CWE-78/find-process_1.4.4/src/utils.js"}¿¿CallExpression
