Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1063¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":207,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Program
1198¿Identifier¿¿1854¿stat¿¿¿{"start":{"line":19,"column":5},"end":{"line":19,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1199¿Identifier¿¿1854¿filePath¿¿¿{"start":{"line":19,"column":10},"end":{"line":19,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1200¿Identifier¿¿1854¿v109¿¿¿¿¿Identifier
1201¿ExpressionStatement¿¿1854¿¿¿¿{"start":{"line":19,"column":2},"end":{"line":46,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿ExpressionStatement
1202¿Identifier¿¿1854¿v110¿¿¿¿¿Identifier
1203¿BlockStatement¿¿1854¿¿¿¿{"start":{"line":18,"column":38},"end":{"line":47,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿BlockStatement
1204¿VariableDeclarator¿¿1852¿checkCompress¿¿¿{"start":{"line":62,"column":0},"end":{"line":70,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1205¿FunctionExpression¿¿1852¿anon¿¿¿{"start":{"line":62,"column":0},"end":{"line":70,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿FunctionExpression
1206¿Identifier¿¿0¿basePath¿¿¿{"start":{"line":62,"column":23},"end":{"line":62,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1207¿Identifier¿¿0¿callback¿¿¿{"start":{"line":62,"column":33},"end":{"line":62,"column":41},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1208¿VariableDeclarator¿¿1861¿gPath¿¿¿{"start":{"line":63,"column":8},"end":{"line":63,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1209¿TemplateLiteral¿¿1861¿¿¿¿{"start":{"line":63,"column":16},"end":{"line":63,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿TemplateLiteral
1210¿Identifier¿¿1861¿basePath¿¿¿{"start":{"line":63,"column":19},"end":{"line":63,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1211¿VariableDeclarator¿¿1861¿v116¿¿¿{"start":{"line":65,"column":17},"end":{"line":69,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1212¿FunctionExpression¿¿1861¿anon¿¿¿{"start":{"line":65,"column":17},"end":{"line":69,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿FunctionExpression
1213¿Identifier¿¿0¿err¿¿¿{"start":{"line":65,"column":26},"end":{"line":65,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1214¿Identifier¿¿0¿stats¿¿¿{"start":{"line":65,"column":31},"end":{"line":65,"column":36},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1215¿VariableDeclarator¿¿1863¿v111¿¿¿{"start":{"line":66,"column":16},"end":{"line":66,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1216¿CallExpression¿¿1863¿¿¿¿{"start":{"line":66,"column":16},"end":{"line":66,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿CallExpression
1217¿MemberExpression¿¿1863¿¿¿¿{"start":{"line":66,"column":16},"end":{"line":66,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿MemberExpression
1218¿Identifier¿¿1863¿stats¿¿¿{"start":{"line":66,"column":16},"end":{"line":66,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1219¿Identifier¿¿1863¿isFile¿¿¿{"start":{"line":66,"column":22},"end":{"line":66,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1220¿VariableDeclarator¿¿1863¿v112¿¿¿{"start":{"line":66,"column":15},"end":{"line":66,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1221¿UnaryExpression¿!¿1863¿¿¿¿{"start":{"line":66,"column":15},"end":{"line":66,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿UnaryExpression
1222¿Identifier¿¿1863¿v111¿¿¿¿¿Identifier
1223¿VariableDeclarator¿¿1863¿v113¿¿¿{"start":{"line":66,"column":8},"end":{"line":66,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1224¿LogicalExpression¿||¿1863¿¿¿¿{"start":{"line":66,"column":8},"end":{"line":66,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿LogicalExpression
1225¿Identifier¿¿1863¿err¿¿¿{"start":{"line":66,"column":8},"end":{"line":66,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1226¿Identifier¿¿1863¿v112¿¿¿¿¿Identifier
1227¿IfStatement¿¿1863¿¿¿¿{"start":{"line":66,"column":4},"end":{"line":66,"column":64},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿IfStatement
1228¿Identifier¿¿1863¿v113¿¿¿¿¿Identifier
1229¿VariableDeclarator¿¿1863¿v114¿¿¿{"start":{"line":66,"column":39},"end":{"line":66,"column":63},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1230¿CallExpression¿¿1863¿¿¿¿{"start":{"line":66,"column":39},"end":{"line":66,"column":63},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿CallExpression
1231¿Identifier¿¿1863¿callback¿¿¿{"start":{"line":66,"column":39},"end":{"line":66,"column":47},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1232¿Literal¿object¿1863¿¿null¿¿{"start":{"line":66,"column":48},"end":{"line":66,"column":52},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Literal
1233¿Identifier¿¿1863¿basePath¿¿¿{"start":{"line":66,"column":54},"end":{"line":66,"column":62},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1234¿ReturnStatement¿¿1863¿¿¿¿{"start":{"line":66,"column":32},"end":{"line":66,"column":64},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿ReturnStatement
1235¿Identifier¿¿1863¿v114¿¿¿¿¿Identifier
1236¿BlockStatement¿¿1863¿¿¿¿¿¿BlockStatement
1237¿VariableDeclarator¿¿1863¿v115¿¿¿{"start":{"line":68,"column":4},"end":{"line":68,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1238¿CallExpression¿¿1863¿¿¿¿{"start":{"line":68,"column":4},"end":{"line":68,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿CallExpression
1239¿Identifier¿¿1863¿callback¿¿¿{"start":{"line":68,"column":4},"end":{"line":68,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1240¿Literal¿object¿1863¿¿null¿¿{"start":{"line":68,"column":13},"end":{"line":68,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Literal
1241¿Identifier¿¿1863¿gPath¿¿¿{"start":{"line":68,"column":19},"end":{"line":68,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1242¿ExpressionStatement¿¿1863¿¿¿¿{"start":{"line":68,"column":4},"end":{"line":68,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿ExpressionStatement
1243¿Identifier¿¿1863¿v115¿¿¿¿¿Identifier
1244¿BlockStatement¿¿1863¿¿¿¿{"start":{"line":65,"column":38},"end":{"line":69,"column":3},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿BlockStatement
1245¿VariableDeclarator¿¿1861¿v117¿¿¿{"start":{"line":65,"column":2},"end":{"line":69,"column":4},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1246¿CallExpression¿¿1861¿¿¿¿{"start":{"line":65,"column":2},"end":{"line":69,"column":4},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿CallExpression
1247¿MemberExpression¿¿1861¿¿¿¿{"start":{"line":65,"column":2},"end":{"line":65,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿MemberExpression
1248¿Identifier¿¿1861¿fs¿¿¿{"start":{"line":65,"column":2},"end":{"line":65,"column":4},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1249¿Identifier¿¿1861¿stat¿¿¿{"start":{"line":65,"column":5},"end":{"line":65,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1250¿Identifier¿¿1861¿gPath¿¿¿{"start":{"line":65,"column":10},"end":{"line":65,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1251¿Identifier¿¿1861¿v116¿¿¿¿¿Identifier
1252¿ExpressionStatement¿¿1861¿¿¿¿{"start":{"line":65,"column":2},"end":{"line":69,"column":5},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿ExpressionStatement
1253¿Identifier¿¿1861¿v117¿¿¿¿¿Identifier
1254¿BlockStatement¿¿1861¿¿¿¿{"start":{"line":62,"column":43},"end":{"line":70,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿BlockStatement
1255¿VariableDeclarator¿¿1852¿createServerEtag¿¿¿{"start":{"line":81,"column":0},"end":{"line":87,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1256¿FunctionExpression¿¿1852¿anon¿¿¿{"start":{"line":81,"column":0},"end":{"line":87,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿FunctionExpression
1257¿Identifier¿¿0¿inode¿¿¿{"start":{"line":81,"column":26},"end":{"line":81,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1258¿Identifier¿¿0¿mTime¿¿¿{"start":{"line":81,"column":33},"end":{"line":81,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1259¿VariableDeclarator¿¿1866¿v118¿¿¿{"start":{"line":84,"column":14},"end":{"line":84,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1260¿CallExpression¿¿1866¿¿¿¿{"start":{"line":84,"column":14},"end":{"line":84,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿CallExpression
1261¿MemberExpression¿¿1866¿¿¿¿{"start":{"line":84,"column":14},"end":{"line":84,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿MemberExpression
1262¿Identifier¿¿1866¿inode¿¿¿{"start":{"line":84,"column":14},"end":{"line":84,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1263¿Identifier¿¿1866¿toString¿¿¿{"start":{"line":84,"column":20},"end":{"line":84,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1264¿VariableDeclarator¿¿1866¿v119¿¿¿{"start":{"line":84,"column":33},"end":{"line":84,"column":48},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1265¿CallExpression¿¿1866¿¿¿¿{"start":{"line":84,"column":33},"end":{"line":84,"column":48},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿CallExpression
1266¿MemberExpression¿¿1866¿¿¿¿{"start":{"line":84,"column":33},"end":{"line":84,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿MemberExpression
1267¿Identifier¿¿1866¿mTime¿¿¿{"start":{"line":84,"column":33},"end":{"line":84,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1268¿Identifier¿¿1866¿getTime¿¿¿{"start":{"line":84,"column":39},"end":{"line":84,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1269¿VariableDeclarator¿¿1866¿v120¿¿¿{"start":{"line":84,"column":33},"end":{"line":84,"column":59},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1270¿CallExpression¿¿1866¿¿¿¿{"start":{"line":84,"column":33},"end":{"line":84,"column":59},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿CallExpression
1271¿MemberExpression¿¿1866¿¿¿¿{"start":{"line":84,"column":33},"end":{"line":84,"column":57},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿MemberExpression
1272¿Identifier¿¿1866¿v119¿¿¿¿¿Identifier
1273¿Identifier¿¿1866¿toString¿¿¿{"start":{"line":84,"column":49},"end":{"line":84,"column":57},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1274¿VariableDeclarator¿¿1866¿str¿¿¿{"start":{"line":84,"column":8},"end":{"line":84,"column":59},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1275¿BinaryExpression¿+¿1866¿¿¿¿{"start":{"line":84,"column":14},"end":{"line":84,"column":59},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿BinaryExpression
1276¿Identifier¿¿1866¿v118¿¿¿¿¿Identifier
1277¿Identifier¿¿1866¿v120¿¿¿¿¿Identifier
1278¿VariableDeclarator¿¿1866¿v121¿¿¿{"start":{"line":86,"column":9},"end":{"line":86,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1279¿CallExpression¿¿1866¿¿¿¿{"start":{"line":86,"column":9},"end":{"line":86,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿CallExpression
1280¿MemberExpression¿¿1866¿¿¿¿{"start":{"line":86,"column":9},"end":{"line":86,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿MemberExpression
1281¿Identifier¿¿1866¿crypto¿¿¿{"start":{"line":86,"column":9},"end":{"line":86,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1282¿Identifier¿¿1866¿createHash¿¿¿{"start":{"line":86,"column":16},"end":{"line":86,"column":26},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1283¿Literal¿string¿1866¿¿'md5'¿¿{"start":{"line":86,"column":27},"end":{"line":86,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Literal
1284¿VariableDeclarator¿¿1866¿v122¿¿¿{"start":{"line":86,"column":9},"end":{"line":86,"column":45},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1285¿CallExpression¿¿1866¿¿¿¿{"start":{"line":86,"column":9},"end":{"line":86,"column":45},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿CallExpression
1286¿MemberExpression¿¿1866¿¿¿¿{"start":{"line":86,"column":9},"end":{"line":86,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿MemberExpression
1287¿Identifier¿¿1866¿v121¿¿¿¿¿Identifier
1288¿Identifier¿¿1866¿update¿¿¿{"start":{"line":86,"column":34},"end":{"line":86,"column":40},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1289¿Identifier¿¿1866¿str¿¿¿{"start":{"line":86,"column":41},"end":{"line":86,"column":44},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1290¿VariableDeclarator¿¿1866¿v123¿¿¿{"start":{"line":86,"column":9},"end":{"line":86,"column":59},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1291¿CallExpression¿¿1866¿¿¿¿{"start":{"line":86,"column":9},"end":{"line":86,"column":59},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿CallExpression
1292¿MemberExpression¿¿1866¿¿¿¿{"start":{"line":86,"column":9},"end":{"line":86,"column":52},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿MemberExpression
1293¿Identifier¿¿1866¿v122¿¿¿¿¿Identifier
1294¿Identifier¿¿1866¿digest¿¿¿{"start":{"line":86,"column":46},"end":{"line":86,"column":52},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1295¿Literal¿string¿1866¿¿'hex'¿¿{"start":{"line":86,"column":53},"end":{"line":86,"column":58},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Literal
1296¿ReturnStatement¿¿1866¿¿¿¿{"start":{"line":86,"column":2},"end":{"line":86,"column":60},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿ReturnStatement
1297¿Identifier¿¿1866¿v123¿¿¿¿¿Identifier
1298¿BlockStatement¿¿1866¿¿¿¿{"start":{"line":81,"column":40},"end":{"line":87,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿BlockStatement
1299¿VariableDeclarator¿¿1852¿should304¿¿¿{"start":{"line":98,"column":0},"end":{"line":107,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1300¿FunctionExpression¿¿1852¿anon¿¿¿{"start":{"line":98,"column":0},"end":{"line":107,"column":1},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿FunctionExpression
1301¿Identifier¿¿0¿req¿¿¿{"start":{"line":98,"column":19},"end":{"line":98,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1302¿Identifier¿¿0¿stats¿¿¿{"start":{"line":98,"column":24},"end":{"line":98,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1303¿VariableDeclarator¿¿1868¿v124¿¿¿{"start":{"line":99,"column":21},"end":{"line":99,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1304¿MemberExpression¿¿1868¿¿¿¿{"start":{"line":99,"column":21},"end":{"line":99,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿MemberExpression
1305¿Identifier¿¿1868¿req¿¿¿{"start":{"line":99,"column":21},"end":{"line":99,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1306¿Identifier¿¿1868¿headers¿¿¿{"start":{"line":99,"column":25},"end":{"line":99,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1307¿VariableDeclarator¿¿1868¿clientEtag¿¿¿{"start":{"line":99,"column":8},"end":{"line":99,"column":49},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1308¿MemberExpression¿computed¿1868¿¿¿¿{"start":{"line":99,"column":21},"end":{"line":99,"column":49},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿MemberExpression
1309¿Identifier¿¿1868¿v124¿¿¿¿¿Identifier
1310¿Literal¿string¿1868¿¿'if-none-match'¿¿{"start":{"line":99,"column":33},"end":{"line":99,"column":48},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Literal
1311¿VariableDeclarator¿¿1868¿v125¿¿¿{"start":{"line":101,"column":6},"end":{"line":101,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1312¿UnaryExpression¿!¿1868¿¿¿¿{"start":{"line":101,"column":6},"end":{"line":101,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿UnaryExpression
1313¿Identifier¿¿1868¿clientEtag¿¿¿{"start":{"line":101,"column":7},"end":{"line":101,"column":17},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1314¿IfStatement¿¿1868¿¿¿¿{"start":{"line":101,"column":2},"end":{"line":101,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿IfStatement
1315¿Identifier¿¿1868¿v125¿¿¿¿¿Identifier
1316¿ReturnStatement¿¿1868¿¿¿¿{"start":{"line":101,"column":19},"end":{"line":101,"column":32},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿ReturnStatement
1317¿Literal¿boolean¿1868¿¿false¿¿{"start":{"line":101,"column":26},"end":{"line":101,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Literal
1318¿BlockStatement¿¿1868¿¿¿¿¿¿BlockStatement
1319¿VariableDeclarator¿¿1868¿v126¿¿¿{"start":{"line":102,"column":38},"end":{"line":102,"column":47},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1320¿MemberExpression¿¿1868¿¿¿¿{"start":{"line":102,"column":38},"end":{"line":102,"column":47},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿MemberExpression
1321¿Identifier¿¿1868¿stats¿¿¿{"start":{"line":102,"column":38},"end":{"line":102,"column":43},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1322¿Identifier¿¿1868¿ino¿¿¿{"start":{"line":102,"column":44},"end":{"line":102,"column":47},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1323¿VariableDeclarator¿¿1868¿v127¿¿¿{"start":{"line":102,"column":49},"end":{"line":102,"column":60},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1324¿MemberExpression¿¿1868¿¿¿¿{"start":{"line":102,"column":49},"end":{"line":102,"column":60},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿MemberExpression
1325¿Identifier¿¿1868¿stats¿¿¿{"start":{"line":102,"column":49},"end":{"line":102,"column":54},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1326¿Identifier¿¿1868¿mtime¿¿¿{"start":{"line":102,"column":55},"end":{"line":102,"column":60},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1327¿VariableDeclarator¿¿1868¿serverEtag¿¿¿{"start":{"line":102,"column":8},"end":{"line":102,"column":61},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1328¿CallExpression¿¿1868¿¿¿¿{"start":{"line":102,"column":21},"end":{"line":102,"column":61},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿CallExpression
1329¿Identifier¿¿1868¿createServerEtag¿¿¿{"start":{"line":102,"column":21},"end":{"line":102,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1330¿Identifier¿¿1868¿v126¿¿¿¿¿Identifier
1331¿Identifier¿¿1868¿v127¿¿¿¿¿Identifier
1332¿VariableDeclarator¿¿1868¿v128¿¿¿{"start":{"line":104,"column":6},"end":{"line":104,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿VariableDeclarator
1333¿BinaryExpression¿!==¿1868¿¿¿¿{"start":{"line":104,"column":6},"end":{"line":104,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿BinaryExpression
1334¿Identifier¿¿1868¿serverEtag¿¿¿{"start":{"line":104,"column":6},"end":{"line":104,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1335¿Identifier¿¿1868¿clientEtag¿¿¿{"start":{"line":104,"column":21},"end":{"line":104,"column":31},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿Identifier
1336¿IfStatement¿¿1868¿¿¿¿{"start":{"line":104,"column":2},"end":{"line":104,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿IfStatement
1337¿Identifier¿¿1868¿v128¿¿¿¿¿Identifier
1338¿ReturnStatement¿¿1868¿¿¿¿{"start":{"line":104,"column":33},"end":{"line":104,"column":46},"fname":"/datasets/secbench-dataset/CWE-22/basic-static_2.0.2/src/basic-static.js"}¿¿ReturnStatement
