Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
924¿Program¿¿-1¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":73,"column":40},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Program
1048¿Identifier¿¿1643¿input¿¿¿{"start":{"line":22,"column":37},"end":{"line":22,"column":42},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1049¿Identifier¿¿1643¿path¿¿¿{"start":{"line":22,"column":43},"end":{"line":22,"column":47},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1050¿VariableDeclarator¿¿1643¿v105¿¿¿{"start":{"line":22,"column":49},"end":{"line":22,"column":91},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1051¿BinaryExpression¿!==¿1643¿¿¿¿{"start":{"line":22,"column":49},"end":{"line":22,"column":91},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿BinaryExpression
1052¿AssignmentExpression¿=¿1643¿¿¿¿{"start":{"line":22,"column":50},"end":{"line":22,"column":81},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿AssignmentExpression
1053¿Identifier¿¿1643¿_a¿¿¿{"start":{"line":22,"column":50},"end":{"line":22,"column":52},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1054¿MemberExpression¿computed¿1643¿¿¿¿{"start":{"line":22,"column":55},"end":{"line":22,"column":81},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿MemberExpression
1055¿Identifier¿¿1643¿args¿¿¿{"start":{"line":22,"column":55},"end":{"line":22,"column":59},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1056¿Literal¿string¿1643¿¿'--md-file-encoding'¿¿{"start":{"line":22,"column":60},"end":{"line":22,"column":80},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Literal
1057¿Literal¿object¿1643¿¿null¿¿{"start":{"line":22,"column":87},"end":{"line":22,"column":91},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Literal
1058¿VariableDeclarator¿¿1643¿v106¿¿¿{"start":{"line":22,"column":102},"end":{"line":22,"column":108},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1059¿UnaryExpression¿void¿1643¿¿¿¿{"start":{"line":22,"column":102},"end":{"line":22,"column":108},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿UnaryExpression
1060¿Literal¿number¿1643¿¿0¿¿{"start":{"line":22,"column":107},"end":{"line":22,"column":108},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Literal
1061¿VariableDeclarator¿¿1643¿v107¿¿¿{"start":{"line":22,"column":95},"end":{"line":22,"column":108},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1062¿BinaryExpression¿!==¿1643¿¿¿¿{"start":{"line":22,"column":95},"end":{"line":22,"column":108},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿BinaryExpression
1063¿Identifier¿¿1643¿_a¿¿¿{"start":{"line":22,"column":95},"end":{"line":22,"column":97},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1064¿Identifier¿¿1643¿v106¿¿¿¿¿Identifier
1065¿VariableDeclarator¿¿1643¿v108¿¿¿{"start":{"line":22,"column":49},"end":{"line":22,"column":108},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1066¿LogicalExpression¿&&¿1643¿¿¿¿{"start":{"line":22,"column":49},"end":{"line":22,"column":108},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿LogicalExpression
1067¿Identifier¿¿1643¿v105¿¿¿¿¿Identifier
1068¿Identifier¿¿1643¿v107¿¿¿¿¿Identifier
1069¿VariableDeclarator¿¿1643¿v109¿¿¿{"start":{"line":22,"column":116},"end":{"line":22,"column":139},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1070¿MemberExpression¿¿1643¿¿¿¿{"start":{"line":22,"column":116},"end":{"line":22,"column":139},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿MemberExpression
1071¿Identifier¿¿1643¿config¿¿¿{"start":{"line":22,"column":116},"end":{"line":22,"column":122},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1072¿Identifier¿¿1643¿md_file_encoding¿¿¿{"start":{"line":22,"column":123},"end":{"line":22,"column":139},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1073¿VariableDeclarator¿¿1643¿v110¿¿¿{"start":{"line":22,"column":49},"end":{"line":22,"column":139},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1074¿IfStatement¿¿1643¿¿¿¿{"start":{"line":22,"column":49},"end":{"line":22,"column":139},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿IfStatement
1075¿Identifier¿¿1643¿v108¿¿¿¿¿Identifier
1076¿ExpressionStatement¿¿1643¿¿¿¿{"start":{"line":22,"column":49},"end":{"line":22,"column":139},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿ExpressionStatement
1077¿AssignmentExpression¿=¿1643¿¿¿¿{"start":{"line":22,"column":49},"end":{"line":22,"column":139},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿AssignmentExpression
1078¿Identifier¿¿1643¿v110¿¿¿¿¿Identifier
1079¿Identifier¿¿1643¿_a¿¿¿{"start":{"line":22,"column":111},"end":{"line":22,"column":113},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1080¿BlockStatement¿¿1643¿¿¿¿¿¿BlockStatement
1081¿ExpressionStatement¿¿1643¿¿¿¿{"start":{"line":22,"column":49},"end":{"line":22,"column":139},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿ExpressionStatement
1082¿AssignmentExpression¿=¿1643¿¿¿¿{"start":{"line":22,"column":49},"end":{"line":22,"column":139},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿AssignmentExpression
1083¿Identifier¿¿1643¿v110¿¿¿¿¿Identifier
1084¿Identifier¿¿1643¿v109¿¿¿¿¿Identifier
1085¿BlockStatement¿¿1643¿¿¿¿¿¿BlockStatement
1086¿IfStatement¿¿1643¿¿¿¿{"start":{"line":20,"column":26},"end":{"line":22,"column":140},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿IfStatement
1087¿Identifier¿¿1643¿v102¿¿¿¿¿Identifier
1088¿ExpressionStatement¿¿1643¿¿¿¿{"start":{"line":20,"column":26},"end":{"line":22,"column":140},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿ExpressionStatement
1089¿AssignmentExpression¿=¿1643¿¿¿¿{"start":{"line":20,"column":26},"end":{"line":22,"column":140},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿AssignmentExpression
1090¿Identifier¿¿1643¿mdFileContent¿¿¿{"start":{"line":20,"column":26},"end":{"line":22,"column":140},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1091¿Identifier¿¿1643¿v103¿¿¿¿¿Identifier
1092¿BlockStatement¿¿1643¿¿¿¿¿¿BlockStatement
1093¿ExpressionStatement¿¿1643¿¿¿¿{"start":{"line":20,"column":26},"end":{"line":22,"column":140},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿ExpressionStatement
1094¿AssignmentExpression¿=¿1643¿¿¿¿{"start":{"line":20,"column":26},"end":{"line":22,"column":140},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿AssignmentExpression
1095¿Identifier¿¿1643¿mdFileContent¿¿¿{"start":{"line":20,"column":26},"end":{"line":22,"column":140},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1096¿AwaitExpression¿¿1643¿¿¿¿{"start":{"line":22,"column":10},"end":{"line":22,"column":140},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿AwaitExpression
1097¿CallExpression¿¿1643¿¿¿¿{"start":{"line":22,"column":16},"end":{"line":22,"column":140},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿CallExpression
1098¿MemberExpression¿¿1643¿¿¿¿{"start":{"line":22,"column":16},"end":{"line":22,"column":36},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿MemberExpression
1099¿Identifier¿¿1643¿read_file_1¿¿¿{"start":{"line":22,"column":16},"end":{"line":22,"column":27},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1100¿Identifier¿¿1643¿readFile¿¿¿{"start":{"line":22,"column":28},"end":{"line":22,"column":36},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1101¿Identifier¿¿1643¿v104¿¿¿¿¿Identifier
1102¿Identifier¿¿1643¿v110¿¿¿¿¿Identifier
1103¿BlockStatement¿¿1643¿¿¿¿¿¿BlockStatement
1104¿VariableDeclarator¿¿1643¿v111¿¿¿{"start":{"line":23,"column":10},"end":{"line":23,"column":89},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1105¿CallExpression¿¿1643¿¿¿¿{"start":{"line":23,"column":53},"end":{"line":23,"column":89},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿CallExpression
1106¿MemberExpression¿¿1643¿¿¿¿{"start":{"line":23,"column":53},"end":{"line":23,"column":74},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿MemberExpression
1107¿Identifier¿¿1643¿gray_matter_1¿¿¿{"start":{"line":23,"column":53},"end":{"line":23,"column":66},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1108¿Identifier¿¿1643¿default¿¿¿{"start":{"line":23,"column":67},"end":{"line":23,"column":74},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1109¿Identifier¿¿1643¿mdFileContent¿¿¿{"start":{"line":23,"column":75},"end":{"line":23,"column":88},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1110¿VariableDeclarator¿¿1643¿content¿¿¿{"start":{"line":23,"column":12},"end":{"line":23,"column":23},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1111¿MemberExpression¿¿1643¿¿¿¿{"start":{"line":23,"column":12},"end":{"line":23,"column":23},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿MemberExpression
1112¿Identifier¿¿1643¿v111¿¿¿¿¿Identifier
1113¿Identifier¿¿1643¿md¿¿¿{"start":{"line":23,"column":21},"end":{"line":23,"column":23},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1114¿VariableDeclarator¿¿1643¿data¿¿¿{"start":{"line":23,"column":25},"end":{"line":23,"column":48},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1115¿MemberExpression¿¿1643¿¿¿¿{"start":{"line":23,"column":25},"end":{"line":23,"column":48},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿MemberExpression
1116¿Identifier¿¿1643¿v111¿¿¿¿¿Identifier
1117¿Identifier¿¿1643¿frontMatterConfig¿¿¿{"start":{"line":23,"column":31},"end":{"line":23,"column":48},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1118¿VariableDeclarator¿¿1643¿v112¿¿¿{"start":{"line":25,"column":55},"end":{"line":25,"column":57},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1119¿ObjectExpression¿¿1643¿¿¿¿{"start":{"line":25,"column":55},"end":{"line":25,"column":57},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿ObjectExpression
1120¿VariableDeclarator¿¿1643¿v113¿¿¿{"start":{"line":25,"column":41},"end":{"line":25,"column":66},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1121¿CallExpression¿¿1643¿¿¿¿{"start":{"line":25,"column":41},"end":{"line":25,"column":66},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿CallExpression
1122¿MemberExpression¿¿1643¿¿¿¿{"start":{"line":25,"column":41},"end":{"line":25,"column":54},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿MemberExpression
1123¿Identifier¿¿1643¿Object¿¿¿{"start":{"line":25,"column":41},"end":{"line":25,"column":47},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1124¿Identifier¿¿1643¿assign¿¿¿{"start":{"line":25,"column":48},"end":{"line":25,"column":54},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1125¿Identifier¿¿1643¿v112¿¿¿¿¿Identifier
1126¿Identifier¿¿1643¿config¿¿¿{"start":{"line":25,"column":59},"end":{"line":25,"column":65},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1127¿VariableDeclarator¿¿1643¿v114¿¿¿{"start":{"line":25,"column":27},"end":{"line":25,"column":86},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1128¿CallExpression¿¿1643¿¿¿¿{"start":{"line":25,"column":27},"end":{"line":25,"column":86},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿CallExpression
1129¿MemberExpression¿¿1643¿¿¿¿{"start":{"line":25,"column":27},"end":{"line":25,"column":40},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿MemberExpression
1130¿Identifier¿¿1643¿Object¿¿¿{"start":{"line":25,"column":27},"end":{"line":25,"column":33},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1131¿Identifier¿¿1643¿assign¿¿¿{"start":{"line":25,"column":34},"end":{"line":25,"column":40},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1132¿Identifier¿¿1643¿v113¿¿¿¿¿Identifier
1133¿Identifier¿¿1643¿frontMatterConfig¿¿¿{"start":{"line":25,"column":68},"end":{"line":25,"column":85},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1134¿VariableDeclarator¿¿1643¿v115¿¿¿{"start":{"line":25,"column":131},"end":{"line":25,"column":133},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1135¿ObjectExpression¿¿1643¿¿¿¿{"start":{"line":25,"column":131},"end":{"line":25,"column":133},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿ObjectExpression
1136¿VariableDeclarator¿¿1643¿v116¿¿¿{"start":{"line":25,"column":135},"end":{"line":25,"column":153},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1137¿MemberExpression¿¿1643¿¿¿¿{"start":{"line":25,"column":135},"end":{"line":25,"column":153},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿MemberExpression
1138¿Identifier¿¿1643¿config¿¿¿{"start":{"line":25,"column":135},"end":{"line":25,"column":141},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1139¿Identifier¿¿1643¿pdf_options¿¿¿{"start":{"line":25,"column":142},"end":{"line":25,"column":153},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1140¿VariableDeclarator¿¿1643¿v117¿¿¿{"start":{"line":25,"column":117},"end":{"line":25,"column":154},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1141¿CallExpression¿¿1643¿¿¿¿{"start":{"line":25,"column":117},"end":{"line":25,"column":154},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿CallExpression
1142¿MemberExpression¿¿1643¿¿¿¿{"start":{"line":25,"column":117},"end":{"line":25,"column":130},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿MemberExpression
1143¿Identifier¿¿1643¿Object¿¿¿{"start":{"line":25,"column":117},"end":{"line":25,"column":123},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1144¿Identifier¿¿1643¿assign¿¿¿{"start":{"line":25,"column":124},"end":{"line":25,"column":130},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1145¿Identifier¿¿1643¿v115¿¿¿¿¿Identifier
1146¿Identifier¿¿1643¿v116¿¿¿¿¿Identifier
1147¿VariableDeclarator¿¿1643¿v118¿¿¿{"start":{"line":25,"column":156},"end":{"line":25,"column":185},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1148¿MemberExpression¿¿1643¿¿¿¿{"start":{"line":25,"column":156},"end":{"line":25,"column":185},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿MemberExpression
1149¿Identifier¿¿1643¿frontMatterConfig¿¿¿{"start":{"line":25,"column":156},"end":{"line":25,"column":173},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1150¿Identifier¿¿1643¿pdf_options¿¿¿{"start":{"line":25,"column":174},"end":{"line":25,"column":185},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1151¿VariableDeclarator¿¿1643¿v119¿¿¿{"start":{"line":25,"column":103},"end":{"line":25,"column":186},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1152¿CallExpression¿¿1643¿¿¿¿{"start":{"line":25,"column":103},"end":{"line":25,"column":186},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿CallExpression
1153¿MemberExpression¿¿1643¿¿¿¿{"start":{"line":25,"column":103},"end":{"line":25,"column":116},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿MemberExpression
1154¿Identifier¿¿1643¿Object¿¿¿{"start":{"line":25,"column":103},"end":{"line":25,"column":109},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1155¿Identifier¿¿1643¿assign¿¿¿{"start":{"line":25,"column":110},"end":{"line":25,"column":116},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1156¿Identifier¿¿1643¿v117¿¿¿¿¿Identifier
1157¿Identifier¿¿1643¿v118¿¿¿¿¿Identifier
1158¿VariableDeclarator¿¿1643¿v120¿¿¿{"start":{"line":25,"column":88},"end":{"line":25,"column":188},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1159¿ObjectExpression¿¿1643¿¿¿¿{"start":{"line":25,"column":88},"end":{"line":25,"column":188},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿ObjectExpression
1160¿Property¿¿1643¿¿¿¿{"start":{"line":25,"column":90},"end":{"line":25,"column":186},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Property
1161¿Identifier¿¿1643¿pdf_options¿¿¿{"start":{"line":25,"column":90},"end":{"line":25,"column":101},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1162¿Identifier¿¿1643¿v119¿¿¿¿¿Identifier
1163¿ExpressionStatement¿¿1643¿¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":190},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿ExpressionStatement
1164¿AssignmentExpression¿=¿1643¿¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":189},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿AssignmentExpression
1165¿Identifier¿¿1643¿config¿¿¿{"start":{"line":25,"column":4},"end":{"line":25,"column":10},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1166¿CallExpression¿¿1643¿¿¿¿{"start":{"line":25,"column":13},"end":{"line":25,"column":189},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿CallExpression
1167¿MemberExpression¿¿1643¿¿¿¿{"start":{"line":25,"column":13},"end":{"line":25,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿MemberExpression
1168¿Identifier¿¿1643¿Object¿¿¿{"start":{"line":25,"column":13},"end":{"line":25,"column":19},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1169¿Identifier¿¿1643¿assign¿¿¿{"start":{"line":25,"column":20},"end":{"line":25,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1170¿Identifier¿¿1643¿v114¿¿¿¿¿Identifier
1171¿Identifier¿¿1643¿v120¿¿¿¿¿Identifier
1172¿VariableDeclarator¿¿1643¿v121¿¿¿{"start":{"line":26,"column":10},"end":{"line":26,"column":86},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1173¿MemberExpression¿¿1643¿¿¿¿{"start":{"line":26,"column":68},"end":{"line":26,"column":86},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿MemberExpression
1174¿Identifier¿¿1643¿config¿¿¿{"start":{"line":26,"column":68},"end":{"line":26,"column":74},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1175¿Identifier¿¿1643¿pdf_options¿¿¿{"start":{"line":26,"column":75},"end":{"line":26,"column":86},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1176¿VariableDeclarator¿¿1643¿headerTemplate¿¿¿{"start":{"line":26,"column":12},"end":{"line":26,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
1177¿MemberExpression¿¿1643¿¿¿¿{"start":{"line":26,"column":12},"end":{"line":26,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿MemberExpression
1178¿Identifier¿¿1643¿v121¿¿¿¿¿Identifier
1179¿Identifier¿¿1643¿headerTemplate¿¿¿{"start":{"line":26,"column":12},"end":{"line":26,"column":26},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿Identifier
1180¿VariableDeclarator¿¿1643¿footerTemplate¿¿¿{"start":{"line":26,"column":28},"end":{"line":26,"column":42},"fname":"/datasets/vulcan-dataset/CWE-94/GHSA-x949-7cm6-fm6p/src/md-to-pdf.js"}¿¿VariableDeclarator
