Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
6836¿Program¿¿¿¿¿{"start":{"line":1,"column":0},"end":{"line":766,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Program
7472¿MemberExpression¿¿¿¿¿{"start":{"line":82,"column":5},"end":{"line":82,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
7473¿Identifier¿¿v886¿¿¿¿¿Identifier
7474¿Identifier¿¿filter¿¿¿{"start":{"line":82,"column":28},"end":{"line":82,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7475¿Identifier¿¿Boolean¿¿¿{"start":{"line":82,"column":35},"end":{"line":82,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7476¿VariableDeclarator¿¿v889¿¿¿¿¿VariableDeclarator
7477¿FunctionExpression¿¿anon¿¿¿{"start":{"line":82,"column":52},"end":{"line":84,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿FunctionExpression
7478¿Identifier¿¿key¿¿¿{"start":{"line":82,"column":62},"end":{"line":82,"column":65},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7479¿VariableDeclarator¿¿v888¿¿¿¿¿VariableDeclarator
7480¿MemberExpression¿¿¿¿¿{"start":{"line":83,"column":6},"end":{"line":83,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
7481¿Identifier¿¿flags¿¿¿{"start":{"line":83,"column":6},"end":{"line":83,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7482¿Identifier¿¿configs¿¿¿{"start":{"line":83,"column":12},"end":{"line":83,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7483¿ExpressionStatement¿¿¿¿¿{"start":{"line":83,"column":6},"end":{"line":83,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿ExpressionStatement
7484¿AssignmentExpression¿=¿¿¿¿{"start":{"line":83,"column":6},"end":{"line":83,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿AssignmentExpression
7485¿MemberExpression¿computed¿¿¿¿{"start":{"line":83,"column":6},"end":{"line":83,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
7486¿Identifier¿¿v888¿¿¿¿¿Identifier
7487¿Identifier¿¿key¿¿¿{"start":{"line":83,"column":20},"end":{"line":83,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7488¿Literal¿boolean¿¿true¿¿{"start":{"line":83,"column":27},"end":{"line":83,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Literal
7489¿BlockStatement¿¿¿¿¿{"start":{"line":82,"column":67},"end":{"line":84,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿BlockStatement
7490¿VariableDeclarator¿¿v890¿¿¿¿¿VariableDeclarator
7491¿CallExpression¿¿¿¿¿{"start":{"line":82,"column":5},"end":{"line":84,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿CallExpression
7492¿MemberExpression¿¿¿¿¿{"start":{"line":82,"column":5},"end":{"line":82,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
7493¿Identifier¿¿v887¿¿¿¿¿Identifier
7494¿Identifier¿¿forEach¿¿¿{"start":{"line":82,"column":44},"end":{"line":82,"column":51},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7495¿Identifier¿¿v889¿¿¿¿¿Identifier
7496¿ExpressionStatement¿¿¿¿¿{"start":{"line":82,"column":5},"end":{"line":84,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿ExpressionStatement
7497¿Identifier¿¿v890¿¿¿¿¿Identifier
7498¿BlockStatement¿¿¿¿¿{"start":{"line":81,"column":69},"end":{"line":85,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿BlockStatement
7499¿VariableDeclarator¿¿v891¿¿¿¿¿VariableDeclarator
7500¿MemberExpression¿¿¿¿¿{"start":{"line":86,"column":16},"end":{"line":86,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
7501¿Identifier¿¿opts¿¿¿{"start":{"line":86,"column":16},"end":{"line":86,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7502¿Identifier¿¿config¿¿¿{"start":{"line":86,"column":21},"end":{"line":86,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7503¿VariableDeclarator¿¿v892¿¿¿¿¿VariableDeclarator
7504¿ObjectExpression¿¿¿¿¿{"start":{"line":86,"column":31},"end":{"line":86,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿ObjectExpression
7505¿VariableDeclarator¿¿v893¿¿¿¿¿VariableDeclarator
7506¿LogicalExpression¿||¿¿¿¿{"start":{"line":86,"column":16},"end":{"line":86,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿LogicalExpression
7507¿Identifier¿¿v891¿¿¿¿¿Identifier
7508¿Identifier¿¿v892¿¿¿¿¿Identifier
7509¿VariableDeclarator¿¿v894¿¿¿¿¿VariableDeclarator
7510¿CallExpression¿¿¿¿¿{"start":{"line":86,"column":4},"end":{"line":86,"column":34},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿CallExpression
7511¿MemberExpression¿¿¿¿¿{"start":{"line":86,"column":4},"end":{"line":86,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
7512¿Identifier¿¿Object¿¿¿{"start":{"line":86,"column":4},"end":{"line":86,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7513¿Identifier¿¿keys¿¿¿{"start":{"line":86,"column":11},"end":{"line":86,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7514¿Identifier¿¿v893¿¿¿¿¿Identifier
7515¿VariableDeclarator¿¿v898¿¿¿¿¿VariableDeclarator
7516¿FunctionExpression¿¿anon¿¿¿{"start":{"line":86,"column":43},"end":{"line":88,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿FunctionExpression
7517¿Identifier¿¿k¿¿¿{"start":{"line":86,"column":53},"end":{"line":86,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7518¿VariableDeclarator¿¿v895¿¿¿¿¿VariableDeclarator
7519¿MemberExpression¿¿¿¿¿{"start":{"line":87,"column":6},"end":{"line":87,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
7520¿Identifier¿¿flags¿¿¿{"start":{"line":87,"column":6},"end":{"line":87,"column":11},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7521¿Identifier¿¿configs¿¿¿{"start":{"line":87,"column":12},"end":{"line":87,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7522¿VariableDeclarator¿¿v896¿¿¿¿¿VariableDeclarator
7523¿MemberExpression¿¿¿¿¿{"start":{"line":87,"column":25},"end":{"line":87,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
7524¿Identifier¿¿opts¿¿¿{"start":{"line":87,"column":25},"end":{"line":87,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7525¿Identifier¿¿config¿¿¿{"start":{"line":87,"column":30},"end":{"line":87,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7526¿VariableDeclarator¿¿v897¿¿¿¿¿VariableDeclarator
7527¿MemberExpression¿computed¿¿¿¿{"start":{"line":87,"column":25},"end":{"line":87,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
7528¿Identifier¿¿v896¿¿¿¿¿Identifier
7529¿Identifier¿¿k¿¿¿{"start":{"line":87,"column":37},"end":{"line":87,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7530¿ExpressionStatement¿¿¿¿¿{"start":{"line":87,"column":6},"end":{"line":87,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿ExpressionStatement
7531¿AssignmentExpression¿=¿¿¿¿{"start":{"line":87,"column":6},"end":{"line":87,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿AssignmentExpression
7532¿MemberExpression¿computed¿¿¿¿{"start":{"line":87,"column":6},"end":{"line":87,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
7533¿Identifier¿¿v895¿¿¿¿¿Identifier
7534¿Identifier¿¿k¿¿¿{"start":{"line":87,"column":20},"end":{"line":87,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7535¿Identifier¿¿v897¿¿¿¿¿Identifier
7536¿BlockStatement¿¿¿¿¿{"start":{"line":86,"column":56},"end":{"line":88,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿BlockStatement
7537¿VariableDeclarator¿¿v899¿¿¿¿¿VariableDeclarator
7538¿CallExpression¿¿¿¿¿{"start":{"line":86,"column":4},"end":{"line":88,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿CallExpression
7539¿MemberExpression¿¿¿¿¿{"start":{"line":86,"column":4},"end":{"line":86,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
7540¿Identifier¿¿v894¿¿¿¿¿Identifier
7541¿Identifier¿¿forEach¿¿¿{"start":{"line":86,"column":35},"end":{"line":86,"column":42},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7542¿Identifier¿¿v898¿¿¿¿¿Identifier
7543¿ExpressionStatement¿¿¿¿¿{"start":{"line":86,"column":4},"end":{"line":88,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿ExpressionStatement
7544¿Identifier¿¿v899¿¿¿¿¿Identifier
7545¿BlockStatement¿¿¿¿¿{"start":{"line":85,"column":9},"end":{"line":89,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿BlockStatement
7546¿VariableDeclarator¿¿v900¿¿¿¿¿VariableDeclarator
7547¿MemberExpression¿¿¿¿¿{"start":{"line":93,"column":16},"end":{"line":93,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
7548¿Identifier¿¿opts¿¿¿{"start":{"line":93,"column":16},"end":{"line":93,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7549¿Identifier¿¿key¿¿¿{"start":{"line":93,"column":21},"end":{"line":93,"column":24},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7550¿VariableDeclarator¿¿v901¿¿¿¿¿VariableDeclarator
7551¿MemberExpression¿¿¿¿¿{"start":{"line":93,"column":35},"end":{"line":93,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
7552¿Identifier¿¿opts¿¿¿{"start":{"line":93,"column":35},"end":{"line":93,"column":39},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7553¿Identifier¿¿default¿¿¿{"start":{"line":93,"column":40},"end":{"line":93,"column":47},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7554¿VariableDeclarator¿¿v902¿¿¿¿¿VariableDeclarator
7555¿MemberExpression¿¿¿¿¿{"start":{"line":93,"column":49},"end":{"line":93,"column":61},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
7556¿Identifier¿¿flags¿¿¿{"start":{"line":93,"column":49},"end":{"line":93,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7557¿Identifier¿¿arrays¿¿¿{"start":{"line":93,"column":55},"end":{"line":93,"column":61},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7558¿VariableDeclarator¿¿v903¿¿¿¿¿VariableDeclarator
7559¿CallExpression¿¿¿¿¿{"start":{"line":93,"column":2},"end":{"line":93,"column":62},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿CallExpression
7560¿Identifier¿¿extendAliases¿¿¿{"start":{"line":93,"column":2},"end":{"line":93,"column":15},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7561¿Identifier¿¿v900¿¿¿¿¿Identifier
7562¿Identifier¿¿aliases¿¿¿{"start":{"line":93,"column":26},"end":{"line":93,"column":33},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7563¿Identifier¿¿v901¿¿¿¿¿Identifier
7564¿Identifier¿¿v902¿¿¿¿¿Identifier
7565¿ExpressionStatement¿¿¿¿¿{"start":{"line":93,"column":2},"end":{"line":93,"column":62},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿ExpressionStatement
7566¿Identifier¿¿v903¿¿¿¿¿Identifier
7567¿VariableDeclarator¿¿v904¿¿¿¿¿VariableDeclarator
7568¿CallExpression¿¿¿¿¿{"start":{"line":96,"column":2},"end":{"line":96,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿CallExpression
7569¿MemberExpression¿¿¿¿¿{"start":{"line":96,"column":2},"end":{"line":96,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
7570¿Identifier¿¿Object¿¿¿{"start":{"line":96,"column":2},"end":{"line":96,"column":8},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7571¿Identifier¿¿keys¿¿¿{"start":{"line":96,"column":9},"end":{"line":96,"column":13},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7572¿Identifier¿¿defaults¿¿¿{"start":{"line":96,"column":14},"end":{"line":96,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7573¿VariableDeclarator¿¿v912¿¿¿¿¿VariableDeclarator
7574¿FunctionExpression¿¿anon¿¿¿{"start":{"line":96,"column":32},"end":{"line":100,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿FunctionExpression
7575¿Identifier¿¿key¿¿¿{"start":{"line":96,"column":42},"end":{"line":96,"column":45},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7576¿VariableDeclarator¿¿v905¿¿¿¿¿VariableDeclarator
7577¿MemberExpression¿¿¿¿¿{"start":{"line":97,"column":5},"end":{"line":97,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
7578¿Identifier¿¿flags¿¿¿{"start":{"line":97,"column":5},"end":{"line":97,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7579¿Identifier¿¿aliases¿¿¿{"start":{"line":97,"column":11},"end":{"line":97,"column":18},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7580¿VariableDeclarator¿¿v906¿¿¿¿¿VariableDeclarator
7581¿MemberExpression¿computed¿¿¿¿{"start":{"line":97,"column":5},"end":{"line":97,"column":23},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
7582¿Identifier¿¿v905¿¿¿¿¿Identifier
7583¿Identifier¿¿key¿¿¿{"start":{"line":97,"column":19},"end":{"line":97,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7584¿VariableDeclarator¿¿v907¿¿¿¿¿VariableDeclarator
7585¿ArrayExpression¿¿¿¿¿{"start":{"line":97,"column":27},"end":{"line":97,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿ArrayExpression
7586¿VariableDeclarator¿¿v908¿¿¿¿¿VariableDeclarator
7587¿LogicalExpression¿||¿¿¿¿{"start":{"line":97,"column":5},"end":{"line":97,"column":29},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿LogicalExpression
7588¿Identifier¿¿v906¿¿¿¿¿Identifier
7589¿Identifier¿¿v907¿¿¿¿¿Identifier
7590¿VariableDeclarator¿¿v910¿¿¿¿¿VariableDeclarator
7591¿FunctionExpression¿¿anon¿¿¿{"start":{"line":97,"column":39},"end":{"line":99,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿FunctionExpression
7592¿Identifier¿¿alias¿¿¿{"start":{"line":97,"column":49},"end":{"line":97,"column":54},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7593¿VariableDeclarator¿¿v909¿¿¿¿¿VariableDeclarator
7594¿MemberExpression¿computed¿¿¿¿{"start":{"line":98,"column":24},"end":{"line":98,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
7595¿Identifier¿¿defaults¿¿¿{"start":{"line":98,"column":24},"end":{"line":98,"column":32},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7596¿Identifier¿¿key¿¿¿{"start":{"line":98,"column":33},"end":{"line":98,"column":36},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7597¿ExpressionStatement¿¿¿¿¿{"start":{"line":98,"column":6},"end":{"line":98,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿ExpressionStatement
7598¿AssignmentExpression¿=¿¿¿¿{"start":{"line":98,"column":6},"end":{"line":98,"column":37},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿AssignmentExpression
7599¿MemberExpression¿computed¿¿¿¿{"start":{"line":98,"column":6},"end":{"line":98,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
7600¿Identifier¿¿defaults¿¿¿{"start":{"line":98,"column":6},"end":{"line":98,"column":14},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7601¿Identifier¿¿alias¿¿¿{"start":{"line":98,"column":15},"end":{"line":98,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7602¿Identifier¿¿v909¿¿¿¿¿Identifier
7603¿BlockStatement¿¿¿¿¿{"start":{"line":97,"column":56},"end":{"line":99,"column":5},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿BlockStatement
7604¿VariableDeclarator¿¿v911¿¿¿¿¿VariableDeclarator
7605¿CallExpression¿¿¿¿¿{"start":{"line":97,"column":4},"end":{"line":99,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿CallExpression
7606¿MemberExpression¿¿¿¿¿{"start":{"line":97,"column":4},"end":{"line":97,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
7607¿Identifier¿¿v908¿¿¿¿¿Identifier
7608¿Identifier¿¿forEach¿¿¿{"start":{"line":97,"column":31},"end":{"line":97,"column":38},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7609¿Identifier¿¿v910¿¿¿¿¿Identifier
7610¿ExpressionStatement¿¿¿¿¿{"start":{"line":97,"column":4},"end":{"line":99,"column":6},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿ExpressionStatement
7611¿Identifier¿¿v911¿¿¿¿¿Identifier
7612¿BlockStatement¿¿¿¿¿{"start":{"line":96,"column":47},"end":{"line":100,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿BlockStatement
7613¿VariableDeclarator¿¿v913¿¿¿¿¿VariableDeclarator
7614¿CallExpression¿¿¿¿¿{"start":{"line":96,"column":2},"end":{"line":100,"column":4},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿CallExpression
7615¿MemberExpression¿¿¿¿¿{"start":{"line":96,"column":2},"end":{"line":96,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
7616¿Identifier¿¿v904¿¿¿¿¿Identifier
7617¿Identifier¿¿forEach¿¿¿{"start":{"line":96,"column":24},"end":{"line":96,"column":31},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7618¿Identifier¿¿v912¿¿¿¿¿Identifier
7619¿ExpressionStatement¿¿¿¿¿{"start":{"line":96,"column":2},"end":{"line":100,"column":4},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿ExpressionStatement
7620¿Identifier¿¿v913¿¿¿¿¿Identifier
7621¿VariableDeclarator¿¿v914¿¿¿¿¿VariableDeclarator
7622¿ArrayExpression¿¿¿¿¿{"start":{"line":102,"column":18},"end":{"line":102,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿ArrayExpression
7623¿VariableDeclarator¿¿argv¿¿¿{"start":{"line":102,"column":6},"end":{"line":102,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿VariableDeclarator
7624¿ObjectExpression¿¿¿¿¿¿¿ObjectExpression
7625¿ExpressionStatement¿¿¿¿¿{"start":{"line":102,"column":6},"end":{"line":102,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿ExpressionStatement
7626¿AssignmentExpression¿=¿¿¿¿{"start":{"line":102,"column":6},"end":{"line":102,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿AssignmentExpression
7627¿MemberExpression¿¿¿¿¿{"start":{"line":102,"column":6},"end":{"line":102,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
7628¿Identifier¿¿argv¿¿¿{"start":{"line":102,"column":6},"end":{"line":102,"column":10},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7629¿Identifier¿¿_¿¿¿{"start":{"line":102,"column":15},"end":{"line":102,"column":16},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7630¿Identifier¿¿v914¿¿¿¿¿Identifier
7631¿IfStatement¿¿¿¿¿{"start":{"line":104,"column":2},"end":{"line":106,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿IfStatement
7632¿Identifier¿¿notFlagsOption¿¿¿{"start":{"line":104,"column":6},"end":{"line":104,"column":20},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7633¿ExpressionStatement¿¿¿¿¿{"start":{"line":105,"column":4},"end":{"line":105,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿ExpressionStatement
7634¿AssignmentExpression¿=¿¿¿¿{"start":{"line":105,"column":4},"end":{"line":105,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿AssignmentExpression
7635¿MemberExpression¿computed¿¿¿¿{"start":{"line":105,"column":4},"end":{"line":105,"column":22},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
7636¿Identifier¿¿argv¿¿¿{"start":{"line":105,"column":4},"end":{"line":105,"column":8},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7637¿Identifier¿¿notFlagsArgv¿¿¿{"start":{"line":105,"column":9},"end":{"line":105,"column":21},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7638¿ArrayExpression¿¿¿¿¿{"start":{"line":105,"column":25},"end":{"line":105,"column":27},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿ArrayExpression
7639¿BlockStatement¿¿¿¿¿{"start":{"line":104,"column":22},"end":{"line":106,"column":3},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿BlockStatement
7640¿VariableDeclarator¿¿v915¿¿¿¿¿VariableDeclarator
7641¿MemberExpression¿¿¿¿¿{"start":{"line":108,"column":14},"end":{"line":108,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿MemberExpression
7642¿Identifier¿¿flags¿¿¿{"start":{"line":108,"column":14},"end":{"line":108,"column":19},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7643¿Identifier¿¿bools¿¿¿{"start":{"line":108,"column":20},"end":{"line":108,"column":25},"fname":"/datasets/secbench-dataset/CWE-471/yargs-parser_6.0.0/src/index.js"}¿¿Identifier
7644¿VariableDeclarator¿¿v916¿¿¿¿¿VariableDeclarator
