Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1066¿Program¿¿-1¿¿¿¿{"start":{"line":8,"column":0},"end":{"line":229,"column":2},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Program
1191¿VariableDeclarator¿¿1897¿v116¿¿¿{"start":{"line":40,"column":32},"end":{"line":40,"column":53},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1192¿MemberExpression¿¿1897¿¿¿¿{"start":{"line":40,"column":32},"end":{"line":40,"column":53},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1193¿ThisExpression¿¿1897¿¿¿¿{"start":{"line":40,"column":32},"end":{"line":40,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ThisExpression
1194¿Identifier¿¿1897¿logicalSeparator¿¿¿{"start":{"line":40,"column":37},"end":{"line":40,"column":53},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1195¿VariableDeclarator¿¿1897¿path¿¿¿{"start":{"line":40,"column":6},"end":{"line":40,"column":54},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1196¿CallExpression¿¿1897¿¿¿¿{"start":{"line":40,"column":15},"end":{"line":40,"column":54},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿CallExpression
1197¿MemberExpression¿¿1897¿¿¿¿{"start":{"line":40,"column":15},"end":{"line":40,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1198¿Identifier¿¿1897¿common¿¿¿{"start":{"line":40,"column":15},"end":{"line":40,"column":21},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1199¿Identifier¿¿1897¿path¿¿¿{"start":{"line":40,"column":22},"end":{"line":40,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1200¿Identifier¿¿1897¿key¿¿¿{"start":{"line":40,"column":27},"end":{"line":40,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1201¿Identifier¿¿1897¿v116¿¿¿¿¿Identifier
1202¿VariableDeclarator¿¿1897¿v117¿¿¿{"start":{"line":45,"column":9},"end":{"line":45,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1203¿MemberExpression¿¿1897¿¿¿¿{"start":{"line":45,"column":9},"end":{"line":45,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1204¿Identifier¿¿1897¿path¿¿¿{"start":{"line":45,"column":9},"end":{"line":45,"column":13},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1205¿Identifier¿¿1897¿length¿¿¿{"start":{"line":45,"column":14},"end":{"line":45,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1206¿VariableDeclarator¿¿1897¿v118¿¿¿{"start":{"line":45,"column":9},"end":{"line":45,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1207¿BinaryExpression¿>¿1897¿¿¿¿{"start":{"line":45,"column":9},"end":{"line":45,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿BinaryExpression
1208¿Identifier¿¿1897¿v117¿¿¿¿¿Identifier
1209¿Literal¿number¿1897¿¿0¿¿{"start":{"line":45,"column":23},"end":{"line":45,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Literal
1210¿WhileStatement¿¿1897¿¿¿¿{"start":{"line":45,"column":2},"end":{"line":52,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿WhileStatement
1211¿Identifier¿¿1897¿v118¿¿¿¿¿Identifier
1212¿ExpressionStatement¿¿1897¿¿¿¿{"start":{"line":46,"column":4},"end":{"line":46,"column":23},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ExpressionStatement
1213¿AssignmentExpression¿=¿1897¿¿¿¿{"start":{"line":46,"column":4},"end":{"line":46,"column":22},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿AssignmentExpression
1214¿Identifier¿¿1897¿key¿¿¿{"start":{"line":46,"column":4},"end":{"line":46,"column":7},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1215¿CallExpression¿¿1897¿¿¿¿{"start":{"line":46,"column":10},"end":{"line":46,"column":22},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿CallExpression
1216¿MemberExpression¿¿1897¿¿¿¿{"start":{"line":46,"column":10},"end":{"line":46,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1217¿Identifier¿¿1897¿path¿¿¿{"start":{"line":46,"column":10},"end":{"line":46,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1218¿Identifier¿¿1897¿shift¿¿¿{"start":{"line":46,"column":15},"end":{"line":46,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1219¿VariableDeclarator¿¿1897¿v119¿¿¿{"start":{"line":47,"column":18},"end":{"line":47,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1220¿UnaryExpression¿typeof¿1897¿¿¿¿{"start":{"line":47,"column":18},"end":{"line":47,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿UnaryExpression
1221¿Identifier¿¿1897¿target¿¿¿{"start":{"line":47,"column":25},"end":{"line":47,"column":31},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1222¿VariableDeclarator¿¿1897¿v120¿¿¿{"start":{"line":47,"column":18},"end":{"line":47,"column":44},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1223¿BinaryExpression¿!==¿1897¿¿¿¿{"start":{"line":47,"column":18},"end":{"line":47,"column":44},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿BinaryExpression
1224¿Identifier¿¿1897¿v119¿¿¿¿¿Identifier
1225¿Literal¿string¿1897¿¿'string'¿¿{"start":{"line":47,"column":36},"end":{"line":47,"column":44},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Literal
1226¿VariableDeclarator¿¿1897¿v121¿¿¿{"start":{"line":47,"column":8},"end":{"line":47,"column":44},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1227¿LogicalExpression¿&&¿1897¿¿¿¿{"start":{"line":47,"column":8},"end":{"line":47,"column":44},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿LogicalExpression
1228¿Identifier¿¿1897¿target¿¿¿{"start":{"line":47,"column":8},"end":{"line":47,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1229¿Identifier¿¿1897¿v120¿¿¿¿¿Identifier
1230¿VariableDeclarator¿¿1897¿v122¿¿¿{"start":{"line":47,"column":48},"end":{"line":47,"column":69},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1231¿MemberExpression¿¿1897¿¿¿¿{"start":{"line":47,"column":48},"end":{"line":47,"column":69},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1232¿Identifier¿¿1897¿Object¿¿¿{"start":{"line":47,"column":48},"end":{"line":47,"column":54},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1233¿Identifier¿¿1897¿hasOwnProperty¿¿¿{"start":{"line":47,"column":55},"end":{"line":47,"column":69},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1234¿VariableDeclarator¿¿1897¿v123¿¿¿{"start":{"line":47,"column":48},"end":{"line":47,"column":87},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1235¿CallExpression¿¿1897¿¿¿¿{"start":{"line":47,"column":48},"end":{"line":47,"column":87},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿CallExpression
1236¿MemberExpression¿¿1897¿¿¿¿{"start":{"line":47,"column":48},"end":{"line":47,"column":74},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1237¿Identifier¿¿1897¿v122¿¿¿¿¿Identifier
1238¿Identifier¿¿1897¿call¿¿¿{"start":{"line":47,"column":70},"end":{"line":47,"column":74},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1239¿Identifier¿¿1897¿target¿¿¿{"start":{"line":47,"column":75},"end":{"line":47,"column":81},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1240¿Identifier¿¿1897¿key¿¿¿{"start":{"line":47,"column":83},"end":{"line":47,"column":86},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1241¿VariableDeclarator¿¿1897¿v124¿¿¿{"start":{"line":47,"column":8},"end":{"line":47,"column":87},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1242¿LogicalExpression¿&&¿1897¿¿¿¿{"start":{"line":47,"column":8},"end":{"line":47,"column":87},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿LogicalExpression
1243¿Identifier¿¿1897¿v121¿¿¿¿¿Identifier
1244¿Identifier¿¿1897¿v123¿¿¿¿¿Identifier
1245¿IfStatement¿¿1897¿¿¿¿{"start":{"line":47,"column":4},"end":{"line":50,"column":5},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿IfStatement
1246¿Identifier¿¿1897¿v124¿¿¿¿¿Identifier
1247¿ExpressionStatement¿¿1897¿¿¿¿{"start":{"line":48,"column":6},"end":{"line":48,"column":27},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ExpressionStatement
1248¿AssignmentExpression¿=¿1897¿¿¿¿{"start":{"line":48,"column":6},"end":{"line":48,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿AssignmentExpression
1249¿Identifier¿¿1897¿target¿¿¿{"start":{"line":48,"column":6},"end":{"line":48,"column":12},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1250¿MemberExpression¿computed¿1897¿¿¿¿{"start":{"line":48,"column":15},"end":{"line":48,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1251¿Identifier¿¿1897¿target¿¿¿{"start":{"line":48,"column":15},"end":{"line":48,"column":21},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1252¿Identifier¿¿1897¿key¿¿¿{"start":{"line":48,"column":22},"end":{"line":48,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1253¿ContinueStatement¿¿1897¿¿¿¿{"start":{"line":49,"column":6},"end":{"line":49,"column":15},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ContinueStatement
1254¿BlockStatement¿¿1897¿¿¿¿{"start":{"line":47,"column":89},"end":{"line":50,"column":5},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿BlockStatement
1255¿ReturnStatement¿¿1897¿¿¿¿{"start":{"line":51,"column":4},"end":{"line":51,"column":21},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ReturnStatement
1256¿Identifier¿¿1897¿undefined¿¿¿{"start":{"line":51,"column":11},"end":{"line":51,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1257¿ExpressionStatement¿¿1897¿¿¿¿{"start":{"line":45,"column":2},"end":{"line":52,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ExpressionStatement
1258¿AssignmentExpression¿=¿1897¿¿¿¿{"start":{"line":45,"column":2},"end":{"line":52,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿AssignmentExpression
1259¿Identifier¿¿1897¿v118¿¿¿{"start":{"line":45,"column":2},"end":{"line":52,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1260¿BinaryExpression¿>¿1897¿¿¿¿{"start":{"line":45,"column":9},"end":{"line":45,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿BinaryExpression
1261¿Identifier¿¿1897¿v117¿¿¿¿¿Identifier
1262¿Literal¿number¿1897¿¿0¿¿{"start":{"line":45,"column":23},"end":{"line":45,"column":24},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Literal
1263¿BlockStatement¿¿1897¿¿¿¿{"start":{"line":45,"column":26},"end":{"line":52,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿BlockStatement
1264¿ReturnStatement¿¿1897¿¿¿¿{"start":{"line":54,"column":2},"end":{"line":54,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ReturnStatement
1265¿Identifier¿¿1897¿target¿¿¿{"start":{"line":54,"column":9},"end":{"line":54,"column":15},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1266¿BlockStatement¿¿1897¿¿¿¿{"start":{"line":38,"column":38},"end":{"line":55,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿BlockStatement
1267¿ExpressionStatement¿¿1892¿¿¿¿{"start":{"line":38,"column":0},"end":{"line":55,"column":2},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ExpressionStatement
1268¿AssignmentExpression¿=¿1892¿¿¿¿{"start":{"line":38,"column":0},"end":{"line":55,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿AssignmentExpression
1269¿MemberExpression¿¿1892¿¿¿¿{"start":{"line":38,"column":0},"end":{"line":38,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1270¿Identifier¿¿1892¿v115¿¿¿¿¿Identifier
1271¿Identifier¿¿1892¿get¿¿¿{"start":{"line":38,"column":17},"end":{"line":38,"column":20},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1272¿Identifier¿¿1892¿v125¿¿¿¿¿Identifier
1273¿VariableDeclarator¿¿1892¿v126¿¿¿{"start":{"line":63,"column":0},"end":{"line":63,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1274¿MemberExpression¿¿1892¿¿¿¿{"start":{"line":63,"column":0},"end":{"line":63,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1275¿Identifier¿¿1892¿Memory¿¿¿{"start":{"line":63,"column":0},"end":{"line":63,"column":6},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1276¿Identifier¿¿1892¿prototype¿¿¿{"start":{"line":63,"column":7},"end":{"line":63,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1277¿VariableDeclarator¿¿1892¿v149¿¿¿{"start":{"line":63,"column":0},"end":{"line":109,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1278¿FunctionExpression¿¿1892¿anon¿¿¿{"start":{"line":63,"column":23},"end":{"line":109,"column":1},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿FunctionExpression
1279¿Identifier¿¿0¿key¿¿¿{"start":{"line":63,"column":33},"end":{"line":63,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1280¿Identifier¿¿0¿value¿¿¿{"start":{"line":63,"column":38},"end":{"line":63,"column":43},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1281¿VariableDeclarator¿¿1901¿v127¿¿¿{"start":{"line":64,"column":6},"end":{"line":64,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1282¿MemberExpression¿¿1901¿¿¿¿{"start":{"line":64,"column":6},"end":{"line":64,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1283¿ThisExpression¿¿1901¿¿¿¿{"start":{"line":64,"column":6},"end":{"line":64,"column":10},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ThisExpression
1284¿Identifier¿¿1901¿readOnly¿¿¿{"start":{"line":64,"column":11},"end":{"line":64,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1285¿IfStatement¿¿1901¿¿¿¿{"start":{"line":64,"column":2},"end":{"line":66,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿IfStatement
1286¿Identifier¿¿1901¿v127¿¿¿¿¿Identifier
1287¿ReturnStatement¿¿1901¿¿¿¿{"start":{"line":65,"column":4},"end":{"line":65,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ReturnStatement
1288¿Literal¿boolean¿1901¿¿false¿¿{"start":{"line":65,"column":11},"end":{"line":65,"column":16},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Literal
1289¿BlockStatement¿¿1901¿¿¿¿{"start":{"line":64,"column":21},"end":{"line":66,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿BlockStatement
1290¿VariableDeclarator¿¿1901¿target¿¿¿{"start":{"line":68,"column":6},"end":{"line":68,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1291¿MemberExpression¿¿1901¿¿¿¿{"start":{"line":68,"column":15},"end":{"line":68,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1292¿ThisExpression¿¿1901¿¿¿¿{"start":{"line":68,"column":15},"end":{"line":68,"column":19},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ThisExpression
1293¿Identifier¿¿1901¿store¿¿¿{"start":{"line":68,"column":20},"end":{"line":68,"column":25},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1294¿VariableDeclarator¿¿1901¿v128¿¿¿{"start":{"line":69,"column":32},"end":{"line":69,"column":53},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1295¿MemberExpression¿¿1901¿¿¿¿{"start":{"line":69,"column":32},"end":{"line":69,"column":53},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1296¿ThisExpression¿¿1901¿¿¿¿{"start":{"line":69,"column":32},"end":{"line":69,"column":36},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿ThisExpression
1297¿Identifier¿¿1901¿logicalSeparator¿¿¿{"start":{"line":69,"column":37},"end":{"line":69,"column":53},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1298¿VariableDeclarator¿¿1901¿path¿¿¿{"start":{"line":69,"column":6},"end":{"line":69,"column":54},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1299¿CallExpression¿¿1901¿¿¿¿{"start":{"line":69,"column":15},"end":{"line":69,"column":54},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿CallExpression
1300¿MemberExpression¿¿1901¿¿¿¿{"start":{"line":69,"column":15},"end":{"line":69,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1301¿Identifier¿¿1901¿common¿¿¿{"start":{"line":69,"column":15},"end":{"line":69,"column":21},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1302¿Identifier¿¿1901¿path¿¿¿{"start":{"line":69,"column":22},"end":{"line":69,"column":26},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1303¿Identifier¿¿1901¿key¿¿¿{"start":{"line":69,"column":27},"end":{"line":69,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1304¿Identifier¿¿1901¿v128¿¿¿¿¿Identifier
1305¿VariableDeclarator¿¿1901¿v129¿¿¿{"start":{"line":71,"column":6},"end":{"line":71,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1306¿MemberExpression¿¿1901¿¿¿¿{"start":{"line":71,"column":6},"end":{"line":71,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿MemberExpression
1307¿Identifier¿¿1901¿path¿¿¿{"start":{"line":71,"column":6},"end":{"line":71,"column":10},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1308¿Identifier¿¿1901¿length¿¿¿{"start":{"line":71,"column":11},"end":{"line":71,"column":17},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1309¿VariableDeclarator¿¿1901¿v130¿¿¿{"start":{"line":71,"column":6},"end":{"line":71,"column":23},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1310¿BinaryExpression¿===¿1901¿¿¿¿{"start":{"line":71,"column":6},"end":{"line":71,"column":23},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿BinaryExpression
1311¿Identifier¿¿1901¿v129¿¿¿¿¿Identifier
1312¿Literal¿number¿1901¿¿0¿¿{"start":{"line":71,"column":22},"end":{"line":71,"column":23},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Literal
1313¿IfStatement¿¿1901¿¿¿¿{"start":{"line":71,"column":2},"end":{"line":83,"column":3},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿IfStatement
1314¿Identifier¿¿1901¿v130¿¿¿¿¿Identifier
1315¿VariableDeclarator¿¿1901¿v131¿¿¿{"start":{"line":75,"column":8},"end":{"line":75,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1316¿UnaryExpression¿!¿1901¿¿¿¿{"start":{"line":75,"column":8},"end":{"line":75,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿UnaryExpression
1317¿Identifier¿¿1901¿value¿¿¿{"start":{"line":75,"column":9},"end":{"line":75,"column":14},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿Identifier
1318¿VariableDeclarator¿¿1901¿v132¿¿¿{"start":{"line":75,"column":18},"end":{"line":75,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿VariableDeclarator
1319¿UnaryExpression¿typeof¿1901¿¿¿¿{"start":{"line":75,"column":18},"end":{"line":75,"column":30},"fname":"/datasets/vulcan-dataset/CWE-471/GHSA-6xwr-q98w-rvg7/src/memory.js"}¿¿UnaryExpression
